par,ocorrencias,intervalo_medio_s,intervalo_mediano_s,intervalo_min_s,intervalo_max_s
aceleracao -> aceleracao,5450,29.83834862385321,26.0,10.0,60.0
aceleracao -> velocidade_aumentou,5381,24.37112060955213,23.0,5.0,60.0
aceleracao -> score_forte,5165,26.020716360116168,24.0,5.0,60.0
velocidade_aumentou -> aceleracao,4553,23.862508236327695,23.0,5.0,60.0
aceleracao -> spread_comprimido,4363,26.264726105890443,24.0,5.0,60.0
velocidade_aumentou -> score_forte,3898,26.150076962544894,24.0,5.0,60.0
score_forte -> aceleracao,3568,22.40414798206278,20.0,5.0,60.0
spread_comprimido -> aceleracao,3527,22.540402608449106,20.0,5.0,60.0
aceleracao -> saldo_mudou,3466,29.48932487016734,26.0,5.0,60.0
velocidade_aumentou -> velocidade_aumentou,3344,35.46441387559808,36.0,10.0,60.0
velocidade_aumentou -> spread_comprimido,3250,26.441846153846154,24.0,5.0,60.0
spread_comprimido -> velocidade_aumentou,3073,26.576635209892615,25.0,5.0,60.0
score_forte -> velocidade_aumentou,3058,28.03629823413996,25.0,5.0,60.0
spread_comprimido -> score_forte,2994,27.011022044088175,25.0,5.0,60.0
velocidade_aumentou -> saldo_mudou,2742,26.37126185266229,24.0,5.0,60.0
score_forte -> score_forte,2673,33.304900860456414,33.0,10.0,60.0
aceleracao -> delta_cresceu,2623,29.801372474266106,26.0,5.0,60.0
score_forte -> spread_comprimido,2576,26.8222049689441,24.0,5.0,60.0
saldo_mudou -> aceleracao,2468,22.69935170178282,21.0,5.0,60.0
spread_comprimido -> spread_comprimido,2461,32.58756603006908,32.0,10.0,60.0
velocidade_aumentou -> delta_cresceu,2150,26.76372093023256,24.0,5.0,60.0
saldo_mudou -> score_forte,2066,27.426427879961278,25.0,5.0,60.0
spread_comprimido -> saldo_mudou,1999,30.13106553276638,26.0,5.0,60.0
saldo_mudou -> velocidade_aumentou,1980,30.962626262626262,31.0,5.0,60.0
score_forte -> saldo_mudou,1923,31.90535621424857,33.0,5.0,60.0
saldo_mudou -> spread_comprimido,1764,26.931972789115648,25.0,5.0,60.0
delta_cresceu -> aceleracao,1711,22.227352425482174,20.0,5.0,60.0
score_forte -> delta_cresceu,1606,30.74906600249066,32.0,5.0,60.0
spread_comprimido -> delta_cresceu,1505,30.322923588039867,27.0,6.0,60.0
delta_cresceu -> score_forte,1424,28.391151685393258,25.0,5.0,60.0
delta_cresceu -> velocidade_aumentou,1371,31.11378555798687,31.0,5.0,60.0
delta_cresceu -> spread_comprimido,1219,26.520918785890075,24.0,5.0,60.0
saldo_mudou -> delta_cresceu,1127,27.021295474711625,23.0,5.0,60.0
saldo_mudou -> saldo_mudou,887,39.98647125140924,41.0,11.0,60.0
delta_cresceu -> saldo_mudou,573,41.67888307155323,45.0,6.0,60.0
delta_cresceu -> delta_cresceu,537,39.28119180633147,39.0,12.0,60.0
