motivo_bloqueio,salvou_loss_30s_count,salvou_loss_30s_mean,salvou_loss_30s_median,salvou_loss_30s_std,salvou_loss_30s_min,salvou_loss_30s_max,salvou_loss_60s_count,salvou_loss_60s_mean,salvou_loss_60s_median,salvou_loss_60s_std,salvou_loss_60s_min,salvou_loss_60s_max,salvou_loss_120s_count,salvou_loss_120s_mean,salvou_loss_120s_median,salvou_loss_120s_std,salvou_loss_120s_min,salvou_loss_120s_max,impediu_gain_30s_count,impediu_gain_30s_mean,impediu_gain_30s_median,impediu_gain_30s_std,impediu_gain_30s_min,impediu_gain_30s_max,impediu_gain_60s_count,impediu_gain_60s_mean,impediu_gain_60s_median,impediu_gain_60s_std,impediu_gain_60s_min,impediu_gain_60s_max,impediu_gain_120s_count,impediu_gain_120s_mean,impediu_gain_120s_median,impediu_gain_120s_std,impediu_gain_120s_min,impediu_gain_120s_max,mov_favor_30s_count,mov_favor_30s_mean,mov_favor_30s_median,mov_favor_30s_std,mov_favor_30s_min,mov_favor_30s_max,mov_favor_60s_count,mov_favor_60s_mean,mov_favor_60s_median,mov_favor_60s_std,mov_favor_60s_min,mov_favor_60s_max,mov_favor_120s_count,mov_favor_120s_mean,mov_favor_120s_median,mov_favor_120s_std,mov_favor_120s_min,mov_favor_120s_max
MESMA_CAMPANHA_SEM_PULLBACK,16,0.4375,0.0,0.51234753829798,False,True,16,0.5625,1.0,0.51234753829798,False,True,16,0.6875,1.0,0.478713553878169,False,True,16,0.6875,1.0,0.47871355387816905,False,True,16,0.8125,1.0,0.4031128874149275,False,True,16,0.8125,1.0,0.4031128874149275,False,True,16,1207.8125,912.5,1252.8872904216084,0.0,3850.0,16,1567.1875,1400.0,1451.829843967031,0.0,4600.0,16,1870.3125,1837.5,1609.508691858067,0.0,4600.0
PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO,34,0.5,0.5,0.5075192189225523,False,True,34,0.6764705882352942,1.0,0.47485807993381707,False,True,34,0.7647058823529411,1.0,0.4305615452020461,False,True,34,0.4117647058823529,0.0,0.4995541684356422,False,True,34,0.47058823529411764,0.0,0.5066403971048989,False,True,34,0.5882352941176471,1.0,0.49955416843564227,False,True,34,591.9117647058823,150.0,1399.2519726224082,0.0,7950.0,34,877.2058823529412,212.5,1735.4630816710385,0.0,9600.0,34,1335.2941176470588,637.5,1962.7315308998814,0.0,9600.0
aceleração insuficiente -0.0000 | sem rompimento confirmado -1.00 | hard-gate DNA incompleto,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1200.0,1200.0,,1200.0,1200.0,1,1200.0,1200.0,,1200.0,1200.0,1,1200.0,1200.0,,1200.0,1200.0
aceleração insuficiente -0.0000 | sem rompimento confirmado -1.00 | sem continuidade -0.00 | hard-gate DNA incompleto | score 66 < 72,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,200.0,200.0,,200.0,200.0,1,325.0,325.0,,325.0,325.0,1,1075.0,1075.0,,1075.0,1075.0
aceleração insuficiente -0.0000 | sem rompimento confirmado -1.25 | sem continuidade -0.00 | hard-gate DNA incompleto | score 69 < 72,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,0.0,-0.0,,-0.0,-0.0,1,0.0,-0.0,,-0.0,-0.0,1,1050.0,1050.0,,1050.0,1050.0
aceleração insuficiente -0.0000 | sem rompimento confirmado -1.50 | sem continuidade -0.00 | hard-gate DNA incompleto | score 62 < 72,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,-0.0,,-0.0,-0.0,1,0.0,-0.0,,-0.0,-0.0,1,0.0,-0.0,,-0.0,-0.0
aceleração insuficiente -0.0000 | sem rompimento confirmado -3.00 | sem continuidade -0.25 | hard-gate DNA incompleto | score 71 < 72,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,100.0,100.0,,100.0,100.0,1,100.0,100.0,,100.0,100.0,1,275.0,275.0,,275.0,275.0
aceleração insuficiente -0.0003 | sem rompimento confirmado -1.50 | hard-gate DNA incompleto,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,350.0,350.0,,350.0,350.0,1,400.0,400.0,,400.0,400.0,1,400.0,400.0,,400.0,400.0
aceleração insuficiente -0.0005 | sem rompimento confirmado -1.75 | sem continuidade -0.25 | hard-gate DNA incompleto,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,225.0,225.0,,225.0,225.0,1,225.0,225.0,,225.0,225.0,1,875.0,875.0,,875.0,875.0
aceleração insuficiente -0.0006 | sem rompimento confirmado -0.50 | sem continuidade -0.50 | hard-gate DNA incompleto,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,-0.0,,-0.0,-0.0,1,0.0,-0.0,,-0.0,-0.0,1,0.0,-0.0,,-0.0,-0.0
