variaveis,regra,amostra,taxa_alvo_300_120s,taxa_base,lift
4,_f_spread>=1.75 E _f_saldo<=-17 E _f_ticks_s>=153.857 E _f_score<=47,14,1.0,0.6188781756963575,1.6158268933539413
4,_f_saldo<=-17 E _f_razao_fluxo>=1.33364 E _f_ticks_s>=153.857 E _f_score<=47,11,1.0,0.6188781756963575,1.6158268933539413
4,_f_spread<=1 E _f_delta>=16 E _f_aceleracao>=0.543681 E _f_score<=47,10,1.0,0.6188781756963575,1.6158268933539413
4,_f_spread>=1.25 E _f_saldo<=-17 E _f_ticks_s>=153.857 E _f_score<=47,20,0.95,0.6188781756963575,1.5350355486862441
4,_f_delta<=16 E _f_saldo>=19 E _f_ticks_s>=153.857 E _f_score<=47,19,0.9473684210526315,0.6188781756963575,1.5307833726511022
4,_f_spread>=1.75 E _f_delta<=-16 E _f_ticks_s>=153.857 E _f_score<=47,15,0.9333333333333333,0.6188781756963575,1.5081051004636785
4,_f_delta<=-16 E _f_razao_fluxo>=1.33364 E _f_ticks_s>=153.857 E _f_score<=47,14,0.9285714285714286,0.6188781756963575,1.5004106866858027
4,_f_razao_fluxo<=0.741693 E _f_velocidade<=0 E _f_ticks_s>=153.857 E _f_score>=77,14,0.9285714285714286,0.6188781756963575,1.5004106866858027
4,_f_spread<=1.25 E _f_saldo>=19 E _f_aceleracao>=0.543681 E _f_score<=47,13,0.9230769230769231,0.6188781756963575,1.4915325169420997
4,_f_saldo>=0 E _f_razao_fluxo>=1 E _f_aceleracao<=-0.552272 E _f_ticks_s>=153.857,13,0.9230769230769231,0.6188781756963575,1.4915325169420997
4,_f_saldo<=0 E _f_razao_fluxo<=1 E _f_aceleracao<=-0.552272 E _f_ticks_s>=153.857,13,0.9230769230769231,0.6188781756963575,1.4915325169420997
4,_f_spread<=1.25 E _f_delta>=16 E _f_aceleracao>=0.543681 E _f_score<=47,12,0.9166666666666666,0.6188781756963575,1.4811746522411129
4,_f_razao_fluxo<=0.741693 E _f_aceleracao>=-0.552272 E _f_ticks_s>=153.857 E _f_score<=47,12,0.9166666666666666,0.6188781756963575,1.4811746522411129
4,_f_saldo>=19 E _f_velocidade<=-0.216667 E _f_ticks_s>=153.857 E _f_score<=47,23,0.9130434782608695,0.6188781756963575,1.4753202069753377
4,_f_saldo>=19 E _f_aceleracao>=-0.000831627 E _f_ticks_s>=153.857 E _f_score<=47,23,0.9130434782608695,0.6188781756963575,1.4753202069753377
4,_f_razao_fluxo>=1.33364 E _f_velocidade<=0.205388 E _f_ticks_s>=153.857 E _f_score<=47,11,0.9090909090909091,0.6188781756963575,1.468933539412674
4,_f_spread>=1 E _f_delta<=-16 E _f_velocidade>=0.205388 E _f_score>=77,32,0.90625,0.6188781756963575,1.4643431221020093
4,_f_spread>=1 E _f_saldo<=-17 E _f_velocidade>=0.205388 E _f_score>=77,30,0.9,0.6188781756963575,1.4542442040185473
4,_f_spread>=1.75 E _f_saldo>=0 E _f_razao_fluxo>=1 E _f_ticks_s>=153.857,10,0.9,0.6188781756963575,1.4542442040185473
4,_f_spread>=1.75 E _f_saldo<=0 E _f_razao_fluxo<=1 E _f_ticks_s>=153.857,10,0.9,0.6188781756963575,1.4542442040185473
4,_f_saldo>=19 E _f_aceleracao>=-0.552272 E _f_ticks_s>=153.857 E _f_score<=47,36,0.8888888888888888,0.6188781756963575,1.43629057187017
4,_f_delta>=16 E _f_velocidade<=-0.216667 E _f_ticks_s>=153.857 E _f_score<=47,18,0.8888888888888888,0.6188781756963575,1.43629057187017
4,_f_saldo<=-17 E _f_velocidade<=-0.216667 E _f_aceleracao<=0.543681 E _f_score<=47,18,0.8888888888888888,0.6188781756963575,1.43629057187017
4,_f_delta<=16 E _f_saldo>=19 E _f_aceleracao>=-0.552272 E _f_ticks_s>=153.857,44,0.8863636363636364,0.6188781756963575,1.432210200927357
4,_f_delta<=16 E _f_saldo>=19 E _f_aceleracao>=-0.000831627 E _f_ticks_s>=153.857,35,0.8857142857142857,0.6188781756963575,1.4311609626849193
4,_f_spread<=1.25 E _f_delta<=16 E _f_saldo>=19 E _f_ticks_s>=153.857,56,0.875,0.6188781756963575,1.4138485316846987
4,_f_spread>=1.25 E _f_razao_fluxo<=0.741693 E _f_velocidade<=-0.216667 E _f_ticks_s>=153.857,32,0.875,0.6188781756963575,1.4138485316846987
4,_f_saldo>=19 E _f_velocidade>=0 E _f_aceleracao>=-0.000831627 E _f_score<=47,16,0.875,0.6188781756963575,1.4138485316846987
4,_f_spread>=1 E _f_razao_fluxo<=0.741693 E _f_velocidade<=-0.216667 E _f_ticks_s>=153.857,47,0.8723404255319149,0.6188781756963575,1.4095511197342894
4,_f_delta<=16 E _f_saldo>=19 E _f_ticks_s>=153.857 E _f_score<=61,47,0.8723404255319149,0.6188781756963575,1.4095511197342894
4,_f_spread<=1 E _f_delta<=16 E _f_saldo>=19 E _f_ticks_s>=153.857,46,0.8695652173913043,0.6188781756963575,1.405066863786036
