evento,GAIN,STOP,TOTAL
AJUSTE_ESTRUTURA_ACELEROU_NEG,360,476,836
AJUSTE_ESTRUTURA_ACELEROU_POS,245,388,633
AJUSTE_ESTRUTURA_CAIU,263,349,612
AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG,233,348,581
AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS,254,405,659
AJUSTE_ESTRUTURA_COMPRA_CAIU,227,335,562
AJUSTE_ESTRUTURA_COMPRA_ESTAVEL,312,509,821
AJUSTE_ESTRUTURA_COMPRA_SUBIU,223,317,540
AJUSTE_ESTRUTURA_ESTAVEL,366,613,979
AJUSTE_ESTRUTURA_SUBIU,232,302,534
AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,236,382,618
AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,260,347,607
AJUSTE_ESTRUTURA_VENDA_CAIU,255,337,592
AJUSTE_ESTRUTURA_VENDA_ESTAVEL,293,505,798
AJUSTE_ESTRUTURA_VENDA_SUBIU,209,300,509
CAMPANHA_ENTRADAS_ACELEROU_NEG,36,84,120
CAMPANHA_ENTRADAS_ACELEROU_POS,43,59,102
CAMPANHA_ENTRADAS_CAIU,53,91,144
CAMPANHA_ENTRADAS_ESTAVEL,30,53,83
CAMPANHA_ENTRADAS_SUBIU,36,55,91
CONFIRMACOES_CANDIDATA_ACELEROU_NEG,208,299,507
CONFIRMACOES_CANDIDATA_ACELEROU_POS,269,372,641
CONFIRMACOES_CANDIDATA_CAIU,216,276,492
CONFIRMACOES_CANDIDATA_ESTAVEL,310,508,818
CONFIRMACOES_CANDIDATA_SUBIU,200,297,497
QTD_SWINGS_CONFIRMADOS_ACELEROU_POS,0,1,1
QTD_SWINGS_CONFIRMADOS_SUBIU,0,1,1
