trade_uid,motor_id,lado_norm,rotulo,ajuste_estrutura__mudanca_total_z,ajuste_estrutura__inicio_meio_z,ajuste_estrutura__meio_fim_z,ajuste_estrutura__volatilidade_z,ajuste_estrutura__nivel_final_z,ajuste_estrutura_compra__mudanca_total_z,ajuste_estrutura_compra__inicio_meio_z,ajuste_estrutura_compra__meio_fim_z,ajuste_estrutura_compra__volatilidade_z,ajuste_estrutura_compra__nivel_final_z,ajuste_estrutura_venda__mudanca_total_z,ajuste_estrutura_venda__inicio_meio_z,ajuste_estrutura_venda__meio_fim_z,ajuste_estrutura_venda__volatilidade_z,ajuste_estrutura_venda__nivel_final_z,confirmacoes_candidata__mudanca_total_z,confirmacoes_candidata__inicio_meio_z,confirmacoes_candidata__meio_fim_z,confirmacoes_candidata__volatilidade_z,confirmacoes_candidata__nivel_final_z,campanha_entradas__mudanca_total_z,campanha_entradas__inicio_meio_z,campanha_entradas__meio_fim_z,campanha_entradas__volatilidade_z,campanha_entradas__nivel_final_z,qtd_swings_confirmados__mudanca_total_z,qtd_swings_confirmados__inicio_meio_z,qtd_swings_confirmados__meio_fim_z,qtd_swings_confirmados__volatilidade_z,qtd_swings_confirmados__nivel_final_z
motor_operacional_c7_v3_1::20260720150944.000000::COMPRA,motor_operacional_c7_v3_1,COMPRA,GAIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
motor_operacional_c7_v3_1::20260720153713.000000::COMPRA,motor_operacional_c7_v3_1,COMPRA,STOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motor_operacional_c7_v3_1::20260720155239.000000::COMPRA,motor_operacional_c7_v3_1,COMPRA,STOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motor_operacional_c7_v3_1::20260720163934.000000::COMPRA,motor_operacional_c7_v3_1,COMPRA,GAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motor_operacional_c7_v3_1::20260720172552.000000::COMPRA,motor_operacional_c7_v3_1,COMPRA,GAIN,2.0095923811712506,2.0095923811712506,0.0,0.0,0.0,2.0095923811712506,2.0095923811712506,0.0,0.0,0.0,-2.009592381171251,-2.009592381171251,0.0,0.0,0.0,-2.009592381171251,-2.009592381171251,0.0,0.0,0.0,,,,,,,,,,
motor_operacional_c7_v3_1::20260720174513.000000::COMPRA,motor_operacional_c7_v3_1,COMPRA,GAIN,2.497271238044365,0.0,2.497271238044365,0.0,2.497271238044365,0.0,0.0,0.0,0.0,0.0,-1.9720265943665387,0.0,-1.9720265943665387,0.0,-1.9720265943665387,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
motor_operacional_c7_v3_1::20260720190121.000000::COMPRA,motor_operacional_c7_v3_1,COMPRA,STOP,-0.5549034948196396,-0.5549034948196396,0.0,0.0,0.0,-1.2426253043692712,-1.2426253043692712,0.0,0.0,0.0,0.642108764090217,0.642108764090217,0.0,0.0,0.0,-1.242625304369271,-1.242625304369271,0.0,0.0,0.0,,,,,,,,,,
motor_operacional_c7_v3_1::20260720193221.000000::VENDA,motor_operacional_c7_v3_1,VENDA,GAIN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
motor_operacional_c7_v3_1::20260720194748.000000::VENDA,motor_operacional_c7_v3_1,VENDA,STOP,0.5320136291119563,-0.6650170363899452,1.1970306655019014,0.0,0.0,-2.287087499587462,-2.287087499587462,0.0,0.0,0.0,2.287087499587462,2.287087499587462,0.0,0.0,0.0,-2.287087499587462,-2.287087499587462,0.0,0.0,0.0,,,,,,,,,,
motor_operacional_c7_v3_1::20260720201844.000000::COMPRA,motor_operacional_c7_v3_1,COMPRA,GAIN,0.0,-2.485250608738542,2.485250608738542,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
motor_operacional_c7_v3_1::20260720202202.000000::VENDA,motor_operacional_c7_v3_1,VENDA,GAIN,0.9323118030000721,0.9323118030000721,0.0,0.0,0.0,,,,,,-0.9860132971832691,0.9860132971832691,-1.9720265943665383,0.0,-1.9720265943665383,2.009592381171251,2.009592381171251,0.0,0.0,0.0,,,,,,,,,,
motor_operacional_c7_v3_1::20260720205618.000000::COMPRA,motor_operacional_c7_v3_1,COMPRA,STOP,-1.0047961905856255,1.0047961905856255,-2.009592381171251,0.0,-2.009592381171251,-2.023472278429786,-2.697963037906381,0.6744907594765952,0.0,0.0,2.023472278429786,2.697963037906381,-0.6744907594765952,0.0,0.0,1.0047961905856255,-1.0047961905856255,2.009592381171251,0.0,2.009592381171251,,,,,,,,,,
motor_operacional_c7_v3_1::20260720211425.000000::VENDA,motor_operacional_c7_v3_1,VENDA,GAIN,-2.697963037906381,0.0,-2.697963037906381,0.0,-2.3607176581680833,-1.0047961905856255,0.0,-1.0047961905856255,0.0,0.0,,,,,,-1.242625304369271,-1.242625304369271,0.0,0.0,0.0,,,,,,,,,,
motor_operacional_c7_v3_1::20260720212019.000000::COMPRA,motor_operacional_c7_v3_1,COMPRA,STOP,0.0,-2.485250608738542,2.485250608738542,0.0,0.0,0.0,-2.485250608738542,2.485250608738542,0.0,0.0,,,,,,,,,,,,,,,,,,,,
motor_operacional_c7_v3_1::20260720214600.000000::VENDA,motor_operacional_c7_v3_1,VENDA,STOP,-0.5058680696074465,1.8548495885606369,-2.3607176581680833,0.0,-1.6862268986914881,-0.9860132971832694,0.9860132971832694,-1.9720265943665387,0.0,-1.9720265943665387,2.485250608738542,0.0,2.485250608738542,0.0,2.485250608738542,2.2912878474779204,0.0,2.2912878474779204,0.0,2.2912878474779204,,,,,,,,,,
motor_operacional_c7_v3_1::20260720215133.000000::VENDA,motor_operacional_c7_v3_1,VENDA,GAIN,-2.081665999466133,-1.0408329997330665,-1.0408329997330665,0.0,0.0,,,,,,-2.081665999466133,-1.0408329997330665,-1.0408329997330665,0.0,0.0,,,,,,,,,,,,,,,
motor_operacional_c7_v3_1::20260720215926.000000::VENDA,motor_operacional_c7_v3_1,VENDA,GAIN,-1.5176042088223392,1.5176042088223392,-3.0352084176446783,0.0,-0.6744907594765952,-2.697963037906381,0.3372453797382976,-3.0352084176446783,0.0,-2.3607176581680833,2.3748516636630557,0.0,2.3748516636630557,0.0,2.3748516636630557,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
motor_operacional_c7_v3_1::20260720223922.000000::VENDA,motor_operacional_c7_v3_1,VENDA,GAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motor_operacional_c7_v3_1::20260720224045.000000::COMPRA,motor_operacional_c7_v3_1,COMPRA,GAIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
motor_operacional_c7_v3_1::20260720225643.000000::VENDA,motor_operacional_c7_v3_1,VENDA,STOP,3.0352084176446783,2.697963037906381,0.3372453797382976,0.0,0.6744907594765952,1.0047961905856255,0.0,1.0047961905856255,0.0,0.0,,,,,,,,,,,,,,,,,,,,
motor_operacional_c7_v3_1::20260720232116.000000::COMPRA,motor_operacional_c7_v3_1,COMPRA,GAIN,-0.6596810176841821,-1.1874258318315278,0.5277448141473456,0.0,0.5277448141473456,-0.4784604671283211,-1.1164077566327493,0.6379472895044281,0.0,0.6379472895044281,0.8431134493457441,1.1803588290840417,-0.3372453797382976,0.0,0.0,1.0047961905856255,-1.0047961905856255,2.009592381171251,0.0,2.009592381171251,,,,,,,,,,
motor_operacional_c7_v3_1::20260720235443.000000::COMPRA,motor_operacional_c7_v3_1,COMPRA,GAIN,-1.9720265943665387,-0.9860132971832694,-0.9860132971832694,0.0,-1.9720265943665387,,,,,,,,,,,,,,,,,,,,,,,,,
