feature,fonte
ajuste_estrutura__mudanca_total_z,VETORES_NUMERICOS_16B
ajuste_estrutura__inicio_meio_z,VETORES_NUMERICOS_16B
ajuste_estrutura__meio_fim_z,VETORES_NUMERICOS_16B
ajuste_estrutura__nivel_final_z,VETORES_NUMERICOS_16B
ajuste_estrutura_compra__mudanca_total_z,VETORES_NUMERICOS_16B
ajuste_estrutura_compra__inicio_meio_z,VETORES_NUMERICOS_16B
ajuste_estrutura_compra__meio_fim_z,VETORES_NUMERICOS_16B
ajuste_estrutura_compra__nivel_final_z,VETORES_NUMERICOS_16B
ajuste_estrutura_venda__mudanca_total_z,VETORES_NUMERICOS_16B
ajuste_estrutura_venda__inicio_meio_z,VETORES_NUMERICOS_16B
ajuste_estrutura_venda__meio_fim_z,VETORES_NUMERICOS_16B
ajuste_estrutura_venda__nivel_final_z,VETORES_NUMERICOS_16B
confirmacoes_candidata__mudanca_total_z,VETORES_NUMERICOS_16B
confirmacoes_candidata__inicio_meio_z,VETORES_NUMERICOS_16B
confirmacoes_candidata__meio_fim_z,VETORES_NUMERICOS_16B
confirmacoes_candidata__nivel_final_z,VETORES_NUMERICOS_16B
campanha_entradas__mudanca_total_z,VETORES_NUMERICOS_16B
campanha_entradas__inicio_meio_z,VETORES_NUMERICOS_16B
campanha_entradas__meio_fim_z,VETORES_NUMERICOS_16B
campanha_entradas__nivel_final_z,VETORES_NUMERICOS_16B
