escopo,motor_id,lado_norm,classe_dna,tamanho,sequencia,historias_total,historias_gain,historias_stop,ocorrencias,suporte_total_pct,suporte_gain_pct,suporte_stop_pct,confianca_gain_pct,confianca_stop_pct,lift_gain,lift_stop,diferenca_suporte_pp,log_odds_gain,evidencia,score_dna
LADO,,COMPRA,DNA_GAIN,4,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,1031,27,14,41,3.976722,6.683168,2.232855,65.853659,34.146341,1.680572,0.561481,4.450313,1.125647,FORTE,54.6286
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_GAIN,2,AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_CAIU,612,9,2,11,1.797386,3.688525,0.543478,81.818182,18.181818,2.052161,0.302372,3.145046,1.777289,FRACA,72.0138
MOTOR,motor_operacional_c7_v3_1,,DNA_GAIN,3,AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_POS > CAMPANHA_ENTRADAS_CAIU,870,8,2,10,1.149425,2.373887,0.375235,80.0,20.0,2.065282,0.326454,1.998653,1.701902,FRACA,70.4
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,4,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU,672,10,2,12,1.785714,3.412969,0.527704,83.333333,16.666667,1.911263,0.295515,2.885265,1.721443,FRACA,70.1118
LADO,,VENDA,DNA_GAIN,5,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,1123,8,2,10,0.890472,1.702128,0.306279,80.0,20.0,1.911489,0.343951,1.395849,1.566406,FRACA,67.5002
LADO,,VENDA,DNA_GAIN,3,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,1123,8,2,10,0.890472,1.702128,0.306279,80.0,20.0,1.911489,0.343951,1.395849,1.566406,FRACA,67.5002
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_GAIN,3,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,1284,11,3,14,1.090343,2.048417,0.401606,78.571429,21.428571,1.878691,0.36833,1.646811,1.536046,FRACA,66.7961
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,4,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,672,8,2,10,1.488095,2.730375,0.527704,80.0,20.0,1.834812,0.354617,2.202671,1.503104,FRACA,66.2552
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_GAIN,4,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,1284,9,3,12,0.934579,1.675978,0.401606,75.0,25.0,1.793296,0.429719,1.274371,1.341199,FRACA,59.6431
MOTOR,motor_operacional_c7_v3_1,,DNA_GAIN,2,AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_POS,870,10,4,14,1.609195,2.967359,0.750469,71.428571,28.571429,1.844002,0.466363,2.21689,1.327743,FRACA,58.3455
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,4,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,672,11,4,15,2.232143,3.754266,1.055409,73.333333,26.666667,1.681911,0.472823,2.698857,1.22285,FRACA,57.1252
LADO,,VENDA,DNA_GAIN,4,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_POS > CAMPANHA_ENTRADAS_CAIU,1123,8,3,11,0.979519,1.702128,0.459418,72.727273,27.272727,1.737718,0.469024,1.24271,1.228398,FRACA,55.3242
LADO,,VENDA,DNA_GAIN,3,AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_POS > CAMPANHA_ENTRADAS_CAIU,1123,10,4,14,1.246661,2.12766,0.612557,71.428571,28.571429,1.706687,0.491359,1.515102,1.191188,FRACA,54.3901
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_GAIN,3,CAMPANHA_ENTRADAS_ACELEROU_POS > CAMPANHA_ENTRADAS_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,451,7,3,10,2.217295,3.954802,1.094891,70.0,30.0,1.783616,0.493796,2.859912,1.227367,FRACA,54.3456
