escopo,motor_id,lado_norm,classe_dna,tamanho,sequencia,historias_total,historias_gain,historias_stop,ocorrencias,suporte_total_pct,suporte_gain_pct,suporte_stop_pct,confianca_gain_pct,confianca_stop_pct,lift_gain,lift_stop,diferenca_suporte_pp,log_odds_gain,evidencia,score_dna
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL,672,0,15,15,2.232143,0.0,3.957784,0.0,100.0,0.0,1.773087,-3.957784,-3.217338,FRACA,75.4453
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,672,1,16,17,2.529762,0.341297,4.221636,5.882353,94.117647,0.134913,1.668788,-3.880339,-2.180581,FRACA,69.7146
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,4,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,672,1,11,12,1.785714,0.341297,2.902375,8.333333,91.666667,0.191126,1.62533,-2.561078,-1.805906,FRACA,64.5724
GLOBAL,,,DNA_STOP,4,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,2154,1,15,16,0.742804,0.114416,1.171875,6.25,93.75,0.154033,1.577637,-1.057459,-1.96466,FRACA,64.4471
LADO,,VENDA,DNA_STOP,4,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,1123,1,12,13,1.157614,0.212766,1.837672,7.692308,92.307692,0.183797,1.587466,-1.624906,-1.808123,FRACA,63.4452
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_STOP,4,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,1284,1,11,12,0.934579,0.18622,1.472557,8.333333,91.666667,0.199255,1.575636,-1.286337,-1.720039,FRACA,62.1931
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,5,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_SUBIU,672,1,9,10,1.488095,0.341297,2.37467,10.0,90.0,0.229352,1.595778,-2.033373,-1.609438,FRACA,61.8793
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,4,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,672,1,9,10,1.488095,0.341297,2.37467,10.0,90.0,0.229352,1.595778,-2.033373,-1.609438,FRACA,61.8793
MOTOR,motor_operacional_c7_v3_1,,DNA_STOP,3,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU,870,1,12,13,1.494253,0.296736,2.251407,7.692308,92.307692,0.198585,1.506711,-1.954671,-1.682152,FRACA,61.4476
LADO,,VENDA,DNA_STOP,4,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,1123,1,10,11,0.979519,0.212766,1.531394,9.090909,90.909091,0.217215,1.563414,-1.318628,-1.630656,FRACA,61.1791
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,672,3,15,18,2.678571,1.023891,3.957784,16.666667,83.333333,0.382253,1.477573,-2.933893,-1.261154,FRACA,60.8176
LADO,,VENDA,DNA_STOP,6,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ESTAVEL,1123,1,9,10,0.890472,0.212766,1.378254,10.0,90.0,0.238936,1.547779,-1.165488,-1.52902,FRACA,59.8663
LADO,,VENDA,DNA_STOP,5,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ESTAVEL,1123,1,9,10,0.890472,0.212766,1.378254,10.0,90.0,0.238936,1.547779,-1.165488,-1.52902,FRACA,59.8663
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_STOP,6,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ESTAVEL,1284,1,9,10,0.778816,0.18622,1.204819,10.0,90.0,0.239106,1.546988,-1.0186,-1.526272,FRACA,59.7265
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_STOP,5,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ESTAVEL,1284,1,9,10,0.778816,0.18622,1.204819,10.0,90.0,0.239106,1.546988,-1.0186,-1.526272,FRACA,59.7265
