trade_uid,motor_id,lado_norm,rotulo,qtd_eventos
motor_c7_dna_fluxo_v5_2::20260717174502.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,6
motor_c7_dna_fluxo_v5_2::20260719190221.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,3
motor_c7_dna_fluxo_v5_2::20260719191628.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,8
motor_c7_dna_fluxo_v5_2::20260719191847.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,3
motor_c7_dna_fluxo_v5_2::20260719192449.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,8
motor_c7_dna_fluxo_v5_2::20260719192908.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,8
motor_c7_dna_fluxo_v5_2::20260719193615.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,8
motor_c7_dna_fluxo_v5_2::20260719194614.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,6
motor_c7_dna_fluxo_v5_2::20260719200617.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,2
motor_c7_dna_fluxo_v5_2::20260719202654.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,4
motor_c7_dna_fluxo_v5_2::20260719203744.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,5
motor_c7_dna_fluxo_v5_2::20260719205146.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,8
motor_c7_dna_fluxo_v5_2::20260719205942.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,7
motor_c7_dna_fluxo_v5_2::20260719210241.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,4
motor_c7_dna_fluxo_v5_2::20260719210453.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,8
motor_c7_dna_fluxo_v5_2::20260719210851.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,8
motor_c7_dna_fluxo_v5_2::20260719211314.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,8
motor_c7_dna_fluxo_v5_2::20260719211713.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,7
motor_c7_dna_fluxo_v5_2::20260719213222.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,8
motor_c7_dna_fluxo_v5_2::20260719214012.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,8
motor_c7_dna_fluxo_v5_2::20260719214311.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,3
motor_c7_dna_fluxo_v5_2::20260719220541.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,7
motor_c7_dna_fluxo_v5_2::20260719222001.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,6
motor_c7_dna_fluxo_v5_2::20260719222516.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,6
motor_c7_dna_fluxo_v5_2::20260719224858.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,8
motor_c7_dna_fluxo_v5_2::20260719225706.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,6
motor_c7_dna_fluxo_v5_2::20260719230058.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,8
motor_c7_dna_fluxo_v5_2::20260719230337.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,2
motor_c7_dna_fluxo_v5_2::20260719231552.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,6
motor_c7_dna_fluxo_v5_2::20260719233118.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,5
motor_c7_dna_fluxo_v5_2::20260719233628.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,8
motor_c7_dna_fluxo_v5_2::20260719234655.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,2
motor_c7_dna_fluxo_v5_2::20260719235755.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,5
motor_c7_dna_fluxo_v5_2::20260720002333.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,5
motor_c7_dna_fluxo_v5_2::20260720002720.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,4
motor_c7_dna_fluxo_v5_2::20260720005107.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,6
motor_c7_dna_fluxo_v5_2::20260720005532.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,8
motor_c7_dna_fluxo_v5_2::20260720010640.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,6
motor_c7_dna_fluxo_v5_2::20260720011735.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,7
motor_c7_dna_fluxo_v5_2::20260720013403.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,8
motor_c7_dna_fluxo_v5_2::20260720020054.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,4
motor_c7_dna_fluxo_v5_2::20260720020636.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,6
motor_c7_dna_fluxo_v5_2::20260720025516.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,4
motor_c7_dna_fluxo_v5_2::20260720031528.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,7
motor_c7_dna_fluxo_v5_2::20260720032135.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,8
motor_c7_dna_fluxo_v5_2::20260720033929.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,1
motor_c7_dna_fluxo_v5_2::20260720034420.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,1
motor_c7_dna_fluxo_v5_2::20260720040426.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,6
motor_c7_dna_fluxo_v5_2::20260720042632.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,8
motor_c7_dna_fluxo_v5_2::20260720043113.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,6
motor_c7_dna_fluxo_v5_2::20260720044557.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,5
motor_c7_dna_fluxo_v5_2::20260720045611.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,8
motor_c7_dna_fluxo_v5_2::20260720050132.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,7
motor_c7_dna_fluxo_v5_2::20260720051811.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,8
motor_c7_dna_fluxo_v5_2::20260720062442.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,4
motor_c7_dna_fluxo_v5_2::20260720064610.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,4
motor_c7_dna_fluxo_v5_2::20260720065312.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,2
motor_c7_dna_fluxo_v5_2::20260720070054.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,7
motor_c7_dna_fluxo_v5_2::20260720074140.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,1
motor_c7_dna_fluxo_v5_2::20260720080214.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,STOP,5
motor_c7_dna_fluxo_v5_2::20260720081547.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,8
motor_c7_dna_fluxo_v5_2::20260720082907.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,8
motor_c7_dna_fluxo_v5_2::20260720083234.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,4
motor_c7_dna_fluxo_v5_2::20260720083750.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,5
motor_c7_dna_fluxo_v5_2::20260720085454.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,4
motor_c7_dna_fluxo_v5_2::20260720101138.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,STOP,8
motor_c7_dna_fluxo_v5_2::20260720102627.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,6
motor_c7_dna_fluxo_v5_2::20260720103400.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,7
motor_c7_dna_fluxo_v5_2::20260720103704.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,2
motor_c7_dna_fluxo_v5_2::20260720104335.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,6
motor_c7_dna_fluxo_v5_2::20260720104613.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,7
motor_c7_dna_fluxo_v5_2::20260720105151.000000::VENDA,motor_c7_dna_fluxo_v5_2,VENDA,GAIN,7
motor_c7_dna_fluxo_v5_2::20260720110217.000000::COMPRA,motor_c7_dna_fluxo_v5_2,COMPRA,GAIN,7
