escopo,motor_id,lado_norm,classe_dna,tamanho,sequencia,historias_total,historias_gain,historias_stop,ocorrencias,suporte_total_pct,suporte_gain_pct,suporte_stop_pct,confianca_gain_pct,confianca_stop_pct,lift_gain,lift_stop,diferenca_suporte_pp,log_odds_gain,evidencia,score_dna
GLOBAL,,,NEUTRO,5,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,2154,5,19,24,1.114206,0.572082,1.484375,20.833333,79.166667,0.513444,1.332227,-0.912293,-0.893528,MODERADA,54.9123
GLOBAL,,,NEUTRO,5,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_ESTAVEL,2154,5,18,23,1.067781,0.572082,1.40625,21.73913,78.26087,0.535768,1.316984,-0.834168,-0.840092,MODERADA,53.199
GLOBAL,,,NEUTRO,4,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_ESTAVEL,2154,5,18,23,1.067781,0.572082,1.40625,21.73913,78.26087,0.535768,1.316984,-0.834168,-0.840092,MODERADA,53.199
GLOBAL,,,NEUTRO,4,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,2154,6,20,26,1.207057,0.686499,1.5625,23.076923,76.923077,0.568738,1.294471,-0.876001,-0.776127,MODERADA,51.6329
GLOBAL,,,NEUTRO,4,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU,2154,6,20,26,1.207057,0.686499,1.5625,23.076923,76.923077,0.568738,1.294471,-0.876001,-0.776127,MODERADA,51.6329
GLOBAL,,,NEUTRO,3,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,2154,6,19,25,1.160631,0.686499,1.484375,24.0,76.0,0.591487,1.278938,-0.797876,-0.725323,MODERADA,49.923
GLOBAL,,,NEUTRO,5,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_ESTAVEL,2154,6,17,23,1.067781,0.686499,1.328125,26.086957,73.913043,0.642921,1.243818,-0.641626,-0.615525,MODERADA,46.1206
GLOBAL,,,NEUTRO,3,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ESTAVEL,2154,7,19,26,1.207057,0.800915,1.484375,26.923077,73.076923,0.663528,1.229748,-0.68346,-0.58107,MODERADA,45.3726
GLOBAL,,,NEUTRO,4,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL,2154,11,28,39,1.810585,1.258581,2.1875,28.205128,71.794872,0.695124,1.208173,-0.928919,-0.535654,MODERADA,45.3194
GLOBAL,,,NEUTRO,4,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_SUBIU,2154,9,22,31,1.439183,1.029748,1.71875,29.032258,70.967742,0.715509,1.194254,-0.689002,-0.487855,MODERADA,42.8279
