classe_dna,tamanho,padroes,score_medio,ocorrencias_medias
DNA_GAIN,2,19,46.55576315789474,17.36842105263158
DNA_GAIN,3,41,43.528446341463415,16.365853658536587
DNA_GAIN,4,36,45.147061111111114,18.666666666666668
DNA_GAIN,5,27,43.65870370370371,19.74074074074074
DNA_GAIN,6,14,43.30257857142857,22.785714285714285
DNA_STOP,2,78,47.70803846153846,35.46153846153846
DNA_STOP,3,163,48.84413067484663,26.687116564417177
DNA_STOP,4,85,49.907484705882354,22.258823529411764
DNA_STOP,5,28,50.74481071428572,17.964285714285715
DNA_STOP,6,9,49.86665555555555,13.0
NEUTRO,2,624,29.49033173076923,63.95032051282051
NEUTRO,3,849,27.722293404004713,28.691401648998824
NEUTRO,4,633,28.36606271721959,20.30647709320695
NEUTRO,5,313,28.50678178913738,17.175718849840255
NEUTRO,6,152,28.576636184210525,14.960526315789474
