escopo,motor_id,lado_norm,classe_dna,tamanho,sequencia,historias_total,historias_gain,historias_stop,ocorrencias,suporte_total_pct,suporte_gain_pct,suporte_stop_pct,confianca_gain_pct,confianca_stop_pct,lift_gain,lift_stop,diferenca_suporte_pp,log_odds_gain,evidencia,score_dna,dna_id
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL,672,0,15,15,2.232143,0.0,3.957784,0.0,100.0,0.0,1.773087,-3.957784,-3.217338,FRACA,75.4453,DNA_CA55848B861F
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_GAIN,2,AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_CAIU,612,9,2,11,1.797386,3.688525,0.543478,81.818182,18.181818,2.052161,0.302372,3.145046,1.777289,FRACA,72.0138,DNA_CC438BE29159
MOTOR,motor_operacional_c7_v3_1,,DNA_GAIN,3,AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_POS > CAMPANHA_ENTRADAS_CAIU,870,8,2,10,1.149425,2.373887,0.375235,80.0,20.0,2.065282,0.326454,1.998653,1.701902,FRACA,70.4,DNA_D2BEE9B0069D
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,4,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU,672,10,2,12,1.785714,3.412969,0.527704,83.333333,16.666667,1.911263,0.295515,2.885265,1.721443,FRACA,70.1118,DNA_CAB9507E140E
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_STOP,3,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,672,1,16,17,2.529762,0.341297,4.221636,5.882353,94.117647,0.134913,1.668788,-3.880339,-2.180581,FRACA,69.7146,DNA_E3F37591A376
LADO,,VENDA,DNA_GAIN,5,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,1123,8,2,10,0.890472,1.702128,0.306279,80.0,20.0,1.911489,0.343951,1.395849,1.566406,FRACA,67.5002,DNA_A6366B77E8D0
LADO,,VENDA,DNA_GAIN,3,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,1123,8,2,10,0.890472,1.702128,0.306279,80.0,20.0,1.911489,0.343951,1.395849,1.566406,FRACA,67.5002,DNA_C8954CD0A2BE
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_GAIN,3,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,1284,11,3,14,1.090343,2.048417,0.401606,78.571429,21.428571,1.878691,0.36833,1.646811,1.536046,FRACA,66.7961,DNA_55AC3640C003
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,4,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,672,8,2,10,1.488095,2.730375,0.527704,80.0,20.0,1.834812,0.354617,2.202671,1.503104,FRACA,66.2552,DNA_A18A72F5F778
GLOBAL,,,DNA_STOP,4,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,2154,1,15,16,0.742804,0.114416,1.171875,6.25,93.75,0.154033,1.577637,-1.057459,-1.96466,FRACA,64.4471,DNA_615C44D1EC83
