dna_id,tipo_causa_stop,classe_dna,sequencia,stops_associados,dias_com_stop,motores_com_stop,lados_com_stop,hora_mais_frequente,concentracao_hora_pct
DNA_BDDAB55D5E78,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,44,4,1,1,12,15.909090909090908
DNA_59B7A0672312,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,31,4,2,2,11,19.35483870967742
DNA_383D9DF34358,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,31,4,1,2,12,22.58064516129032
DNA_D543EFFA0C30,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,30,4,2,2,13,16.666666666666664
DNA_AFF3F0195078,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ESTAVEL,28,4,2,2,15,17.857142857142858
DNA_66F37DEE2F20,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,26,4,2,1,11,15.384615384615385
DNA_6135DE744E37,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,26,4,2,1,12,19.230769230769234
DNA_4AF1D5F50CC2,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL,24,4,2,2,12,16.666666666666664
DNA_DF8EBE9D9DFF,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG,24,4,2,2,12,16.666666666666664
DNA_E3A1FE45AED7,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,22,4,2,2,11,22.727272727272727
DNA_F545FC110364,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,22,4,1,2,12,13.636363636363635
DNA_E23451CCC141,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,CAMPANHA_ENTRADAS_CAIU > CONFIRMACOES_CANDIDATA_ESTAVEL,21,4,2,2,12,28.57142857142857
DNA_67BF56E6F6F7,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,21,4,1,1,12,28.57142857142857
DNA_9B7A4D78E305,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU,21,4,2,1,13,19.047619047619047
DNA_1F43317DBDF1,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,19,3,2,2,11,21.052631578947366
DNA_454C2AF1E3D3,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL,19,4,1,2,12,15.789473684210526
DNA_AA7FAA42A1C2,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,19,4,2,1,11,21.052631578947366
DNA_CEA0D4DD30CF,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,18,3,2,1,14,27.77777777777778
DNA_5D6059A4B67E,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,17,4,1,2,15,17.647058823529413
DNA_6BFF2F641F08,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU,17,4,2,1,15,17.647058823529413
DNA_ADE909EAB40C,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,16,4,1,1,12,25.0
DNA_C7B9F0A98B44,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,16,4,1,2,15,18.75
DNA_079D3E4481A7,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU,16,4,2,1,11,18.75
DNA_41436FAF00CA,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,15,4,1,2,12,20.0
DNA_C18E60093772,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,15,4,1,2,15,20.0
DNA_B5173119E64D,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,15,4,1,2,13,26.666666666666668
DNA_06528B31BF49,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,15,4,1,2,11,26.666666666666668
DNA_CA55848B861F,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL,14,4,1,1,0,14.285714285714285
DNA_86B4984E6916,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,14,4,1,1,15,21.428571428571427
DNA_615C44D1EC83,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,14,3,2,2,14,14.285714285714285
DNA_C75189E144B6,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ESTAVEL,14,4,1,1,5,14.285714285714285
DNA_A766C48B4FE5,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU,14,4,1,1,13,21.428571428571427
DNA_0721D6E6F3C9,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,14,4,1,1,12,21.428571428571427
DNA_5CCB7B3B1DDB,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU,14,4,1,1,22,21.428571428571427
