dna_id,classe_dna,escopo,motor_catalogo,lado_catalogo,tamanho,sequencia,evidencia_16e,score_descoberta_16e,aparicoes,gains,stops,winrate_pct,wilson_95_inferior_pct,profit_factor_r,expectancia_r,sequencia_max_stops,max_drawdown_r,dias_ativos,classe_alvo,acertos_classe_alvo,taxa_acerto_classe_alvo_pct,taxa_erro_classe_alvo_pct
DNA_CA55848B861F,DNA_STOP,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,3,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL,FRACA,75.4453,14,0,14,0.0,0.0,0.0,-1.0,14,14.0,4,STOP,14,100.0,0.0
DNA_E3F37591A376,DNA_STOP,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,3,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,FRACA,69.7146,13,0,13,0.0,0.0,0.0,-1.0,13,13.0,4,STOP,13,100.0,0.0
DNA_5C67446DBC61,DNA_STOP,LADO,,COMPRA,6,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,MODERADA,45.0141,12,0,12,0.0,0.0,0.0,-1.0,12,12.0,3,STOP,12,100.0,0.0
DNA_7EE261923995,DNA_STOP,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,4,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,FRACA,58.1237,10,0,10,0.0,0.0,0.0,-1.0,10,10.0,3,STOP,10,100.0,0.0
DNA_959B8C8FDFED,DNA_STOP,LADO,,COMPRA,4,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG > CAMPANHA_ENTRADAS_CAIU,FRACA,57.6828,10,0,10,0.0,0.0,0.0,-1.0,10,10.0,4,STOP,10,100.0,0.0
DNA_A61F45077ACD,DNA_STOP,MOTOR,motor_c7_dna_fluxo_v5_2,,4,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,FRACA,62.1931,9,0,9,0.0,0.0,0.0,-1.0,9,9.0,4,STOP,9,100.0,0.0
DNA_E3336332A6D5,DNA_STOP,LADO,,VENDA,4,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,FRACA,61.1791,9,0,9,0.0,0.0,0.0,-1.0,9,9.0,2,STOP,9,100.0,0.0
DNA_DD51CE690AD9,DNA_STOP,MOTOR,motor_operacional_c7_v3_1,,4,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,MODERADA,48.8783,9,0,9,0.0,0.0,0.0,-1.0,9,9.0,3,STOP,9,100.0,0.0
DNA_2539A49474E0,DNA_STOP,LADO,,COMPRA,3,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,FRACA,54.3814,8,0,8,0.0,0.0,0.0,-1.0,8,8.0,3,STOP,8,100.0,0.0
DNA_D00849C63E60,DNA_STOP,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,4,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,FRACA,61.8793,7,0,7,0.0,0.0,0.0,-1.0,7,7.0,3,STOP,7,100.0,0.0
