dna_id,classe_dna,sequencia,lado_norm,aparicoes,gains,stops,winrate_pct,wilson_95_inferior_pct,profit_factor_r,expectancia_r,sequencia_max_stops,max_drawdown_r,dias_ativos,taxa_acerto_alvo_pct
DNA_01262391215D,DNA_GAIN,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_POS,COMPRA,4,2,2,50.0,15.003570882017145,1.0,0.0,2,2.0,2,50.0
DNA_01262391215D,DNA_GAIN,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_POS,VENDA,6,4,2,66.66666666666667,29.998832134152863,2.0,0.3333333333333333,1,1.0,2,66.66666666666667
DNA_01A2AC5DEF00,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,COMPRA,7,1,6,14.285714285714286,2.567895594897479,0.16666666666666666,-0.7142857142857143,6,6.0,3,85.71428571428571
DNA_02DCDED28577,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG,COMPRA,7,0,7,0.0,0.0,0.0,-1.0,7,7.0,3,100.0
DNA_0404D240F778,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_ESTAVEL,COMPRA,5,1,4,20.0,3.6223160969787456,0.25,-0.6,4,4.0,2,80.0
DNA_053519090D31,DNA_GAIN,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,COMPRA,3,1,2,33.333333333333336,6.149031527616051,0.5,-0.3333333333333333,2,2.0,2,33.333333333333336
DNA_053519090D31,DNA_GAIN,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,VENDA,5,3,2,60.0,23.0719932208837,1.5,0.2,2,2.0,2,60.0
DNA_06528B31BF49,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,COMPRA,10,3,7,30.0,10.778928748621183,0.42857142857142855,-0.4,3,4.0,3,70.0
DNA_06528B31BF49,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,VENDA,9,1,8,11.11111111111111,1.9890371327130516,0.125,-0.7777777777777778,7,7.0,4,88.88888888888889
DNA_0721D6E6F3C9,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,VENDA,18,4,14,22.22222222222222,9.000781913382001,0.2857142857142857,-0.5555555555555556,6,12.0,4,77.77777777777777
DNA_079D3E4481A7,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU,VENDA,22,6,16,27.272727272727273,13.150582015814438,0.375,-0.45454545454545453,8,11.0,4,72.72727272727273
DNA_098752346F64,DNA_GAIN,AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_CAIU,COMPRA,2,1,1,50.0,9.452865480086611,1.0,0.0,1,1.0,1,50.0
DNA_0ACFAB4AE0CD,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS,COMPRA,6,3,3,50.0,18.76128068994087,1.0,0.0,1,1.0,3,50.0
