dna_id,classe_dna,sequencia,dias_ativos,motores_ativos,lados_ativos,horas_ativas,taxa_alvo_media_dias_pct,taxa_alvo_desvio_dias_pp,cv_taxa_alvo_diaria,concentracao_melhor_dia_pct,hora_modal,motor_modal,lado_modal
DNA_01262391215D,DNA_GAIN,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_POS,2,1,2,5,56.25,6.25,0.1111111111111111,80.0,11,motor_operacional_c7_v3_1,VENDA
DNA_01A2AC5DEF00,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,3,1,1,5,66.66666666666667,47.14045207910317,0.7071067811865475,57.142857142857146,11,motor_c7_dna_fluxo_v5_2,COMPRA
DNA_02DCDED28577,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG,3,1,1,6,100.0,0.0,0.0,57.142857142857146,11,motor_operacional_c7_v3_1,COMPRA
DNA_0404D240F778,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_ESTAVEL,2,2,1,5,50.0,50.0,1.0,80.0,6,motor_c7_dna_fluxo_v5_2,COMPRA
DNA_053519090D31,DNA_GAIN,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,2,1,2,7,50.0,0.0,0.0,50.0,15,motor_c7_dna_fluxo_v5_2,VENDA
DNA_06528B31BF49,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,4,1,2,12,83.33333333333333,11.78511301977579,0.1414213562373095,31.57894736842105,11,motor_c7_dna_fluxo_v5_2,COMPRA
DNA_0721D6E6F3C9,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,4,1,1,9,79.58333333333333,14.451787663353855,0.18159314341387045,33.333333333333336,21,motor_operacional_c7_v3_1,VENDA
DNA_079D3E4481A7,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_SUBIU,4,2,1,13,73.86904761904762,10.102051552938702,0.1367562176384933,31.818181818181817,11,motor_c7_dna_fluxo_v5_2,VENDA
DNA_098752346F64,DNA_GAIN,AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_CAIU,1,1,1,2,50.0,0.0,0.0,100.0,16,motor_c7_dna_fluxo_v5_2,COMPRA
DNA_0ACFAB4AE0CD,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS,4,1,2,12,62.77777777777778,27.369217637230225,0.43596983846915405,50.0,11,motor_c7_dna_fluxo_v5_2,VENDA
DNA_0B7B4EA435EA,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG > CAMPANHA_ENTRADAS_CAIU,3,1,2,7,95.23809523809524,6.734350297014741,0.07071067811865478,77.77777777777777,21,motor_operacional_c7_v3_1,VENDA
DNA_0CDC5A943B30,DNA_STOP,CAMPANHA_ENTRADAS_ACELEROU_NEG > CAMPANHA_ENTRADAS_CAIU > CONFIRMACOES_CANDIDATA_ESTAVEL,4,2,1,8,91.66666666666667,14.433756729740642,0.15745916432444335,45.45454545454545,10,motor_operacional_c7_v3_1,VENDA
DNA_0DB4B4CC9BFE,DNA_STOP,CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_ESTAVEL,3,1,1,7,88.8888888888889,15.71348402636772,0.17677669529663684,37.5,9,motor_operacional_c7_v3_1,VENDA
DNA_0DDD8BFE6E7B,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,1,1,1,2,100.0,0.0,0.0,100.0,8,motor_c7_dna_fluxo_v5_2,COMPRA
