dna_id,tipo_causa_stop,classe_dna,sequencia,stops_associados,dias_com_stop,motores_com_stop,lados_com_stop,hora_mais_frequente,concentracao_hora_pct,classe_certificacao,score_certificacao_v1_1,precisao_pct,recall_sensibilidade_pct,f1_score,mcc,lift_classe_alvo,wilson_95_inferior_classe_alvo_pct,profit_factor_classe_alvo_r,expectancia_classe_alvo_r,cobertura_historia_media_pct,previsoes,score_estabilidade
DNA_BDDAB55D5E78,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,44,4,1,1,12,15.909090909090908,C_OBSERVACAO,66.41523569795214,74.57627118644068,6.223479490806223,0.11488250652741513,0.046337557333576467,1.1402680219595809,62.203613017682656,2.933333333333333,0.4915254237288136,42.95399515738499,59,69.74966222931704
DNA_59B7A0672312,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,31,4,2,2,11,19.35483870967742,C_OBSERVACAO,68.42835670354359,81.57894736842105,4.384724186704385,0.08322147651006713,0.06491058523541574,1.2473386436387999,66.58083165848865,4.428571428571429,0.631578947368421,53.57142857142858,38,85.80342919231418
DNA_383D9DF34358,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,31,4,1,2,12,22.58064516129032,C_OBSERVACAO,63.38131426089589,68.88888888888889,4.384724186704385,0.0824468085106383,0.015275456764857254,1.0533081879616533,54.33492001245103,2.2142857142857144,0.37777777777777777,95.11111111111111,45,79.45631333626399
DNA_D543EFFA0C30,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,30,4,2,2,13,16.666666666666664,C_OBSERVACAO,65.46562806927888,75.0,4.243281471004243,0.08032128514056225,0.03955006743174807,1.1467468175388966,59.805740933029895,3.0,0.5,65.71428571428572,40,83.76758347054263
DNA_AFF3F0195078,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ESTAVEL,28,4,2,2,15,17.857142857142858,C_OBSERVACAO,62.077233974084294,73.68421052631578,3.9603960396039604,0.07516778523489932,0.033231875240163175,1.126628452318916,57.99084979362467,2.8,0.47368421052631576,48.120300751879704,38,73.70087077615302
DNA_66F37DEE2F20,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,26,4,2,1,11,15.384615384615383,C_OBSERVACAO,66.1186367202489,76.47058823529412,3.6775106082036775,0.07017543859649122,0.04192978513315933,1.1692320492553456,60.003537191735575,3.25,0.5294117647058824,66.2231559290383,34,94.44439455723776
DNA_6135DE744E37,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,26,4,2,1,12,19.230769230769237,C_OBSERVACAO,59.30335747713439,68.42105263157895,3.6775106082036775,0.0697986577181208,0.012112735243328142,1.0461549914389934,52.54394356005149,2.1666666666666665,0.3684210526315789,95.61403508771929,38,72.65377676915755
DNA_DF8EBE9D9DFF,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU > CAMPANHA_ENTRADAS_ACELEROU_NEG,24,4,2,2,12,16.666666666666664,D_REJEITADO,66.99310235957067,88.88888888888889,3.3946251768033946,0.0653950953678474,0.07902413734161173,1.359107339305359,71.94181745602704,8.0,0.7777777777777778,34.673721340388006,27,81.16722502878248
DNA_4AF1D5F50CC2,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL,24,4,2,2,12,16.666666666666664,C_OBSERVACAO,63.17883208863045,80.0,3.3946251768033946,0.06512890094979648,0.051846657154477456,1.223196605374823,62.69395261897256,4.0,0.6,51.30952380952382,30,78.64759634782791
DNA_E3A1FE45AED7,PADRAO_DE_STOP_CONFIRMADO,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,22,4,2,2,11,22.727272727272727,D_REJEITADO,61.862657767544235,78.57142857142857,3.1117397454031117,0.05986394557823129,0.04514384905126171,1.2013538088502727,60.46105292072612,3.6666666666666665,0.5714285714285714,73.53741496598639,28,79.51615669751625
