candidate_id,rank_cientifico,gene_id,gene_key,family,source_plugin,status_elegibilidade,motivo_elegibilidade,historias_total,historias_com_gene,historias_sem_gene,gain_com_gene,stop_com_gene,gain_sem_gene,stop_sem_gene,cobertura_pct,taxa_gain_gene_pct,taxa_gain_base_pct,lift_gain,leverage,conviction,entropia_alvo,information_gain,mutual_information,odds_ratio,fisher_p,chi2,chi2_p,phi_mcc,bayes_media_pct,bayes_ic_inferior_pct,bayes_ic_superior_pct,bootstrap_media_pct,bootstrap_ic_inferior_pct,bootstrap_ic_superior_pct,bootstrap_desvio_pp,dep_n_a,dep_jaccard_a,dep_n_b,dep_jaccard_b,ant_n_a,ant_n_b,score_qualidade,score_informacao,score_significancia,score_robustez,score_evidencia,score_rede,indice_candidato_0_100,faixa_evidencia
CGENE_9BA261477BE4,1,GENE_4F06674D2393,NUM::MAX_DRAWDOWN_R::ATE_P10,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,239,589,126,113,138,451,28.8647342995,52.719665272,31.884057971,1.6534804108,0.0601414268711,1.44068231371,0.903116172157,0.056371465507,0.056371465507,3.64409388226,1.04616432442e-15,67.1587976945,2.50494965272e-16,0.284797575571,52.6970954357,46.3910689458,58.9607129966,52.8493723849,46.8619246862,58.9958158996,3.19151381287,399,0.13689962009,176,0.14294102782,8,7,0.957746478873,0.99765258216,0.99765258216,0.814945226917,0.778169014085,0.637617370892,90.9189162754,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_264F0FC2A88E,2,GENE_F062C1E0D022,NUM::SCORE_DESCOBERTA_16E::ATE_P10,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,209,619,99,110,165,454,25.2415458937,47.3684210526,31.884057971,1.48564593301,0.039084926136,1.29420289855,0.903116172157,0.0258631744971,0.0258631744971,2.47636363636,5.33466197286e-08,30.8638648834,2.76777617415e-08,0.193067861475,47.3933649289,40.7021846506,54.1313606152,47.4339712919,41.1483253589,54.0669856459,3.23304409055,36,0.108281441504,512,0.137757230369,1,19,0.924882629108,0.97848200313,0.979460093897,0.804773082942,0.761737089202,0.619424882629,88.8179773083,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_6B51CDE43A90,3,GENE_2088C9F7870C,NUM::PROPORCAO_DIAS_ACIMA_50_PCT::ATE_P10,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,331,497,140,191,124,373,39.9758454106,42.2960725076,31.884057971,1.32655863774,0.0416229083526,1.18043857652,0.903116172157,0.023747203148,0.023747203148,2.20486404324,2.05936019748e-07,27.5263809566,1.54966267995e-07,0.182330528012,42.3423423423,37.0904520404,47.6813683139,42.319939577,37.1601208459,47.4395770393,2.74378196761,578,0.158560089776,68,0.171354023774,4,2,0.870892018779,0.973004694836,0.973004694836,0.840766823161,0.834507042254,0.678990610329,88.73728482,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_9F7580D2A362,4,GENE_A97E3DDC5077,NUM::TAXA_ALVO_MEDIA_DIAS_PCT::ATE_P25,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,320,508,133,187,131,377,38.6473429952,41.5625,31.884057971,1.30355113636,0.0374046068753,1.16562039836,0.903116172157,0.0193674267222,0.0193674267222,2.04682205984,2.80545388037e-06,22.4959921479,2.10582502232e-06,0.164830436032,41.6149068323,36.2924060605,47.0360801701,41.491875,36.25,47.1875,2.76938232515,216,0.157360727135,395,0.164119728212,3,4,0.855633802817,0.965962441315,0.965962441315,0.829812206573,0.829812206573,0.667253521127,87.7083333333,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_B5D3961C2850,5,GENE_C62E084D2D54,NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P25,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,297,531,124,173,140,391,35.8695652174,41.7508417508,31.884057971,1.30945821855,0.0353917244276,1.16938929379,0.903116172157,0.0177960394682,0.0177960394682,2.00181668043,6.38259081927e-06,20.7597027217,5.2067103503e-06,0.158341734032,41.8060200669,36.2806420494,47.4352401494,41.6353535354,36.0269360269,47.138047138,2.92582444644,133,0.149696826124,472,0.160833394621,1,9,0.862676056338,0.962832550861,0.963028169014,0.821596244131,0.815727699531,0.657276995305,87.457942097,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_618E5277CFFE,6,GENE_BD0CBFEEE0B2,NUM::TAXA_ALVO_MAX_DIA_PCT::ATE_P10,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,252,576,106,146,158,418,30.4347826087,42.0634920635,31.884057971,1.31926406926,0.0309808863684,1.17569982132,0.903116172157,0.0147056499941,0.0147056499941,1.92075602566,4.78892925017e-05,17.2835641752,3.21959663293e-05,0.144477921416,42.125984252,36.1296843935,48.2397534897,42.248015873,36.1011904762,48.4126984127,3.14027567539,154,0.140857675569,437,0.148939945349,,3,0.867370892019,0.954225352113,0.954225352113,0.807511737089,0.784037558685,0.676643192488,86.7928403756,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_E1EEB099B710,7,GENE_9C1287D2EBBC,NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P10,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,184,644,84,100,180,464,22.2222222222,45.652173913,31.884057971,1.43181818182,0.0305958132045,1.25333333333,0.903116172157,0.017284230308,0.017284230308,2.16533333333,9.81241127092e-06,20.6485216911,5.51797752645e-06,0.157917155906,45.6989247312,38.6112396047,52.8742424247,45.7152173913,38.5869565217,53.2608695652,3.69216174271,216,0.134272167042,332,0.135728688641,10,14,0.902582159624,0.960876369327,0.961267605634,0.770735524257,0.737089201878,0.614143192488,86.5703247261,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_D1890F1E5E50,8,GENE_1607707786DD,NUM::DIAS_ACIMA_58_PCT::ATE_P10,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,208,620,91,117,173,447,25.1207729469,43.75,31.884057971,1.37215909091,0.0298081635511,1.21095008052,0.903116172157,0.0151821644951,0.0151821644951,2.00963391137,3.41420993354e-05,18.0087707462,2.19889527704e-05,0.147477873335,43.8095238095,37.1777627965,50.5529939145,43.5317307692,36.5384615385,50.4807692308,3.48212170728,522,0.140009774093,44,0.134731081171,18,2,0.886150234742,0.956572769953,0.956572769953,0.784037558685,0.760563380282,0.629107981221,86.4964788732,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_72A8FBDC635E,9,GENE_A57459357BCD,NUM::PROPORCAO_DIAS_ACIMA_58_PCT::ATE_P25,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,479,349,177,302,87,262,57.8502415459,36.9519832985,31.884057971,1.15894856709,0.0293180704334,1.08038199443,0.903116172157,0.011891382456,0.011891382456,1.76501484357,0.000281856689259,13.4393566846,0.00024640010101,0.127401362265,37.0062370062,32.749201736,41.3656257181,37.0709812109,32.7766179541,41.3413361169,2.18721864569,263,0.173508664621,444,0.183903949766,,1,0.788732394366,0.93544600939,0.93603286385,0.87323943662,0.893192488263,0.734448356808,86.4803403756,FAIXA_EVIDENCIA_MUITO_ALTA
CGENE_0D5DD48B9070,10,GENE_06BC096ADF16,NUM::TAXA_SEGUNDA_METADE_PCT::ATE_P10,NUM,numeric,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,291,537,117,174,147,390,35.1449275362,40.206185567,31.884057971,1.26101218369,0.0292480571309,1.1391804098,0.903116172157,0.0122741884102,0.0122741884102,1.78395496129,0.000178086049293,14.3085433342,0.000155159094639,0.131456644706,40.2730375427,34.7340752212,45.9377925815,40.0573883162,34.7079037801,45.3608247423,2.82793509058,612,0.153576333561,15,0.135546834687,5,,0.842723004695,0.942488262911,0.943661971831,0.829029733959,0.81044600939,0.676936619718,86.3561228482,FAIXA_EVIDENCIA_MUITO_ALTA
