gene_id,gene_key,family,source_plugin,dna_count,nucleus_count,mean_gene_score,mean_reconstruction_score,max_reconstruction_score,nucleus_ratio,global_role
GENE_4CB3A770738D,NUM::CV_TAXA_ALVO_DIARIA::ATE_P90,NUM,numeric,4,4,83.454127543,90.0874355397,90.9913814639,1,GENE_NUCLEO_RECORRENTE
GENE_06F0A2915F96,NUM::PROPORCAO_DIAS_ACIMA_50_PCT::ATE_P50,NUM,numeric,2,2,76.1741979656,89.8943281852,90.6303397554,1,GENE_NUCLEO_RECORRENTE
GENE_091AC2032C76,NUM::MOTORES_ATIVOS::ATE_P75,NUM,numeric,1,1,74.6258802817,89.7548424418,89.7548424418,1,GENE_NUCLEO_RECORRENTE
GENE_BFA8521B0DB6,NUM::TAXA_ALVO_MAX_DIA_PCT::ATE_P25,NUM,numeric,5,5,78.6859350548,89.7056870521,91.416638369,1,GENE_NUCLEO_RECORRENTE
GENE_8DAABB2395AC,NUM::TAXA_ALVO_DESVIO_DIAS_PP::ATE_P90,NUM,numeric,5,5,83.8688380282,89.6531410909,90.5070602939,1,GENE_NUCLEO_RECORRENTE
GENE_A03688A02685,NUM::ULTIMA_POSICAO::POSITIVO,NUM,numeric,5,5,76.204029734,89.4139115396,91.1767563391,1,GENE_NUCLEO_RECORRENTE
GENE_4ECE39167BEE,NUM::DIAS_ACIMA_58_PCT::ATE_P25,NUM,numeric,5,5,74.4341744914,89.401295887,90.5784443393,1,GENE_NUCLEO_RECORRENTE
GENE_8D1ED91639D5,NUM::PRIMEIRA_POSICAO::POSITIVO,NUM,numeric,5,5,76.0240610329,89.3914154519,91.1542602515,1,GENE_NUCLEO_RECORRENTE
GENE_FCB5DD6E2EE7,NUM::TAXA_ALVO_MIN_DIA_PCT::POSITIVO,NUM,numeric,8,8,78.0521322379,89.3165855254,91.3691321039,1,GENE_NUCLEO_RECORRENTE
GENE_50066B6F31D9,NUM::TAXA_ALVO_MIN_DIA_PCT::ATE_P25,NUM,numeric,1,1,80.7819835681,89.2622556392,89.2622556392,1,GENE_NUCLEO_RECORRENTE
GENE_945017472BDE,NUM::TAXA_ALVO_DESVIO_DIAS_PP::ATE_P50,NUM,numeric,1,0,71.1116001565,89.2387677809,89.2387677809,0,GENE_SUPORTE_RECORRENTE
GENE_451F5778051A,NUM::LADOS_ATIVOS::ATE_P10,NUM,numeric,10,10,75.9864045383,89.2233584802,91.24764484,1,GENE_NUCLEO_RECORRENTE
GENE_360036310E06,NUM::DEGRADACAO_SEGUNDA_MENOS_PRIMEIRA_PP::NEGATIVO,NUM,numeric,2,2,75.1765453834,89.124815869,89.7212432477,1,GENE_NUCLEO_RECORRENTE
GENE_ADF059010517,NUM::MOTORES_ATIVOS::ATE_P10,NUM,numeric,9,9,75.1785015649,89.109137105,91.1262103654,1,GENE_NUCLEO_RECORRENTE
GENE_7CC4554F706E,NUM::SCORE_ESTABILIDADE::ATE_P10,NUM,numeric,1,1,77.9763302034,89.0299704638,89.0299704638,1,GENE_NUCLEO_RECORRENTE
GENE_A36B6C610F11,NUM::TAXA_PRIMEIRA_METADE_PCT::ATE_P75,NUM,numeric,1,1,73.3602308294,88.9989039342,88.9989039342,1,GENE_NUCLEO_RECORRENTE
GENE_CC43C440F549,NUM::CV_TAXA_ALVO_DIARIA::ATE_P50,NUM,numeric,1,0,71.0900821596,88.9940988799,88.9940988799,0,GENE_SUPORTE_RECORRENTE
GENE_A475F36059BB,NUM::LADOS_ATIVOS::ATE_P75,NUM,numeric,1,1,73.7240805947,88.8314481523,88.8314481523,1,GENE_NUCLEO_RECORRENTE
GENE_B2BA214748C1,NUM::TAXA_SEGUNDA_METADE_PCT::POSITIVO,NUM,numeric,10,9,71.8647300469,88.7697955625,90.8341010437,0.9,GENE_NUCLEO_RECORRENTE
GENE_2F37F46849F9,NUM::DIAS_ACIMA_50_PCT::ATE_P50,NUM,numeric,2,1,71.0954616588,88.6537935977,89.2964625221,0.5,GENE_MISTO
GENE_AD356A1AC75F,NUM::HORAS_ATIVAS::ATE_P50,NUM,numeric,2,0,69.8029147105,88.637761248,89.1475812347,0,GENE_SUPORTE_RECORRENTE
GENE_E1311CCF98ED,NUM::SCORE_ESTABILIDADE::ATE_P25,NUM,numeric,2,2,73.7294600939,88.6005176599,89.0332757425,1,GENE_NUCLEO_RECORRENTE
GENE_3D8A852C78DD,NUM::HORA_MODAL::ATE_P25,NUM,numeric,2,0,65.1970852895,88.5939113878,89.2582006709,0,GENE_SUPORTE_RECORRENTE
GENE_90F83D24C40F,NUM::TAMANHO::ATE_P25,NUM,numeric,3,0,70.8959311424,88.5885088471,89.8741617149,0,GENE_SUPORTE_RECORRENTE
GENE_0CCEB6043553,NUM::DEGRADACAO_SEGUNDA_MENOS_PRIMEIRA_PP::ATE_P50,NUM,numeric,1,0,72.6618740219,88.4258516407,88.4258516407,0,GENE_SUPORTE_RECORRENTE
GENE_695159D8ADEC,NUM::CONCENTRACAO_MELHOR_DIA_PCT::ATE_P50,NUM,numeric,3,2,71.4118740219,88.3428879037,89.571086331,0.666666666667,GENE_MISTO
GENE_9FAF88FABFB2,NUM::TAXA_ALVO_DESVIO_DIAS_PP::ATE_P75,NUM,numeric,3,0,69.4229264476,88.2040419853,89.2540052605,0,GENE_SUPORTE_RECORRENTE
