reconstructed_dna_id,component_order,gene_id,gene_key,family,source_plugin,gene_candidate_score_0_100,component_role,component_required_in_signature
RDNA_0005367BB3C5,1,GENE_3B3714C087ED,GENE_3B3714C087ED,DESCONHECIDA,,0,SUPORTE,True
RDNA_0005367BB3C5,2,GENE_89EA67606038,GENE_89EA67606038,DESCONHECIDA,,0,SUPORTE,True
RDNA_0005367BB3C5,3,GENE_BC1C60CBD2B6,NUM::TAXA_ALVO_DESVIO_DIAS_PP::POSITIVO,NUM,numeric,78.4042449139,NUCLEO,True
RDNA_0063A09283ED,1,GENE_67B04509C20C,GENE_67B04509C20C,DESCONHECIDA,,0,SUPORTE,True
RDNA_0063A09283ED,2,GENE_8FC3D8F1510A,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,NUM,numeric,77.7743544601,NUCLEO,True
RDNA_0063A09283ED,3,GENE_9A65B167E88D,GENE_9A65B167E88D,DESCONHECIDA,,0,SUPORTE,True
RDNA_00845D651FC2,1,GENE_9F81AAC8272C,GENE_9F81AAC8272C,DESCONHECIDA,,0,SUPORTE,True
RDNA_00845D651FC2,2,GENE_C62E084D2D54,NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P25,NUM,numeric,87.457942097,NUCLEO,True
RDNA_009EEC5C571F,1,GENE_14A318668676,GENE_14A318668676,DESCONHECIDA,,0,SUPORTE,True
RDNA_009EEC5C571F,2,GENE_F062C1E0D022,NUM::SCORE_DESCOBERTA_16E::ATE_P10,NUM,numeric,88.8179773083,NUCLEO,True
RDNA_00ED171B3B23,1,GENE_89EA67606038,GENE_89EA67606038,DESCONHECIDA,,0,SUPORTE,True
RDNA_00ED171B3B23,2,GENE_8FC3D8F1510A,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,NUM,numeric,77.7743544601,NUCLEO,True
RDNA_00ED171B3B23,3,GENE_F1375B0170A9,GENE_F1375B0170A9,DESCONHECIDA,,0,SUPORTE,True
RDNA_00FC5A61C660,1,GENE_3CAC3B45F3BF,NUM::HORA::POSITIVO,NUM,numeric,60.8895735524,SUPORTE,True
RDNA_00FC5A61C660,2,GENE_BC1C60CBD2B6,NUM::TAXA_ALVO_DESVIO_DIAS_PP::POSITIVO,NUM,numeric,78.4042449139,NUCLEO,True
RDNA_00FC5A61C660,3,GENE_E723E2D3D808,GENE_E723E2D3D808,DESCONHECIDA,,0,SUPORTE,True
RDNA_010CDF2BF09A,1,GENE_8FC3D8F1510A,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,NUM,numeric,77.7743544601,NUCLEO,True
RDNA_010CDF2BF09A,2,GENE_BD0CBFEEE0B2,NUM::TAXA_ALVO_MAX_DIA_PCT::ATE_P10,NUM,numeric,86.7928403756,NUCLEO,True
RDNA_0137934A6C8B,1,GENE_2088C9F7870C,NUM::PROPORCAO_DIAS_ACIMA_50_PCT::ATE_P10,NUM,numeric,88.73728482,NUCLEO,True
RDNA_0137934A6C8B,2,GENE_533B4E5C3716,NUM::DIAS_ATIVOS_X::ATE_P25,NUM,numeric,62.3527973396,SUPORTE,True
RDNA_01A4D26AA6D4,1,GENE_8FC3D8F1510A,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,NUM,numeric,77.7743544601,NUCLEO,True
RDNA_01A4D26AA6D4,2,GENE_E723E2D3D808,GENE_E723E2D3D808,DESCONHECIDA,,0,SUPORTE,True
RDNA_01A4D26AA6D4,3,GENE_EFF8628D99DA,GENE_EFF8628D99DA,DESCONHECIDA,,0,SUPORTE,True
RDNA_01C1AF8E92DE,1,GENE_4198BB471C6A,NUM::MAX_DRAWDOWN_R::POSITIVO,NUM,numeric,71.8754890454,NUCLEO,True
