gene_id,gene_key,family,description,value_type,source_plugin,rule_version,signature,status_elegibilidade,motivo_elegibilidade,historias_total,historias_com_gene,historias_sem_gene,gain_com_gene,stop_com_gene,gain_sem_gene,stop_sem_gene,cobertura_pct,taxa_gain_gene_pct,taxa_gain_base_pct,lift_gain,leverage,conviction,entropia_alvo,information_gain,mutual_information,odds_ratio,fisher_p,chi2,chi2_p,phi_mcc,bayes_media_pct,bayes_ic_inferior_pct,bayes_ic_superior_pct,bootstrap_media_pct,bootstrap_ic_inferior_pct,bootstrap_ic_superior_pct,bootstrap_desvio_pp,candidate_id,rank_cientifico,indice_candidato_0_100,faixa_evidencia,status_lab16i4,dna_count,nucleus_count,mean_reconstruction_score,max_reconstruction_score,global_role,status_lab16i5
GENE_594503662151,COMPRIMENTO_SEQ_2,COMPRIMENTO_SEQ_2,Gene extraído por sequence; origem=sequencia.,NUMERIC,sequence,16I1_v1.0.0,cb4702e245687255cc9298325190f8fadad8871ee2650f924db147ac88c1965b,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,304,524,89,215,175,349,36.7149758454,29.2763157895,31.884057971,0.918211722488,-0.00957431912063,0.963127738456,0.903116172157,0.00131920554225,0.00131920554225,0.825541528239,0.245949060771,1.50410993575,0.220040062525,-0.0426210968115,29.4117647059,24.447036798,34.6313943837,29.2282894737,24.6710526316,34.2105263158,2.56544168332,CGENE_52C15190A328,212,60.5638693271,FAIXA_EVIDENCIA_MODERADA,CANDIDATO_CIENTIFICO,,,,,,NAO_PARTICIPA_RECONSTRUCAO
GENE_6CC330E32ED1,COMPRIMENTO_SEQ_3,COMPRIMENTO_SEQ_3,Gene extraído por sequence; origem=sequencia.,NUMERIC,sequence,16I1_v1.0.0,39cc778221a4c23140d54d85fc02a4e9b4cd33f1399e601510b1052cb544b3d2,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,568,260,170,398,94,166,68.5990338164,29.9295774648,31.884057971,0.938700384123,-0.013407547434,0.972106911368,0.903116172157,0.00274052060495,0.00274052060495,0.754303432054,0.0776162595018,3.18160055408,0.074471748745,-0.0619880048596,30,26.3095815719,33.8233526633,29.9642605634,26.2279929577,33.6267605634,1.90454566613,CGENE_9EA41F70661D,86,70.9272300469,FAIXA_EVIDENCIA_ALTA,CANDIDATO_CIENTIFICO,3,0,73.5924212102,74.878074078,GENE_SUPORTE_RECORRENTE,PARTICIPA_RECONSTRUCAO
GENE_3541726C5B8E,COMPRIMENTO_SEQ_4,COMPRIMENTO_SEQ_4,Gene extraído por sequence; origem=sequencia.,NUMERIC,sequence,16I1_v1.0.0,915f8ad2a981ff7ce12053c670c489b7ee1821a5d266724182bfd7dfc7e945c3,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,421,407,130,291,134,273,50.845410628,30.8788598575,31.884057971,0.968473331894,-0.00511097108451,0.9854574431,0.903116172157,0.000347124771794,0.000347124771794,0.910140021542,0.551089377704,0.398473088403,0.527878872909,-0.0219373583484,30.9692671395,26.6563042766,35.4526823637,30.8045130641,26.8408551069,35.1543942993,2.2284671819,,,,,NAO_PRIORIZADO_NESTA_EXECUCAO,4,0,64.1645964712,65.4030215608,GENE_SUPORTE_RECORRENTE,PARTICIPA_RECONSTRUCAO
GENE_61340A0C85C3,COMPRIMENTO_SEQ_5,COMPRIMENTO_SEQ_5,Gene extraído por sequence; origem=sequencia.,NUMERIC,sequence,16I1_v1.0.0,882befbaf7c9e3d475279a851be20d7e4107b3885fa13e88b58f7fc03e9757e1,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,180,648,53,127,211,437,21.7391304348,29.4444444444,31.884057971,0.923484848485,-0.00530350766646,0.965422800411,0.903116172157,0.000554828065464,0.000554828065464,0.864313169385,0.46986850221,0.630300343864,0.427245167212,-0.0275904385495,29.6703296703,23.2737652074,36.4900782028,29.5177777778,22.7777777778,36.1111111111,3.39943795364,,,,,NAO_PRIORIZADO_NESTA_EXECUCAO,,,,,,NAO_PARTICIPA_RECONSTRUCAO
GENE_9A3444B624C1,COMPRIMENTO_SEQ_6,COMPRIMENTO_SEQ_6,Gene extraído por sequence; origem=sequencia.,NUMERIC,sequence,16I1_v1.0.0,044037d9ccac52f3360afea0c392c168f63167a159f4b0ea15eb05aca2c74f77,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,97,731,25,72,239,492,11.7149758454,25.7731958763,31.884057971,0.808341143393,-0.00715886018343,0.91767310789,0.903116172157,0.00170178839979,0.00170178839979,0.714783821478,0.202019026988,1.88915374182,0.169297402068,-0.0477659569643,26.2626262626,18.1190623262,35.3142527777,25.6484536082,17.5257731959,34.0206185567,4.4388474721,,,,,NAO_PRIORIZADO_NESTA_EXECUCAO,,,,,,NAO_PARTICIPA_RECONSTRUCAO
GENE_2A1190BA3281,FAIXA_POS_00::AJUSTE_ESTRUTURA_ACELEROU_NEG,FAIXA_POS_00,Gene extraído por sequence; origem=sequencia.,CATEGORICAL,sequence,16I1_v1.0.0,cb57bc0e099f3915d2ef20aced223bb5a6926b3f031c76945252c6872b510aac,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,173,655,66,107,198,457,20.8937198068,38.1502890173,31.884057971,1.19653179191,0.0130924875726,1.10131382907,0.903116172157,0.00336852834102,0.00336852834102,1.42367601246,0.0539565643781,3.95389917581,0.0467628946283,0.0691031153458,38.2857142857,31.2408162584,45.5842707112,38.0202312139,30.6358381503,45.0867052023,3.74896555122,CGENE_B30684DB69DC,37,77.9034624413,FAIXA_EVIDENCIA_ALTA,CANDIDATO_CIENTIFICO,3,3,73.8874783183,74.1060677356,GENE_NUCLEO_RECORRENTE,PARTICIPA_RECONSTRUCAO
GENE_25C5E9A20D56,FAIXA_POS_00::AJUSTE_ESTRUTURA_ACELEROU_POS,FAIXA_POS_00,Gene extraído por sequence; origem=sequencia.,CATEGORICAL,sequence,16I1_v1.0.0,36e9047e8d9b00014a3e6458072b9d0e105b94658b700adbd1d3a4c8370f2719,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,151,677,46,105,218,459,18.2367149758,30.4635761589,31.884057971,0.955448524985,-0.00259049219352,0.979572118703,0.903116172157,0.000150428392999,0.000150428392999,0.922411533421,0.70052796187,0.171580375067,0.678711080792,-0.0143952309881,30.7189542484,23.6845720807,38.2307822386,30.6655629139,23.8410596026,38.4271523179,3.77590803157,,,,,NAO_PRIORIZADO_NESTA_EXECUCAO,,,,,,NAO_PARTICIPA_RECONSTRUCAO
GENE_25657B59BAC0,FAIXA_POS_00::AJUSTE_ESTRUTURA_CAIU,FAIXA_POS_00,Gene extraído por sequence; origem=sequencia.,CATEGORICAL,sequence,16I1_v1.0.0,ab90b6a559c98d4f0b14f85279fd07586a684a0cce2d328b4abcd4c0a1029a7c,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,109,719,39,70,225,494,13.1642512077,35.7798165138,31.884057971,1.1221851543,0.00512847441014,1.06066252588,0.903116172157,0.000751320939359,0.000751320939359,1.22323809524,0.377839402263,0.877181877094,0.348974703978,0.0325484009175,36.036036036,27.4024223526,45.146374002,35.7266055046,26.6055045872,44.9541284404,4.49884559842,CGENE_317CAC6A0CEE,192,61.698943662,FAIXA_EVIDENCIA_MODERADA,CANDIDATO_CIENTIFICO,,,,,,NAO_PARTICIPA_RECONSTRUCAO
GENE_ED9E92B3A295,FAIXA_POS_00::AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG,FAIXA_POS_00,Gene extraído por sequence; origem=sequencia.,CATEGORICAL,sequence,16I1_v1.0.0,0b760d7bed8d0e859b4e763418c42e4288c8874520daa008bbda65d8f8b51b5c,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,128,700,33,95,231,469,15.4589371981,25.78125,31.884057971,0.80859375,-0.00943429251558,0.917772692601,0.903116172157,0.00233456320091,0.00233456320091,0.705263157895,0.121819642829,2.59644614362,0.107103639647,-0.0559982546271,26.1538461538,18.9938463154,34.0086111179,26.05,18.75,33.59375,3.91785875132,,,,,NAO_PRIORIZADO_NESTA_EXECUCAO,,,,,,NAO_PARTICIPA_RECONSTRUCAO
GENE_9DE8FF97A70B,FAIXA_POS_00::AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS,FAIXA_POS_00,Gene extraído por sequence; origem=sequencia.,CATEGORICAL,sequence,16I1_v1.0.0,31e2f65b474e74c158da053ba13407d83370021d072e3fdacefae5bcf1219f6b,ELEGIVEL_MEDICAO,Sem indicador direto de vazamento,828,47,781,10,37,254,527,5.67632850242,21.2765957447,31.884057971,0.667311411992,-0.00602114401736,0.865256560909,0.903116172157,0.00240973292058,0.00240973292058,0.560757608002,0.145854564291,2.58153365569,0.108116863051,-0.0558372122348,22.4489795918,12.0330166826,34.9910240257,21.1936170213,10.6382978723,34.0425531915,5.9450045931,,,,,NAO_PRIORIZADO_NESTA_EXECUCAO,,,,,,NAO_PARTICIPA_RECONSTRUCAO
