reconstructed_dna_id,rank_reconstruction,source_type,source_candidate_id,source_interaction_id,component_count,components_present_in_candidates,gene_ids,gene_signature,families,distinct_families,historias,gain,stop,taxa_gain_pct,taxa_gain_base_pct,lift_gain,fisher_p,bootstrap_ic_inferior_pct,interaction_score_0_100,component_score_mean_0_100,coherence_score_0_100,parsimony_score_0_100,reconstruction_score_0_100,evidence_band,scientific_status,operational_status
RDNA_39EB4794EAD8,1,PAIR,CPAIR_74656D2EB31D,PAIR_08C4ED2514C4,2,2,GENE_2088C9F7870C|GENE_4F06674D2393,NUM::PROPORCAO_DIAS_ACIMA_50_PCT::ATE_P10 + NUM::MAX_DRAWDOWN_R::ATE_P10,NUM|NUM,1,183,98,85,53.5519125683,31.884057971,1.67958271237,4.19298956583e-12,46.4480874317,90.3725290228,89.8281005477,100,100,92.6432896483,EVIDENCIA_MUITO_ALTA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_B3B74A701F17,2,PAIR,CPAIR_877CBB67A2FA,PAIR_0D698D6C22F3,2,2,GENE_4F06674D2393|GENE_E93B98B1FCDD,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::DIAS_ACIMA_50_PCT::ATE_P10,NUM|NUM,1,214,112,102,52.3364485981,31.884057971,1.6414613424,3.77200223539e-13,46.261682243,90.8760868313,88.5282179186,100,100,92.5700978953,EVIDENCIA_MUITO_ALTA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_59233E94BEBC,3,PAIR,CPAIR_818A7C35C5B6,PAIR_AEBC56B7ABEE,2,2,GENE_4F06674D2393|GENE_A57459357BCD,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::PROPORCAO_DIAS_ACIMA_58_PCT::ATE_P25,NUM|NUM,1,195,103,92,52.8205128205,31.884057971,1.65664335664,3.26894091005e-12,46.1538461538,90.5490851349,88.6996283255,100,100,92.4494496488,EVIDENCIA_MUITO_ALTA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_24A29D4A7D4C,4,PAIR,CPAIR_BEA65630CB99,PAIR_8B3817B45A69,2,2,GENE_4F06674D2393|GENE_C62E084D2D54,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P25,NUM|NUM,1,126,71,55,56.3492063492,31.884057971,1.76731601732,7.5393128234e-10,48.4126984127,89.6681371833,89.1884291862,100,100,92.1311758882,EVIDENCIA_MUITO_ALTA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_DF978A927647,5,PAIR,CPAIR_E418DC75B9DB,PAIR_E18A4CF26A1C,2,2,GENE_4F06674D2393|GENE_A97E3DDC5077,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::TAXA_ALVO_MEDIA_DIAS_PCT::ATE_P25,NUM|NUM,1,128,73,55,57.03125,31.884057971,1.78870738636,2.29894063585e-10,48.80859375,89.5387582993,89.3136248043,100,100,92.0977853507,EVIDENCIA_MUITO_ALTA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_1893DFEDA227,6,PAIR,CPAIR_A923C2D0E94A,PAIR_7EEFE3691039,2,2,GENE_4F06674D2393|GENE_F062C1E0D022,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::SCORE_DESCOBERTA_16E::ATE_P10,NUM|NUM,1,131,73,58,55.7251908397,31.884057971,1.74774462179,7.7355063644e-10,46.5648854962,89.0917843744,89.8684467919,100,100,92.0130038852,EVIDENCIA_MUITO_ALTA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_584DCF9C6396,7,PAIR,CPAIR_DDA2F6CBDDB6,PAIR_0DD9AA7F4856,2,2,GENE_06BC096ADF16|GENE_4F06674D2393,NUM::TAXA_SEGUNDA_METADE_PCT::ATE_P10 + NUM::MAX_DRAWDOWN_R::ATE_P10,NUM|NUM,1,150,77,73,51.3333333333,31.884057971,1.61,4.21392323278e-08,43.3333333333,89.1921128046,88.6375195618,100,100,91.7554362928,EVIDENCIA_MUITO_ALTA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_07B0E111F4F8,8,PAIR,CPAIR_92FE848953DD,PAIR_939C6C37E002,2,2,GENE_4F06674D2393|GENE_9C1287D2EBBC,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P10,NUM|NUM,1,129,68,61,52.7131782946,31.884057971,1.6532769556,1.0156125391e-07,45.7364341085,89.1209123404,88.7446205007,100,100,91.7466112954,EVIDENCIA_MUITO_ALTA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_688F401D5C31,9,PAIR,CPAIR_45DF594EBE30,PAIR_35A7DCDED724,2,2,GENE_A97E3DDC5077|GENE_F062C1E0D022,NUM::TAXA_ALVO_MEDIA_DIAS_PCT::ATE_P25 + NUM::SCORE_DESCOBERTA_16E::ATE_P10,NUM|NUM,1,109,64,45,58.7155963303,31.884057971,1.84153461218,5.3604671511e-10,50.4587155963,89.2764460449,88.2631553208,100,100,91.7040118526,EVIDENCIA_MUITO_ALTA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_C230E5380B14,10,PAIR,CPAIR_81E72756826F,PAIR_048EB1404A36,2,2,GENE_4F06674D2393|GENE_5E29A0A6E5E1,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::TAXA_PRIMEIRA_METADE_PCT::ATE_P25,NUM|NUM,1,126,71,55,56.3492063492,31.884057971,1.76731601732,7.5393128234e-10,48.4126984127,89.6681371833,87.4469385759,100,100,91.6958032356,EVIDENCIA_MUITO_ALTA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
