reconstructed_dna_id,rank_reconstruction,source_type,source_candidate_id,gene_signature,families,taxa_gain_pct,lift_gain,reconstruction_score_0_100,narrative_id,assignment_method,operational_status
RDNA_39EB4794EAD8,1,PAIR,CPAIR_74656D2EB31D,NUM::PROPORCAO_DIAS_ACIMA_50_PCT::ATE_P10 + NUM::MAX_DRAWDOWN_R::ATE_P10,NUM|NUM,53.5519125683,1.67958271237,92.6432896483,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_B3B74A701F17,2,PAIR,CPAIR_877CBB67A2FA,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::DIAS_ACIMA_50_PCT::ATE_P10,NUM|NUM,52.3364485981,1.6414613424,92.5700978953,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_59233E94BEBC,3,PAIR,CPAIR_818A7C35C5B6,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::PROPORCAO_DIAS_ACIMA_58_PCT::ATE_P25,NUM|NUM,52.8205128205,1.65664335664,92.4494496488,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_24A29D4A7D4C,4,PAIR,CPAIR_BEA65630CB99,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P25,NUM|NUM,56.3492063492,1.76731601732,92.1311758882,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_DF978A927647,5,PAIR,CPAIR_E418DC75B9DB,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::TAXA_ALVO_MEDIA_DIAS_PCT::ATE_P25,NUM|NUM,57.03125,1.78870738636,92.0977853507,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_1893DFEDA227,6,PAIR,CPAIR_A923C2D0E94A,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::SCORE_DESCOBERTA_16E::ATE_P10,NUM|NUM,55.7251908397,1.74774462179,92.0130038852,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_584DCF9C6396,7,PAIR,CPAIR_DDA2F6CBDDB6,NUM::TAXA_SEGUNDA_METADE_PCT::ATE_P10 + NUM::MAX_DRAWDOWN_R::ATE_P10,NUM|NUM,51.3333333333,1.61,91.7554362928,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_07B0E111F4F8,8,PAIR,CPAIR_92FE848953DD,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P10,NUM|NUM,52.7131782946,1.6532769556,91.7466112954,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_688F401D5C31,9,PAIR,CPAIR_45DF594EBE30,NUM::TAXA_ALVO_MEDIA_DIAS_PCT::ATE_P25 + NUM::SCORE_DESCOBERTA_16E::ATE_P10,NUM|NUM,58.7155963303,1.84153461218,91.7040118526,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_C230E5380B14,10,PAIR,CPAIR_81E72756826F,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::TAXA_PRIMEIRA_METADE_PCT::ATE_P25,NUM|NUM,56.3492063492,1.76731601732,91.6958032356,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_8780EB86D947,11,PAIR,CPAIR_A99A9C34D9E3,NUM::PROPORCAO_DIAS_ACIMA_58_PCT::ATE_P25 + NUM::SCORE_DESCOBERTA_16E::ATE_P10,NUM|NUM,53.7414965986,1.68552875696,91.646647201,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_78A2F00350F6,12,PAIR,CPAIR_4DB05CF3EF53,NUM::PROPORCAO_DIAS_ACIMA_50_PCT::ATE_P10 + NUM::SCORE_DESCOBERTA_16E::ATE_P10,NUM|NUM,50.3597122302,1.57946370177,91.6430581684,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_D7A27C3828AD,13,PAIR,CPAIR_F7D908CBF315,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::TAXA_ALVO_DESVIO_DIAS_PP::POSITIVO,NUM|NUM,52.5641025641,1.6486013986,91.5969081641,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_4CFFC6F7D968,14,PAIR,CPAIR_1CBEECC5716B,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,NUM|NUM,52.3404255319,1.6415860735,91.569916767,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_8E95FA1E07A4,15,PAIR,CPAIR_8AFC3BA4938F,NUM::DIAS_ACIMA_58_PCT::ATE_P10 + NUM::MAX_DRAWDOWN_R::ATE_P10,NUM|NUM,51.0948905109,1.60252156603,91.5671195471,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_F6AEB40CCC44,16,PAIR,CPAIR_E8503B19E6C5,NUM::DIAS_ACIMA_50_PCT::ATE_P10 + NUM::SCORE_DESCOBERTA_16E::ATE_P10,NUM|NUM,50.3067484663,1.57780256553,91.5157684578,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_53D66AB1526C,17,PAIR,CPAIR_C46471307DED,NUM::PROPORCAO_DIAS_ACIMA_50_PCT::ATE_P10 + NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P25,NUM|NUM,50.0,1.56818181818,91.4907071636,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_9E43E1DE72D8,18,PAIR,CPAIR_84E008B5F1B4,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::TAXA_ALVO_MIN_DIA_PCT::ZERO,NUM|NUM,51.4084507042,1.61235595391,91.4680883979,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_BE5A6FC82F2D,19,PAIR,CPAIR_3493EF8E719E,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::TAXA_ALVO_MIN_DIA_PCT::ATE_P10,NUM|NUM,51.4084507042,1.61235595391,91.4583074903,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_94A14CD635E9,20,PAIR,CPAIR_7D511CC6E904,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::TAXA_ALVO_MAX_DIA_PCT::ATE_P25,NUM|NUM,51.9417475728,1.62908208297,91.416638369,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_97BDA89FD5CA,21,PAIR,CPAIR_F96ADDCA470D,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::TAXA_ALVO_MIN_DIA_PCT::POSITIVO,NUM|NUM,52.6041666667,1.64985795455,91.3691321039,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_D06215FBA288,22,PAIR,CPAIR_DC5E12D09C59,NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P25 + NUM::DIAS_ACIMA_50_PCT::ATE_P10,NUM|NUM,47.9381443299,1.50351452671,91.3591930397,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_1E336260DEAB,23,PAIR,CPAIR_3399BBC362C7,NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P25 + NUM::SCORE_DESCOBERTA_16E::ATE_P10,NUM|NUM,57.6923076923,1.80944055944,91.3299347569,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_D15056B1DA76,24,PAIR,CPAIR_C4756289CEBE,NUM::LADOS_ATIVOS::ATE_P10 + NUM::MAX_DRAWDOWN_R::ATE_P10,NUM|NUM,52.6785714286,1.65219155844,91.24764484,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_ADB1BA52BD20,25,PAIR,CPAIR_87353AF1CA67,NUM::TAXA_ALVO_MEDIA_DIAS_PCT::ATE_P25 + NUM::TAXA_ALVO_MEDIANA_DIAS_PCT::ATE_P25,NUM|NUM,44.8559670782,1.40684624018,91.2205786893,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_EC9325FC17AA,26,PAIR,CPAIR_486E7C8D59FC,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::ULTIMA_POSICAO::POSITIVO,NUM|NUM,51.4705882353,1.61430481283,91.1767563391,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_D0699C4818E4,27,PAIR,CPAIR_A0990760F210,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::PRIMEIRA_POSICAO::POSITIVO,NUM|NUM,51.4705882353,1.61430481283,91.1542602515,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_34614957AF17,28,PAIR,CPAIR_5C83009E70F0,NUM::MAX_DRAWDOWN_R::ATE_P10 + NUM::MOTORES_ATIVOS::ATE_P10,NUM|NUM,51.5837104072,1.6178527355,91.1262103654,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_6631B09943FE,29,PAIR,CPAIR_B05D81C8C9D0,NUM::PROPORCAO_DIAS_ACIMA_50_PCT::ATE_P10 + NUM::TAXA_ALVO_MEDIA_DIAS_PCT::ATE_P25,NUM|NUM,44.6078431373,1.39906417112,91.0859779689,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
RDNA_B5AFCE84C21E,30,PAIR,CPAIR_F187F93F1CBA,NUM::PROPORCAO_DIAS_ACIMA_58_PCT::ATE_P10 + NUM::MAX_DRAWDOWN_R::ATE_P10,NUM|NUM,53.4653465347,1.67686768677,91.0537985908,NARRATIVA_001,KMEANS_DETERMINISTICO,NAO_OPERACIONAL
