arquivo,caminho,tamanho_mb,modificado_em,provavel_derivado_nome,linhas_aproximadas,fingerprint_rapido,separador,colunas_total,colunas,coluna_data,coluna_lado,coluna_resultado,coluna_pontos,coluna_preco,amostra_linhas,valores_lado_amostra,valores_resultado_amostra,data_min_amostra,data_max_amostra,possui_estrutura_trade,possui_resultado_observado
log_offset_execucao_mt5.csv,C:\Nas100_dashboard\C7_LAB_BASE_V1\input\log_offset_execucao_mt5.csv,0.186,2026-07-23 17:23:56.097073,False,1582,e87e3d5126568e77fc31a8644396d643325c370f2a6e43bbda9bdde51be2dbcf,';',12,id | data_hora | lado | preco_quantower | preco_mt5 | offset_preco | offset_pontos | limite_offset_pontos | aprovado | executado | motivo | ticket,data_hora,lado,,offset_pontos,preco_quantower,1582,COMPRA:1061 | VENDA:521,,2026-07-16T01:05:01,2026-07-23T23:23:57,True,True
log_offset_execucao_mt5.csv,C:\Nas100_dashboard\C7_LAB\input\log_offset_execucao_mt5.csv,0.186,2026-07-23 17:23:56.097073,False,1582,e87e3d5126568e77fc31a8644396d643325c370f2a6e43bbda9bdde51be2dbcf,';',12,id | data_hora | lado | preco_quantower | preco_mt5 | offset_preco | offset_pontos | limite_offset_pontos | aprovado | executado | motivo | ticket,data_hora,lado,,offset_pontos,preco_quantower,1582,COMPRA:1061 | VENDA:521,,2026-07-16T01:05:01,2026-07-23T23:23:57,True,True
sinais_c7_dna_fluxo_v5_2.csv,C:\Nas100_dashboard\C7_LAB_BASE_V1\input\sinais_c7_dna_fluxo_v5_2.csv,0.593,2026-07-23 17:18:41.080434,False,587,48c5778dd729ee132c36e30eac8f525110193084ee089c1fba6650bcfa0eaa96,';',85,id | data_hora | data_qt | lado | preco_entrada | gain | stop | stop_protegido | protecionado | tp_mt5 | sl_mt5 | protecao_pontos | regra | status | mfe_mt5 | mae_mt5 | tempo_mfe_s | tempo_mae_s | tempo_resultado_s | preco_resultado | resultado_mt5 | score_entrada | score_base_dna | ajuste_estrutura | score_oposto | score_compra_base | score_venda_base | ajuste_estrutura_compra | ajuste_estrutura_venda | diferenca_score | hard_gates_ok | qtd_hard_gates_ok | hard_gates_faltantes | gate_delta30 | gate_saldo30 | gate_vel15 | gate_aceleracao | gate_rompimento | gate_continuidade | gate_atividade | hard_gates_compra_ok | qtd_hard_gates_compra_ok | hard_gates_compra_faltantes | hard_gates_venda_ok | qtd_hard_gates_venda_ok | hard_gates_venda_faltantes | score_spread | dna_spread | estrutura | estrutura_bruta | estrutura_candidata | confirmacoes_candidata | nivel_invalidation | ultima_mudanca_confirmada | motivo_estrutura | motivo_estrutura_bruta | qtd_swings_confirmados | ultimo_topo | topo_anterior | ultimo_fundo | fundo_anterior | eficiencia_swings | amplitude_swings | ultima_mudanca_estrutura | swing_mais_recente_tipo | swing_mais_recente_preco | swing_mais_recente_hora | tipo_entrada_campanha | campanha_entradas_antes | delta30 | delta10 | saldo30 | saldo10 | vel15 | vel5 | aceleracao | rompimento_compra | rompimento_venda | continuidade_2s | ticks_s | motivos | bloqueios_no_momento | score_minimo_config | diferenca_minima_config | modo_sombra,data_hora,lado,tempo_resultado_s,protecao_pontos,preco_entrada,307,COMPRA:169 | VENDA:138,,2026-07-17T17:45:02,2026-07-22T09:56:21,True,True
sinais_c7_dna_fluxo_v5_2.csv,C:\Nas100_dashboard\C7_LAB\input\sinais_c7_dna_fluxo_v5_2.csv,0.593,2026-07-23 17:18:41.080434,False,587,48c5778dd729ee132c36e30eac8f525110193084ee089c1fba6650bcfa0eaa96,';',85,id | data_hora | data_qt | lado | preco_entrada | gain | stop | stop_protegido | protecionado | tp_mt5 | sl_mt5 | protecao_pontos | regra | status | mfe_mt5 | mae_mt5 | tempo_mfe_s | tempo_mae_s | tempo_resultado_s | preco_resultado | resultado_mt5 | score_entrada | score_base_dna | ajuste_estrutura | score_oposto | score_compra_base | score_venda_base | ajuste_estrutura_compra | ajuste_estrutura_venda | diferenca_score | hard_gates_ok | qtd_hard_gates_ok | hard_gates_faltantes | gate_delta30 | gate_saldo30 | gate_vel15 | gate_aceleracao | gate_rompimento | gate_continuidade | gate_atividade | hard_gates_compra_ok | qtd_hard_gates_compra_ok | hard_gates_compra_faltantes | hard_gates_venda_ok | qtd_hard_gates_venda_ok | hard_gates_venda_faltantes | score_spread | dna_spread | estrutura | estrutura_bruta | estrutura_candidata | confirmacoes_candidata | nivel_invalidation | ultima_mudanca_confirmada | motivo_estrutura | motivo_estrutura_bruta | qtd_swings_confirmados | ultimo_topo | topo_anterior | ultimo_fundo | fundo_anterior | eficiencia_swings | amplitude_swings | ultima_mudanca_estrutura | swing_mais_recente_tipo | swing_mais_recente_preco | swing_mais_recente_hora | tipo_entrada_campanha | campanha_entradas_antes | delta30 | delta10 | saldo30 | saldo10 | vel15 | vel5 | aceleracao | rompimento_compra | rompimento_venda | continuidade_2s | ticks_s | motivos | bloqueios_no_momento | score_minimo_config | diferenca_minima_config | modo_sombra,data_hora,lado,tempo_resultado_s,protecao_pontos,preco_entrada,307,COMPRA:169 | VENDA:138,,2026-07-17T17:45:02,2026-07-22T09:56:21,True,True
estados_c7_dna_fluxo_v5_2.csv,C:\Nas100_dashboard\C7_LAB_BASE_V1\input\estados_c7_dna_fluxo_v5_2.csv,13.25,2026-07-23 17:18:41.069041,False,11117,19b1485970ec6081f5f07c45ef8f900dc73c14378dde5637ea1fa9429f124e35,';',90,data_hora_sistema | preco | spread_atual | imbalance_atual | delta30 | delta10 | compra30 | venda30 | saldo30 | compra10 | venda10 | saldo10 | razao_compra30 | razao_venda30 | vel15 | vel5 | vel_anterior | aceleracao | desloc15 | topo_30s | fundo_30s | rompimento_compra | rompimento_venda | continuidade_2s | ticks_s | score_spread | spread_pct_120_60 | spread_pct_60 | spread_pct_30 | spread_pct_15 | spread_pct_5 | spread_medio_30 | spread_max_30 | dna_spread | estrutura | motivo_estrutura | qtd_swings_confirmados | ultimo_topo | topo_anterior | ultimo_fundo | fundo_anterior | amplitude_swings | eficiencia_swings | ultima_mudanca_estrutura | swing_mais_recente_tipo | swing_mais_recente_preco | swing_mais_recente_hora | estrutura_bruta | motivo_estrutura_bruta | estrutura_confirmada | estrutura_candidata | confirmacoes_candidata | nivel_invalidation | ultima_mudanca_confirmada | aprovado | lado | score | score_base_dna | ajuste_estrutura | score_oposto | diferenca_score | gate_delta30 | gate_saldo30 | gate_vel15 | gate_aceleracao | gate_rompimento | gate_continuidade | gate_atividade | hard_gates_ok | qtd_hard_gates_ok | hard_gates_faltantes | hard_gates_compra_ok | qtd_hard_gates_compra_ok | hard_gates_compra_faltantes | hard_gates_venda_ok | qtd_hard_gates_venda_ok | hard_gates_venda_faltantes | positivos | bloqueios | score_compra | score_venda | score_compra_base | score_venda_base | ajuste_estrutura_compra | ajuste_estrutura_venda | tipo_entrada_campanha | campanha_ativa | campanha_lado | campanha_entradas | campanha_pullback,data_hora_sistema,lado,,,preco,11117,COMPRA:5579 | VENDA:5538,,2026-07-17T17:40:59,2026-07-23T17:18:41,True,False
estados_c7_dna_fluxo_v5_2.csv,C:\Nas100_dashboard\C7_LAB\input\estados_c7_dna_fluxo_v5_2.csv,13.25,2026-07-23 17:18:41.069041,False,11117,19b1485970ec6081f5f07c45ef8f900dc73c14378dde5637ea1fa9429f124e35,';',90,data_hora_sistema | preco | spread_atual | imbalance_atual | delta30 | delta10 | compra30 | venda30 | saldo30 | compra10 | venda10 | saldo10 | razao_compra30 | razao_venda30 | vel15 | vel5 | vel_anterior | aceleracao | desloc15 | topo_30s | fundo_30s | rompimento_compra | rompimento_venda | continuidade_2s | ticks_s | score_spread | spread_pct_120_60 | spread_pct_60 | spread_pct_30 | spread_pct_15 | spread_pct_5 | spread_medio_30 | spread_max_30 | dna_spread | estrutura | motivo_estrutura | qtd_swings_confirmados | ultimo_topo | topo_anterior | ultimo_fundo | fundo_anterior | amplitude_swings | eficiencia_swings | ultima_mudanca_estrutura | swing_mais_recente_tipo | swing_mais_recente_preco | swing_mais_recente_hora | estrutura_bruta | motivo_estrutura_bruta | estrutura_confirmada | estrutura_candidata | confirmacoes_candidata | nivel_invalidation | ultima_mudanca_confirmada | aprovado | lado | score | score_base_dna | ajuste_estrutura | score_oposto | diferenca_score | gate_delta30 | gate_saldo30 | gate_vel15 | gate_aceleracao | gate_rompimento | gate_continuidade | gate_atividade | hard_gates_ok | qtd_hard_gates_ok | hard_gates_faltantes | hard_gates_compra_ok | qtd_hard_gates_compra_ok | hard_gates_compra_faltantes | hard_gates_venda_ok | qtd_hard_gates_venda_ok | hard_gates_venda_faltantes | positivos | bloqueios | score_compra | score_venda | score_compra_base | score_venda_base | ajuste_estrutura_compra | ajuste_estrutura_venda | tipo_entrada_campanha | campanha_ativa | campanha_lado | campanha_entradas | campanha_pullback,data_hora_sistema,lado,,,preco,11117,COMPRA:5579 | VENDA:5538,,2026-07-17T17:40:59,2026-07-23T17:18:41,True,False
trades_c7_dna_fluxo_v5_2.csv,C:\Nas100_dashboard\C7_LAB_BASE_V1\input\trades_c7_dna_fluxo_v5_2.csv,0.607,2026-07-23 17:13:05.738901,False,586,7ef812caaa53b9a229b4f44d3d60934f0a8e9ed4c412f887d43b76f92185688f,';',85,id | data_hora | data_qt | lado | preco_entrada | gain | stop | stop_protegido | protecionado | tp_mt5 | sl_mt5 | protecao_pontos | regra | status | mfe_mt5 | mae_mt5 | tempo_mfe_s | tempo_mae_s | tempo_resultado_s | preco_resultado | resultado_mt5 | score_entrada | score_base_dna | ajuste_estrutura | score_oposto | score_compra_base | score_venda_base | ajuste_estrutura_compra | ajuste_estrutura_venda | diferenca_score | hard_gates_ok | qtd_hard_gates_ok | hard_gates_faltantes | gate_delta30 | gate_saldo30 | gate_vel15 | gate_aceleracao | gate_rompimento | gate_continuidade | gate_atividade | hard_gates_compra_ok | qtd_hard_gates_compra_ok | hard_gates_compra_faltantes | hard_gates_venda_ok | qtd_hard_gates_venda_ok | hard_gates_venda_faltantes | score_spread | dna_spread | estrutura | estrutura_bruta | estrutura_candidata | confirmacoes_candidata | nivel_invalidation | ultima_mudanca_confirmada | motivo_estrutura | motivo_estrutura_bruta | qtd_swings_confirmados | ultimo_topo | topo_anterior | ultimo_fundo | fundo_anterior | eficiencia_swings | amplitude_swings | ultima_mudanca_estrutura | swing_mais_recente_tipo | swing_mais_recente_preco | swing_mais_recente_hora | tipo_entrada_campanha | campanha_entradas_antes | delta30 | delta10 | saldo30 | saldo10 | vel15 | vel5 | aceleracao | rompimento_compra | rompimento_venda | continuidade_2s | ticks_s | motivos | bloqueios_no_momento | score_minimo_config | diferenca_minima_config | modo_sombra,data_hora,lado,tempo_resultado_s,protecao_pontos,preco_entrada,307,COMPRA:169 | VENDA:138,"177312,02:1 | 34,5:1 | 477,09:1 | 116,77:1 | 105,28:1 | 46,47:1 | 81,48:1 | 248,57:1 | 480,02:1 | 770,35:1 | 423,41:1 | 529,94:1 | 305,38:1 | 154,53:1 | 440,43:1",2026-07-17T17:45:02,2026-07-22T09:56:21,True,True
trades_c7_dna_fluxo_v5_2.csv,C:\Nas100_dashboard\C7_LAB\input\trades_c7_dna_fluxo_v5_2.csv,0.607,2026-07-23 17:13:05.738901,False,586,7ef812caaa53b9a229b4f44d3d60934f0a8e9ed4c412f887d43b76f92185688f,';',85,id | data_hora | data_qt | lado | preco_entrada | gain | stop | stop_protegido | protecionado | tp_mt5 | sl_mt5 | protecao_pontos | regra | status | mfe_mt5 | mae_mt5 | tempo_mfe_s | tempo_mae_s | tempo_resultado_s | preco_resultado | resultado_mt5 | score_entrada | score_base_dna | ajuste_estrutura | score_oposto | score_compra_base | score_venda_base | ajuste_estrutura_compra | ajuste_estrutura_venda | diferenca_score | hard_gates_ok | qtd_hard_gates_ok | hard_gates_faltantes | gate_delta30 | gate_saldo30 | gate_vel15 | gate_aceleracao | gate_rompimento | gate_continuidade | gate_atividade | hard_gates_compra_ok | qtd_hard_gates_compra_ok | hard_gates_compra_faltantes | hard_gates_venda_ok | qtd_hard_gates_venda_ok | hard_gates_venda_faltantes | score_spread | dna_spread | estrutura | estrutura_bruta | estrutura_candidata | confirmacoes_candidata | nivel_invalidation | ultima_mudanca_confirmada | motivo_estrutura | motivo_estrutura_bruta | qtd_swings_confirmados | ultimo_topo | topo_anterior | ultimo_fundo | fundo_anterior | eficiencia_swings | amplitude_swings | ultima_mudanca_estrutura | swing_mais_recente_tipo | swing_mais_recente_preco | swing_mais_recente_hora | tipo_entrada_campanha | campanha_entradas_antes | delta30 | delta10 | saldo30 | saldo10 | vel15 | vel5 | aceleracao | rompimento_compra | rompimento_venda | continuidade_2s | ticks_s | motivos | bloqueios_no_momento | score_minimo_config | diferenca_minima_config | modo_sombra,data_hora,lado,tempo_resultado_s,protecao_pontos,preco_entrada,307,COMPRA:169 | VENDA:138,"177312,02:1 | 34,5:1 | 477,09:1 | 116,77:1 | 105,28:1 | 46,47:1 | 81,48:1 | 248,57:1 | 480,02:1 | 770,35:1 | 423,41:1 | 529,94:1 | 305,38:1 | 154,53:1 | 440,43:1",2026-07-17T17:45:02,2026-07-22T09:56:21,True,True
historico_execucao_mt5.csv,C:\Nas100_dashboard\C7_LAB_BASE_V1\input\historico_execucao_mt5.csv,0.047,2026-07-23 17:04:59.459382,False,218,f6f2b1e21e5098047fd031f071f6d9e9fa7e1c5a45ee02f3f7a9ac30fa2021c9,';',24,id_sinal | posicao_id | deal_fechamento | data_abertura | data_fechamento | lado | regra | volume | entrada_quantower | entrada_mt5 | saida_mt5 | resultado_pontos | resultado_usd | tempo_segundos | mfe_pontos | mae_pontos | spread_abertura_pontos | spread_fechamento_pontos | offset_preco | offset_pontos | motivo_fechamento | tp_configurado | sl_configurado | protecao_percentual,,lado,resultado_pontos,resultado_pontos,offset_preco,218,VENDA:101 | COMPRA:76,0.0:41 | -1195.0:10 | -1205.0:9 | -1215.0:7 | -1145.0:5 | -1185.0:5 | -1245.0:4 | -1265.0:4 | -1275.0:4 | 1995.0:3 | -1315.0:3 | -15.0:3 | -1355.0:3 | -1225.0:3 | -1175.0:3,,,False,True
historico_execucao_mt5.csv,C:\Nas100_dashboard\C7_LAB\input\historico_execucao_mt5.csv,0.047,2026-07-23 17:04:59.459382,False,218,f6f2b1e21e5098047fd031f071f6d9e9fa7e1c5a45ee02f3f7a9ac30fa2021c9,';',24,id_sinal | posicao_id | deal_fechamento | data_abertura | data_fechamento | lado | regra | volume | entrada_quantower | entrada_mt5 | saida_mt5 | resultado_pontos | resultado_usd | tempo_segundos | mfe_pontos | mae_pontos | spread_abertura_pontos | spread_fechamento_pontos | offset_preco | offset_pontos | motivo_fechamento | tp_configurado | sl_configurado | protecao_percentual,,lado,resultado_pontos,resultado_pontos,offset_preco,218,VENDA:101 | COMPRA:76,0.0:41 | -1195.0:10 | -1205.0:9 | -1215.0:7 | -1145.0:5 | -1185.0:5 | -1245.0:4 | -1265.0:4 | -1275.0:4 | 1995.0:3 | -1315.0:3 | -15.0:3 | -1355.0:3 | -1225.0:3 | -1175.0:3,,,False,True
