arquivo,caminho,tamanho_mb,modificado_em,provavel_derivado_nome,linhas_aproximadas,fingerprint_rapido,separador,colunas_total,colunas,coluna_data,coluna_lado,coluna_resultado,coluna_pontos,coluna_preco,amostra_linhas,valores_lado_amostra,valores_resultado_amostra,data_min_amostra,data_max_amostra,possui_estrutura_trade,possui_resultado_observado
trade_aberto_c7_dna_fluxo_v5_2.csv,C:\Nas100_dashboard\trade_aberto_c7_dna_fluxo_v5_2.csv,0.002,2026-07-29 14:29:47.881496,False,1,87d9458aa350faf619cfc5e43b499f1d0d62bcd535744ac7be1589a7e994ec53,';',92,id | data_hora | data_qt | lado | preco_entrada | gain | stop | stop_protegido | protecionado | tp_mt5 | sl_mt5 | protecao_pontos | regra | status | mfe_mt5 | mae_mt5 | tempo_mfe_s | tempo_mae_s | tempo_resultado_s | preco_resultado | resultado_mt5 | score_entrada | score_base_dna | ajuste_estrutura | score_oposto | score_compra_base | score_venda_base | ajuste_estrutura_compra | ajuste_estrutura_venda | diferenca_score | hard_gates_ok | qtd_hard_gates_ok | hard_gates_faltantes | gate_delta30 | gate_saldo30 | gate_vel15 | gate_aceleracao | gate_rompimento | gate_continuidade | gate_atividade | hard_gates_compra_ok | qtd_hard_gates_compra_ok | hard_gates_compra_faltantes | hard_gates_venda_ok | qtd_hard_gates_venda_ok | hard_gates_venda_faltantes | score_spread | dna_spread | estrutura | estrutura_bruta | estrutura_candidata | confirmacoes_candidata | nivel_invalidation | ultima_mudanca_confirmada | motivo_estrutura | motivo_estrutura_bruta | qtd_swings_confirmados | ultimo_topo | topo_anterior | ultimo_fundo | fundo_anterior | eficiencia_swings | amplitude_swings | ultima_mudanca_estrutura | swing_mais_recente_tipo | swing_mais_recente_preco | swing_mais_recente_hora | tipo_entrada_campanha | campanha_entradas_antes | delta30 | delta10 | saldo30 | saldo10 | vel15 | vel5 | aceleracao | rompimento_compra | rompimento_venda | continuidade_2s | ticks_s | motivos | bloqueios_no_momento | score_minimo_config | diferenca_minima_config | invalidacao_disparou | invalidacao_inicio_condicao | invalidacao_persistencia_atual_s | invalidacao_data_qt | invalidacao_tempo_posicao_s | invalidacao_preco | invalidacao_resultado_sombra_mt5 | modo_sombra,data_hora,lado,tempo_resultado_s,protecao_pontos,preco_entrada,1,VENDA:1,,2026-07-29T14:27:49,2026-07-29T14:27:49,True,True
trades_quantower_operacional_v3_1_v5_2.csv,C:\Nas100_dashboard\trades_quantower_operacional_v3_1_v5_2.csv,1.149,2026-07-29 14:29:20.157176,False,1080,02dff74ffb69495224fcc70422932e1644274638d04ba543ed6ea53b3d51e110,';',85,id | data_hora | data_qt | lado | preco_entrada | gain | stop | stop_protegido | protecionado | tp_mt5 | sl_mt5 | protecao_pontos | regra | status | mfe_mt5 | mae_mt5 | tempo_mfe_s | tempo_mae_s | tempo_resultado_s | preco_resultado | resultado_mt5 | score_entrada | score_base_dna | ajuste_estrutura | score_oposto | score_compra_base | score_venda_base | ajuste_estrutura_compra | ajuste_estrutura_venda | diferenca_score | hard_gates_ok | qtd_hard_gates_ok | hard_gates_faltantes | gate_delta30 | gate_saldo30 | gate_vel15 | gate_aceleracao | gate_rompimento | gate_continuidade | gate_atividade | hard_gates_compra_ok | qtd_hard_gates_compra_ok | hard_gates_compra_faltantes | hard_gates_venda_ok | qtd_hard_gates_venda_ok | hard_gates_venda_faltantes | score_spread | dna_spread | estrutura | estrutura_bruta | estrutura_candidata | confirmacoes_candidata | nivel_invalidation | ultima_mudanca_confirmada | motivo_estrutura | motivo_estrutura_bruta | qtd_swings_confirmados | ultimo_topo | topo_anterior | ultimo_fundo | fundo_anterior | eficiencia_swings | amplitude_swings | ultima_mudanca_estrutura | swing_mais_recente_tipo | swing_mais_recente_preco | swing_mais_recente_hora | tipo_entrada_campanha | campanha_entradas_antes | delta30 | delta10 | saldo30 | saldo10 | vel15 | vel5 | aceleracao | rompimento_compra | rompimento_venda | continuidade_2s | ticks_s | motivos | bloqueios_no_momento | score_minimo_config | diferenca_minima_config | modo_sombra,data_hora,lado,tempo_resultado_s,protecao_pontos,preco_entrada,1080,VENDA:561 | COMPRA:519,"73,3:3 | 59,39:3 | 38,6:3 | 26,3:3 | 288,8:2 | 35,8:2 | 180,4:2 | 12,3:2 | 47,49:2 | 88,5:2 | 11,7:2 | 60,1:2 | 24,5:2 | 132,6:2 | 36,0:2",2026-07-20T15:09:44,2026-07-29T14:18:24,True,True
telemetria_posicoes_operacional_v3_1_v5_2.csv,C:\Nas100_dashboard\telemetria_posicoes_operacional_v3_1_v5_2.csv,19.879,2026-07-29 14:29:20.151421,False,29368,823e6edaac091c0bf5c0f355ed03e867d50d445ba42ba1369912d018f6340e50,';',64,trade_id | data_hora_sistema | data_qt | evento | status | lado | tempo_posicao_s | preco_entrada | preco_atual | pontos_atuais_mt5 | mfe_mt5 | mae_mt5 | tempo_mfe_s | tempo_mae_s | protecionado | gain | stop | delta30 | delta10 | saldo30 | saldo10 | delta30_direcional | delta10_direcional | saldo30_direcional | saldo10_direcional | compra30 | venda30 | compra10 | venda10 | vel15 | vel5 | aceleracao | desloc15 | vel15_direcional | vel5_direcional | aceleracao_direcional | desloc15_direcional | rompimento_favoravel | rompimento_contrario | continuidade_2s | continuidade_direcional | topo_30s | fundo_30s | ticks_s | spread_atual | imbalance_atual | score_spread | dna_spread | score_lado_entrada | score_lado_atual | score_oposto_atual | diferenca_score_atual | bloqueios_lado_atual | bloqueios_oposto_atual | estrutura_confirmada | estrutura_bruta | estrutura_candidata | confirmacoes_candidata | nivel_invalidation | ultimo_topo | ultimo_fundo | tipo_entrada_campanha | campanha_entradas_antes | resultado_final_mt5,data_hora_sistema,lado,resultado_final_mt5,pontos_atuais_mt5,preco_entrada,29368,VENDA:16177 | COMPRA:13191,-1200.0:467 | 2000.0:246 | 0.0:126 | 1600.0:42 | -4500.0:36 | -2900.0:27 | 4500.0:25 | -950.0:2 | -2200.0:1 | -1800.0:1 | 1800.0:1 | 350.0:1 | 1775.0:1 | 650.0:1 | -175.0:1,2026-07-21T16:53:24.613000,2026-07-29T14:29:20.151000,True,True
13a_trades.csv,C:\Nas100_dashboard\C7_LAB\live13\13a_trades.csv,0.041,2026-07-29 14:29:09.468314,False,303,179168f0714ceb83e019863654617ef897a3121256122451ffa0033b3b27ada6,';',15,setup_id | cluster | lado | entrada_data_hora | saida_data_hora | entrada_preco | saida_preco | resultado_pontos | motivo_saida | mfe_pontos | mae_pontos | duracao_segundos | data_operacao | modo | ordem_real,entrada_data_hora,lado,motivo_saida,resultado_pontos,entrada_preco,303,VENDA:303,STOP:128 | PROTECAO:110 | TARGET:65,2026-07-27T22:00:49,2026-07-29T14:28:45,True,True
sinais_c7_dna_fluxo_v5_2.csv,C:\Nas100_dashboard\sinais_c7_dna_fluxo_v5_2.csv,1.573,2026-07-29 14:27:49.523819,False,1550,c2ef413733236df8df5ffe97912316e551a0c4687ea4f7a670d4a025426406ff,';',85,id | data_hora | data_qt | lado | preco_entrada | gain | stop | stop_protegido | protecionado | tp_mt5 | sl_mt5 | protecao_pontos | regra | status | mfe_mt5 | mae_mt5 | tempo_mfe_s | tempo_mae_s | tempo_resultado_s | preco_resultado | resultado_mt5 | score_entrada | score_base_dna | ajuste_estrutura | score_oposto | score_compra_base | score_venda_base | ajuste_estrutura_compra | ajuste_estrutura_venda | diferenca_score | hard_gates_ok | qtd_hard_gates_ok | hard_gates_faltantes | gate_delta30 | gate_saldo30 | gate_vel15 | gate_aceleracao | gate_rompimento | gate_continuidade | gate_atividade | hard_gates_compra_ok | qtd_hard_gates_compra_ok | hard_gates_compra_faltantes | hard_gates_venda_ok | qtd_hard_gates_venda_ok | hard_gates_venda_faltantes | score_spread | dna_spread | estrutura | estrutura_bruta | estrutura_candidata | confirmacoes_candidata | nivel_invalidation | ultima_mudanca_confirmada | motivo_estrutura | motivo_estrutura_bruta | qtd_swings_confirmados | ultimo_topo | topo_anterior | ultimo_fundo | fundo_anterior | eficiencia_swings | amplitude_swings | ultima_mudanca_estrutura | swing_mais_recente_tipo | swing_mais_recente_preco | swing_mais_recente_hora | tipo_entrada_campanha | campanha_entradas_antes | delta30 | delta10 | saldo30 | saldo10 | vel15 | vel5 | aceleracao | rompimento_compra | rompimento_venda | continuidade_2s | ticks_s | motivos | bloqueios_no_momento | score_minimo_config | diferenca_minima_config | modo_sombra,data_hora,lado,tempo_resultado_s,protecao_pontos,preco_entrada,307,COMPRA:169 | VENDA:138,,2026-07-17T17:45:02,2026-07-22T09:56:21,True,True
trades_c7_dna_fluxo_v5_2.csv,C:\Nas100_dashboard\trades_c7_dna_fluxo_v5_2.csv,1.615,2026-07-29 14:26:17.765487,False,1549,3bf7d7281fda000193b22992715d3d510ca522854a6ccb2571a3c40982d41b41,';',85,id | data_hora | data_qt | lado | preco_entrada | gain | stop | stop_protegido | protecionado | tp_mt5 | sl_mt5 | protecao_pontos | regra | status | mfe_mt5 | mae_mt5 | tempo_mfe_s | tempo_mae_s | tempo_resultado_s | preco_resultado | resultado_mt5 | score_entrada | score_base_dna | ajuste_estrutura | score_oposto | score_compra_base | score_venda_base | ajuste_estrutura_compra | ajuste_estrutura_venda | diferenca_score | hard_gates_ok | qtd_hard_gates_ok | hard_gates_faltantes | gate_delta30 | gate_saldo30 | gate_vel15 | gate_aceleracao | gate_rompimento | gate_continuidade | gate_atividade | hard_gates_compra_ok | qtd_hard_gates_compra_ok | hard_gates_compra_faltantes | hard_gates_venda_ok | qtd_hard_gates_venda_ok | hard_gates_venda_faltantes | score_spread | dna_spread | estrutura | estrutura_bruta | estrutura_candidata | confirmacoes_candidata | nivel_invalidation | ultima_mudanca_confirmada | motivo_estrutura | motivo_estrutura_bruta | qtd_swings_confirmados | ultimo_topo | topo_anterior | ultimo_fundo | fundo_anterior | eficiencia_swings | amplitude_swings | ultima_mudanca_estrutura | swing_mais_recente_tipo | swing_mais_recente_preco | swing_mais_recente_hora | tipo_entrada_campanha | campanha_entradas_antes | delta30 | delta10 | saldo30 | saldo10 | vel15 | vel5 | aceleracao | rompimento_compra | rompimento_venda | continuidade_2s | ticks_s | motivos | bloqueios_no_momento | score_minimo_config | diferenca_minima_config | modo_sombra,data_hora,lado,tempo_resultado_s,protecao_pontos,preco_entrada,307,COMPRA:169 | VENDA:138,"177312,02:1 | 34,5:1 | 477,09:1 | 116,77:1 | 105,28:1 | 46,47:1 | 81,48:1 | 248,57:1 | 480,02:1 | 770,35:1 | 423,41:1 | 529,94:1 | 305,38:1 | 154,53:1 | 440,43:1",2026-07-17T17:45:02,2026-07-22T09:56:21,True,True
sinais_quantower_operacional_v3_1_v5_2.csv,C:\Nas100_dashboard\sinais_quantower_operacional_v3_1_v5_2.csv,1.121,2026-07-29 14:18:24.457914,False,1080,24a9241a1fb5de9d0b4455ccafb249fe0d5dc4e2892f558361a3e561faa65cfe,';',85,id | data_hora | data_qt | lado | preco_entrada | gain | stop | stop_protegido | protecionado | tp_mt5 | sl_mt5 | protecao_pontos | regra | status | mfe_mt5 | mae_mt5 | tempo_mfe_s | tempo_mae_s | tempo_resultado_s | preco_resultado | resultado_mt5 | score_entrada | score_base_dna | ajuste_estrutura | score_oposto | score_compra_base | score_venda_base | ajuste_estrutura_compra | ajuste_estrutura_venda | diferenca_score | hard_gates_ok | qtd_hard_gates_ok | hard_gates_faltantes | gate_delta30 | gate_saldo30 | gate_vel15 | gate_aceleracao | gate_rompimento | gate_continuidade | gate_atividade | hard_gates_compra_ok | qtd_hard_gates_compra_ok | hard_gates_compra_faltantes | hard_gates_venda_ok | qtd_hard_gates_venda_ok | hard_gates_venda_faltantes | score_spread | dna_spread | estrutura | estrutura_bruta | estrutura_candidata | confirmacoes_candidata | nivel_invalidation | ultima_mudanca_confirmada | motivo_estrutura | motivo_estrutura_bruta | qtd_swings_confirmados | ultimo_topo | topo_anterior | ultimo_fundo | fundo_anterior | eficiencia_swings | amplitude_swings | ultima_mudanca_estrutura | swing_mais_recente_tipo | swing_mais_recente_preco | swing_mais_recente_hora | tipo_entrada_campanha | campanha_entradas_antes | delta30 | delta10 | saldo30 | saldo10 | vel15 | vel5 | aceleracao | rompimento_compra | rompimento_venda | continuidade_2s | ticks_s | motivos | bloqueios_no_momento | score_minimo_config | diferenca_minima_config | modo_sombra,data_hora,lado,tempo_resultado_s,protecao_pontos,preco_entrada,1080,VENDA:561 | COMPRA:519,,2026-07-20T15:09:44,2026-07-29T14:18:24,True,True
15_matriz_top100_eventos_por_trade.csv,C:\Nas100_dashboard\C7_LAB\relatorios_15_forensic_dna\15_matriz_top100_eventos_por_trade.csv,1.076,2026-07-29 14:01:53.655905,False,3918,041fddba2b0e66b66b55be23e57d47800170b2e23782212015c41624b8d1b109,"','",107,trade_uid | entrada_data_hora | lado | motor | classe | resultado_pontos | oportunidade_uid | ROMPIMENTO::ROMPIMENTO_QUALIDADE::ALTO_P75 | VELOCIDADE::VEL15_DIRECIONAL::EXPANSAO_FAVOR_Z25 | DELTA::SALDO30_DIRECIONAL::EXPANSAO_CONTRA_Z25 | DELTA::DELTA30_DIRECIONAL::EXPANSAO_CONTRA_Z25 | DELTA::DELTA30_DIRECIONAL::VIRADA_SUBINDO | ROMPIMENTO::ROMPIMENTO_QUALIDADE::EXTREMO_FAVOR_P90 | ESTADO::CAMPANHA_VIRTUAL::FALSE | ACELERACAO::ACELERACAO_DIRECIONAL::EXPANSAO_FAVOR_Z25 | ROMPIMENTO::ROMPIMENTO_CONTRA::EXTREMO_FAVOR_P90 | VELOCIDADE::VEL5_DIRECIONAL::EXTREMO_FAVOR_P90 | DELTA::SALDO10_DIRECIONAL::EXPANSAO_FAVOR_Z25 | DELTA::DELTA_AGRESSOR::VIRADA_CAINDO | SCORE::SCORE_CONTRA::EXPANSAO_FAVOR_Z25 | DELTA::DELTA10_DIRECIONAL::EXTREMO_CONTRA_P10 | ROMPIMENTO::ROMPIMENTO_CONTRA::EXPANSAO_CONTRA_Z25 | VELOCIDADE::VEL15::EXTREMO_CONTRA_P10 | VELOCIDADE::VEL15_DIRECIONAL::VIRADA_SUBINDO | SCORE::SCORE::EXTREMO_CONTRA_P10 | VELOCIDADE::F_VELOCIDADE::EXTREMO_CONTRA_P90 | ESTADO::APROVADO_BASE_V5_2::TRUE | SCORE::SCORE::VIRADA_CAINDO | SCORE::SCORE_CONTRA_BASE::EXTREMO_FAVOR_P90 | SCORE::DIFERENCA_SCORE::VIRADA_CAINDO | ACELERACAO::ACELERACAO_DIRECIONAL::ALTO_P75 | ROMPIMENTO::ROMPIMENTO_QUALIDADE::VIRADA_SUBINDO | ROMPIMENTO::ROMPIMENTO_QUALIDADE::EXPANSAO_FAVOR_Z25 | SCORE::SCORE_FAVOR_BASE::EXTREMO_CONTRA_P10 | FLUXO::CONTRA30::EXTREMO_FAVOR_P10 | VELOCIDADE::NIVEL_INVALIDATION::EXTREMO_CONTRA_P10 | ROMPIMENTO::ROMPIMENTO_QUALIDADE::EXTREMO_CONTRA_P90 | CONTINUIDADE::CONTINUIDADE_2S::VIRADA_CAINDO | IMBALANCE::IMBALANCE_ATUAL::VIRADA_CAINDO | DELTA::DELTA10_DIRECIONAL::EXPANSAO_CONTRA_Z25 | DELTA::DELTA10_DIRECIONAL::VIRADA_SUBINDO | DELTA::SALDO30_DIRECIONAL::EXPANSAO_FAVOR_Z25 | SPREAD::SPREAD_MAX_30::BAIXO_P25 | FLUXO::RAZAO_FAVOR30::EXTREMO_CONTRA_P10 | DELTA::DELTA10_DIRECIONAL::EXPANSAO_FAVOR_Z25 | DELTA::SALDO10_DIRECIONAL::EXTREMO_CONTRA_P90 | FLUXO::RAZAO_CONTRA30::EXPANSAO_FAVOR_Z25 | DELTA::DELTA30_DIRECIONAL::EXPANSAO_FAVOR_Z25 | SPREAD::SPREAD_DOM::ABERTO_P90 | FLUXO::RAZAO_CONTRA30::EXTREMO_FAVOR_P90 | VELOCIDADE::VEL5::EXTREMO_CONTRA_P10 | DELTA::SALDO30_DIRECIONAL::ALTO_P75 | VELOCIDADE::VEL15_DIRECIONAL::EXTREMO_CONTRA_P90 | ESTADO::ESTRUTURA_CANDIDATA::FAVOR | DELTA::DELTA10_DIRECIONAL::EXTREMO_CONTRA_P90 | VELOCIDADE::VEL5_DIRECIONAL::EXPANSAO_FAVOR_Z25 | ESTADO::HARD_GATES_FAVOR_FFAVORNTES::VEL15_ROMPIMENTO_CONTINUIDADE | ESTADO::HARD_GATES_FAVOR_FFAVORNTES::VEL15_ACELERACAO_ROMPIMENTO_CONTIN | SCORE::SCORE_CONTRA::EXPANSAO_CONTRA_Z25 | ACELERACAO::F_ACELERACAO::EXTREMO_CONTRA_P10 | ESTADO::HARD_GATES_CONTRA_FCONTRANTES::ROMPIMENTO | ESTADO::QTD_HARD_GATES_CONTRA_OK::6 | VELOCIDADE::VEL_ANTERIOR::EXPANSAO_CONTRA_Z25 | ESTADO::HARD_GATES_CONTRA_FCONTRANTES::DELTA30 | DELTA::F_DELTA::EXTREMO_CONTRA_P90 | ESTADO::HARD_GATES_FAVOR_FCONTRANTES::DELTA30_SALDO30_VEL15_ROMPIMENTO | SCORE::SCORE_CONTRA_BASE::EXTREMO_CONTRA_P90 | VELOCIDADE::NIVEL_INVALIDATION::EXPANSAO_CONTRA_Z25 | ACELERACAO::ACELERACAO::EXPANSAO_CONTRA_Z25 | ESTADO::HARD_GATES_CONTRA_FCONTRANTES::ACELERACAO_ROMPIMENTO_CONTINUIDADE | ACELERACAO::ACELERACAO_DIRECIONAL::EXTREMO_FAVOR_P10 | ESTADO::HARD_GATES_CONTRA_FCONTRANTES::ROMPIMENTO_CONTINUIDADE | ESTADO::HARD_GATES_FCONTRANTES::DELTA30_ACELERACAO_ROMPIMENTO_CONT | SCORE::SCORE_VARIACAO_15::EXTREMO_CONTRA_P90 | ACELERACAO::F_ACELERACAO::ALTO_P75 | ESTADO::HARD_GATES_CONTRA_FCONTRANTES::DELTA30_SALDO30 | ACELERACAO::F_ACELERACAO::EXTREMO_FAVOR_P10 | SCORE::SCORE_CONTRA_BASE::ALTO_P75 | ESTADO::HARD_GATES_FCONTRANTES::DELTA30 | SCORE::F_SCORE::EXTREMO_CONTRA_P90 | SPREAD::F_SPREAD::VIRADA_SUBINDO | ESTADO::HARD_GATES_FCONTRANTES::DELTA30_SALDO30 | SCORE::SCORE_VARIACAO_15::BAIXO_P25 | ESTADO::HARD_GATES_FCONTRANTES::VEL15_ACELERACAO_ROMPIMENTO_CONTIN | SPREAD::F_SPREAD::VIRADA_CAINDO | ESTADO::HARD_GATES_CONTRA_FCONTRANTES::ACELERACAO_ROMPIMENTO | ESTADO::F_LADO::CONTRA | ESTADO::HARD_GATES_FCONTRANTES::DELTA30_VEL15_ROMPIMENTO_CONTINUID | SCORE::SCORE_VARIACAO_15::EXTREMO_FAVOR_P10 | VELOCIDADE::VEL15_DIRECIONAL::EXTREMO_FAVOR_P10 | ESTADO::HARD_GATES_FAVOR_FCONTRANTES::DELTA30_SALDO30 | DELTA::F_DELTA::EXTREMO_FAVOR_P10 | ESTADO::HARD_GATES_FCONTRANTES::ROMPIMENTO | ESTADO::HARD_GATES_FAVOR_FCONTRANTES::VEL15_ACELERACAO_ROMPIMENTO_CONTIN | ESTADO::QTD_HARD_GATES_CONTRA_OK::5 | VELOCIDADE::F_TICKS_S::ALTO_P75 | VELOCIDADE::SCORE_VELOCIDADE_5::EXTREMO_CONTRA_P90 | ESTADO::QTD_HARD_GATES_CONTRA_OK::4 | ACELERACAO::SCORE_ACELERACAO::VIRADA_CAINDO | VELOCIDADE::F_TICKS_S::EXTREMO_FAVOR_P10 | SCORE::SCORE_BASE_DNA::EXTREMO_FAVOR_P10 | ESTADO::AJUSTE_ESTRUTURA_CONTRA::2 | ESTADO::HARD_GATES_FCONTRANTES::VEL15_ROMPIMENTO | ACELERACAO::F_ACELERACAO::VIRADA_CAINDO | SCORE::SCORE_FAVOR_BASE::EXTREMO_FAVOR_P10 | DELTA::F_DELTA::VIRADA_SUBINDO | ROMPIMENTO::ROMPIMENTO_CONTRA::ALTO_P75,entrada_data_hora,lado,resultado_pontos,resultado_pontos,,3918,VENDA:2099 | COMPRA:1819,1050.0:1344 | 1120.0:991 | 1400.0:807 | -800.0:162 | 240.00000000014552:138 | 2000.0:119 | -1200.0:118 | 1200.0:86 | 3150.0:65 | -5200.0:2 | -3550.0:2 | 2800.0:2 | 79.99999999992724:2 | 5870.000000000073:2 | 2259.9999999998545:2,2026-06-24T11:54:35,2026-07-29T12:00:15,True,True
invalidacoes_tese_sombra_v1.csv,C:\Nas100_dashboard\invalidacoes_tese_sombra_v1.csv,0.028,2026-07-29 09:54:12.189878,False,152,2f27ea3cfba306c3d1626f203f31a10d9445c5301322bc8c58220f11be4cd595,';',21,evento | data_hora_sistema | trade_id | lado | data_qt_entrada | preco_entrada | data_qt_disparo | preco_disparo | tempo_posicao_s | resultado_sombra_mt5 | mfe_mt5_no_disparo | mae_mt5_no_disparo | score_lado_atual | score_oposto_atual | delta10_direcional | saldo10_direcional | rompimento_contrario | persistencia_s | status_real_final | resultado_real_final_mt5 | impacto_liquido_mt5,data_hora_sistema,lado,resultado_sombra_mt5,,preco_entrada,152,COMPRA:96 | VENDA:56,"-900,0:8 | -925,0:8 | -1400,0:6 | -750,0:6 | -1325,0:6 | -1175,0:6 | -1425,0:6 | -1250,0:6 | -850,0:6 | -950,0:6 | -725,0:6 | -1125,0:6 | -1300,0:6 | -475,0:6 | -350,0:4",2026-07-22T10:46:36,2026-07-29T09:54:12,True,True
log_offset_execucao_mt5.csv,C:\Nas100_dashboard\C7_LAB_BASE_V1\input\log_offset_execucao_mt5.csv,0.186,2026-07-23 17:23:56.097073,False,1582,e87e3d5126568e77fc31a8644396d643325c370f2a6e43bbda9bdde51be2dbcf,';',12,id | data_hora | lado | preco_quantower | preco_mt5 | offset_preco | offset_pontos | limite_offset_pontos | aprovado | executado | motivo | ticket,data_hora,lado,,offset_pontos,preco_quantower,1582,COMPRA:1061 | VENDA:521,,2026-07-16T01:05:01,2026-07-23T23:23:57,True,True
