arquivo,caminho,tamanho_mb,modificado_em,provavel_derivado_nome,linhas_aproximadas,fingerprint_rapido,separador,colunas_total,colunas,coluna_data,coluna_lado,coluna_resultado,coluna_pontos,coluna_preco,amostra_linhas,valores_lado_amostra,valores_resultado_amostra,data_min_amostra,data_max_amostra,possui_estrutura_trade,possui_resultado_observado
trade_aberto_c7_dna_fluxo_v5_2.csv,C:\Nas100_dashboard\trade_aberto_c7_dna_fluxo_v5_2.csv,0.002,2026-07-29 14:29:47.881496,False,1,87d9458aa350faf619cfc5e43b499f1d0d62bcd535744ac7be1589a7e994ec53,';',92,id | data_hora | data_qt | lado | preco_entrada | gain | stop | stop_protegido | protecionado | tp_mt5 | sl_mt5 | protecao_pontos | regra | status | mfe_mt5 | mae_mt5 | tempo_mfe_s | tempo_mae_s | tempo_resultado_s | preco_resultado | resultado_mt5 | score_entrada | score_base_dna | ajuste_estrutura | score_oposto | score_compra_base | score_venda_base | ajuste_estrutura_compra | ajuste_estrutura_venda | diferenca_score | hard_gates_ok | qtd_hard_gates_ok | hard_gates_faltantes | gate_delta30 | gate_saldo30 | gate_vel15 | gate_aceleracao | gate_rompimento | gate_continuidade | gate_atividade | hard_gates_compra_ok | qtd_hard_gates_compra_ok | hard_gates_compra_faltantes | hard_gates_venda_ok | qtd_hard_gates_venda_ok | hard_gates_venda_faltantes | score_spread | dna_spread | estrutura | estrutura_bruta | estrutura_candidata | confirmacoes_candidata | nivel_invalidation | ultima_mudanca_confirmada | motivo_estrutura | motivo_estrutura_bruta | qtd_swings_confirmados | ultimo_topo | topo_anterior | ultimo_fundo | fundo_anterior | eficiencia_swings | amplitude_swings | ultima_mudanca_estrutura | swing_mais_recente_tipo | swing_mais_recente_preco | swing_mais_recente_hora | tipo_entrada_campanha | campanha_entradas_antes | delta30 | delta10 | saldo30 | saldo10 | vel15 | vel5 | aceleracao | rompimento_compra | rompimento_venda | continuidade_2s | ticks_s | motivos | bloqueios_no_momento | score_minimo_config | diferenca_minima_config | invalidacao_disparou | invalidacao_inicio_condicao | invalidacao_persistencia_atual_s | invalidacao_data_qt | invalidacao_tempo_posicao_s | invalidacao_preco | invalidacao_resultado_sombra_mt5 | modo_sombra,data_hora,lado,tempo_resultado_s,protecao_pontos,preco_entrada,1,VENDA:1,,2026-07-29T14:27:49,2026-07-29T14:27:49,True,True
bloqueios_quantower_operacional_v3_1_v5_2.csv,C:\Nas100_dashboard\bloqueios_quantower_operacional_v3_1_v5_2.csv,11.825,2026-07-29 14:29:47.014393,False,12386,0da11d4ac9771e9129056c12c8a0a65718c2ff3e6b3b640048e77ea41edd0329,';',67,data_hora | data_qt | preco | aprovado | aprovado_base_v5_2 | bloqueado_apenas_filtros | lado | score | score_base_dna | ajuste_estrutura | score_oposto | diferenca_score | gate_delta30 | gate_saldo30 | gate_vel15 | gate_aceleracao | gate_rompimento | gate_continuidade | gate_atividade | hard_gates_ok | qtd_hard_gates_ok | hard_gates_faltantes | hard_gates_compra_ok | qtd_hard_gates_compra_ok | hard_gates_compra_faltantes | hard_gates_venda_ok | qtd_hard_gates_venda_ok | hard_gates_venda_faltantes | positivos | bloqueios | score_compra | score_venda | score_compra_base | score_venda_base | ajuste_estrutura_compra | ajuste_estrutura_venda | estrutura | estrutura_bruta | motivo_estrutura | tipo_entrada_campanha | campanha_ativa | campanha_lado | campanha_entradas | campanha_pullback | campanha_virtual | motivo_bloqueio_virtual | filtros_qualidade_ok | entrada_tardia | transicao_estrutural | pullback_agressivo | fluxo_carregado_sem_renovacao | rompimento_qualidade | vel15_direcional | vel5_direcional | aceleracao_direcional | delta30_direcional | delta10_direcional | saldo30_direcional | saldo10_direcional | delta30 | saldo30 | vel15 | aceleracao | rompimento_compra | rompimento_venda | continuidade_2s | score_spread,data_hora,lado,,,preco,12386,VENDA:6410 | COMPRA:5976,,2026-07-20T15:12:56,2026-07-29T14:29:47,True,False
estados_quantower_operacional_v3_1_v5_2.csv,C:\Nas100_dashboard\estados_quantower_operacional_v3_1_v5_2.csv,36.197,2026-07-29 14:29:47.008393,False,25665,c49b653a60d963d1491731e07250c3dca6014d36fa796d366694d37b5c273ec5,';',107,data_hora_sistema | preco | spread_atual | imbalance_atual | delta30 | delta10 | compra30 | venda30 | saldo30 | compra10 | venda10 | saldo10 | razao_compra30 | razao_venda30 | vel15 | vel5 | vel_anterior | aceleracao | desloc15 | topo_30s | fundo_30s | rompimento_compra | rompimento_venda | continuidade_2s | ticks_s | score_spread | spread_pct_120_60 | spread_pct_60 | spread_pct_30 | spread_pct_15 | spread_pct_5 | spread_medio_30 | spread_max_30 | dna_spread | estrutura | motivo_estrutura | qtd_swings_confirmados | ultimo_topo | topo_anterior | ultimo_fundo | fundo_anterior | amplitude_swings | eficiencia_swings | ultima_mudanca_estrutura | swing_mais_recente_tipo | swing_mais_recente_preco | swing_mais_recente_hora | estrutura_bruta | motivo_estrutura_bruta | estrutura_confirmada | estrutura_candidata | confirmacoes_candidata | nivel_invalidation | ultima_mudanca_confirmada | aprovado | aprovado_base_v5_2 | bloqueado_apenas_filtros | lado | score | score_base_dna | ajuste_estrutura | score_oposto | diferenca_score | gate_delta30 | gate_saldo30 | gate_vel15 | gate_aceleracao | gate_rompimento | gate_continuidade | gate_atividade | hard_gates_ok | qtd_hard_gates_ok | hard_gates_faltantes | hard_gates_compra_ok | qtd_hard_gates_compra_ok | hard_gates_compra_faltantes | hard_gates_venda_ok | qtd_hard_gates_venda_ok | hard_gates_venda_faltantes | positivos | bloqueios | score_compra | score_venda | score_compra_base | score_venda_base | ajuste_estrutura_compra | ajuste_estrutura_venda | tipo_entrada_campanha | campanha_ativa | campanha_lado | campanha_entradas | campanha_pullback | campanha_virtual | motivo_bloqueio_virtual | filtros_qualidade_ok | entrada_tardia | transicao_estrutural | pullback_agressivo | fluxo_carregado_sem_renovacao | rompimento_qualidade | vel15_direcional | vel5_direcional | aceleracao_direcional | delta30_direcional | delta10_direcional | saldo30_direcional | saldo10_direcional,data_hora_sistema,lado,,,preco,25665,VENDA:13180 | COMPRA:12485,,2026-07-20T15:09:05,2026-07-29T14:29:47,True,False
trades_quantower_operacional_v3_1_v5_2.csv,C:\Nas100_dashboard\trades_quantower_operacional_v3_1_v5_2.csv,1.149,2026-07-29 14:29:20.157176,False,1080,02dff74ffb69495224fcc70422932e1644274638d04ba543ed6ea53b3d51e110,';',85,id | data_hora | data_qt | lado | preco_entrada | gain | stop | stop_protegido | protecionado | tp_mt5 | sl_mt5 | protecao_pontos | regra | status | mfe_mt5 | mae_mt5 | tempo_mfe_s | tempo_mae_s | tempo_resultado_s | preco_resultado | resultado_mt5 | score_entrada | score_base_dna | ajuste_estrutura | score_oposto | score_compra_base | score_venda_base | ajuste_estrutura_compra | ajuste_estrutura_venda | diferenca_score | hard_gates_ok | qtd_hard_gates_ok | hard_gates_faltantes | gate_delta30 | gate_saldo30 | gate_vel15 | gate_aceleracao | gate_rompimento | gate_continuidade | gate_atividade | hard_gates_compra_ok | qtd_hard_gates_compra_ok | hard_gates_compra_faltantes | hard_gates_venda_ok | qtd_hard_gates_venda_ok | hard_gates_venda_faltantes | score_spread | dna_spread | estrutura | estrutura_bruta | estrutura_candidata | confirmacoes_candidata | nivel_invalidation | ultima_mudanca_confirmada | motivo_estrutura | motivo_estrutura_bruta | qtd_swings_confirmados | ultimo_topo | topo_anterior | ultimo_fundo | fundo_anterior | eficiencia_swings | amplitude_swings | ultima_mudanca_estrutura | swing_mais_recente_tipo | swing_mais_recente_preco | swing_mais_recente_hora | tipo_entrada_campanha | campanha_entradas_antes | delta30 | delta10 | saldo30 | saldo10 | vel15 | vel5 | aceleracao | rompimento_compra | rompimento_venda | continuidade_2s | ticks_s | motivos | bloqueios_no_momento | score_minimo_config | diferenca_minima_config | modo_sombra,data_hora,lado,tempo_resultado_s,protecao_pontos,preco_entrada,1080,VENDA:561 | COMPRA:519,"73,3:3 | 59,39:3 | 38,6:3 | 26,3:3 | 288,8:2 | 35,8:2 | 180,4:2 | 12,3:2 | 47,49:2 | 88,5:2 | 11,7:2 | 60,1:2 | 24,5:2 | 132,6:2 | 36,0:2",2026-07-20T15:09:44,2026-07-29T14:18:24,True,True
telemetria_posicoes_operacional_v3_1_v5_2.csv,C:\Nas100_dashboard\telemetria_posicoes_operacional_v3_1_v5_2.csv,19.879,2026-07-29 14:29:20.151421,False,29368,823e6edaac091c0bf5c0f355ed03e867d50d445ba42ba1369912d018f6340e50,';',64,trade_id | data_hora_sistema | data_qt | evento | status | lado | tempo_posicao_s | preco_entrada | preco_atual | pontos_atuais_mt5 | mfe_mt5 | mae_mt5 | tempo_mfe_s | tempo_mae_s | protecionado | gain | stop | delta30 | delta10 | saldo30 | saldo10 | delta30_direcional | delta10_direcional | saldo30_direcional | saldo10_direcional | compra30 | venda30 | compra10 | venda10 | vel15 | vel5 | aceleracao | desloc15 | vel15_direcional | vel5_direcional | aceleracao_direcional | desloc15_direcional | rompimento_favoravel | rompimento_contrario | continuidade_2s | continuidade_direcional | topo_30s | fundo_30s | ticks_s | spread_atual | imbalance_atual | score_spread | dna_spread | score_lado_entrada | score_lado_atual | score_oposto_atual | diferenca_score_atual | bloqueios_lado_atual | bloqueios_oposto_atual | estrutura_confirmada | estrutura_bruta | estrutura_candidata | confirmacoes_candidata | nivel_invalidation | ultimo_topo | ultimo_fundo | tipo_entrada_campanha | campanha_entradas_antes | resultado_final_mt5,data_hora_sistema,lado,resultado_final_mt5,pontos_atuais_mt5,preco_entrada,29368,VENDA:16177 | COMPRA:13191,-1200.0:467 | 2000.0:246 | 0.0:126 | 1600.0:42 | -4500.0:36 | -2900.0:27 | 4500.0:25 | -950.0:2 | -2200.0:1 | -1800.0:1 | 1800.0:1 | 350.0:1 | 1775.0:1 | 650.0:1 | -175.0:1,2026-07-21T16:53:24.613000,2026-07-29T14:29:20.151000,True,True
13a_trades.csv,C:\Nas100_dashboard\C7_LAB\live13\13a_trades.csv,0.041,2026-07-29 14:29:09.468314,False,303,179168f0714ceb83e019863654617ef897a3121256122451ffa0033b3b27ada6,';',15,setup_id | cluster | lado | entrada_data_hora | saida_data_hora | entrada_preco | saida_preco | resultado_pontos | motivo_saida | mfe_pontos | mae_pontos | duracao_segundos | data_operacao | modo | ordem_real,entrada_data_hora,lado,motivo_saida,resultado_pontos,entrada_preco,303,VENDA:303,STOP:128 | PROTECAO:110 | TARGET:65,2026-07-27T22:00:49,2026-07-29T14:28:45,True,True
sinais_c7_dna_fluxo_v5_2.csv,C:\Nas100_dashboard\sinais_c7_dna_fluxo_v5_2.csv,1.573,2026-07-29 14:27:49.523819,False,1550,c2ef413733236df8df5ffe97912316e551a0c4687ea4f7a670d4a025426406ff,';',85,id | data_hora | data_qt | lado | preco_entrada | gain | stop | stop_protegido | protecionado | tp_mt5 | sl_mt5 | protecao_pontos | regra | status | mfe_mt5 | mae_mt5 | tempo_mfe_s | tempo_mae_s | tempo_resultado_s | preco_resultado | resultado_mt5 | score_entrada | score_base_dna | ajuste_estrutura | score_oposto | score_compra_base | score_venda_base | ajuste_estrutura_compra | ajuste_estrutura_venda | diferenca_score | hard_gates_ok | qtd_hard_gates_ok | hard_gates_faltantes | gate_delta30 | gate_saldo30 | gate_vel15 | gate_aceleracao | gate_rompimento | gate_continuidade | gate_atividade | hard_gates_compra_ok | qtd_hard_gates_compra_ok | hard_gates_compra_faltantes | hard_gates_venda_ok | qtd_hard_gates_venda_ok | hard_gates_venda_faltantes | score_spread | dna_spread | estrutura | estrutura_bruta | estrutura_candidata | confirmacoes_candidata | nivel_invalidation | ultima_mudanca_confirmada | motivo_estrutura | motivo_estrutura_bruta | qtd_swings_confirmados | ultimo_topo | topo_anterior | ultimo_fundo | fundo_anterior | eficiencia_swings | amplitude_swings | ultima_mudanca_estrutura | swing_mais_recente_tipo | swing_mais_recente_preco | swing_mais_recente_hora | tipo_entrada_campanha | campanha_entradas_antes | delta30 | delta10 | saldo30 | saldo10 | vel15 | vel5 | aceleracao | rompimento_compra | rompimento_venda | continuidade_2s | ticks_s | motivos | bloqueios_no_momento | score_minimo_config | diferenca_minima_config | modo_sombra,data_hora,lado,tempo_resultado_s,protecao_pontos,preco_entrada,307,COMPRA:169 | VENDA:138,,2026-07-17T17:45:02,2026-07-22T09:56:21,True,True
estados_c7_dna_fluxo_v5_2.csv,C:\Nas100_dashboard\estados_c7_dna_fluxo_v5_2.csv,33.194,2026-07-29 14:27:49.516879,False,27753,c28ac8a255e646b59ff81d72228ad46d872aebb971e43e18a1689641e5b2d353,';',90,data_hora_sistema | preco | spread_atual | imbalance_atual | delta30 | delta10 | compra30 | venda30 | saldo30 | compra10 | venda10 | saldo10 | razao_compra30 | razao_venda30 | vel15 | vel5 | vel_anterior | aceleracao | desloc15 | topo_30s | fundo_30s | rompimento_compra | rompimento_venda | continuidade_2s | ticks_s | score_spread | spread_pct_120_60 | spread_pct_60 | spread_pct_30 | spread_pct_15 | spread_pct_5 | spread_medio_30 | spread_max_30 | dna_spread | estrutura | motivo_estrutura | qtd_swings_confirmados | ultimo_topo | topo_anterior | ultimo_fundo | fundo_anterior | amplitude_swings | eficiencia_swings | ultima_mudanca_estrutura | swing_mais_recente_tipo | swing_mais_recente_preco | swing_mais_recente_hora | estrutura_bruta | motivo_estrutura_bruta | estrutura_confirmada | estrutura_candidata | confirmacoes_candidata | nivel_invalidation | ultima_mudanca_confirmada | aprovado | lado | score | score_base_dna | ajuste_estrutura | score_oposto | diferenca_score | gate_delta30 | gate_saldo30 | gate_vel15 | gate_aceleracao | gate_rompimento | gate_continuidade | gate_atividade | hard_gates_ok | qtd_hard_gates_ok | hard_gates_faltantes | hard_gates_compra_ok | qtd_hard_gates_compra_ok | hard_gates_compra_faltantes | hard_gates_venda_ok | qtd_hard_gates_venda_ok | hard_gates_venda_faltantes | positivos | bloqueios | score_compra | score_venda | score_compra_base | score_venda_base | ajuste_estrutura_compra | ajuste_estrutura_venda | tipo_entrada_campanha | campanha_ativa | campanha_lado | campanha_entradas | campanha_pullback,data_hora_sistema,lado,,,preco,27753,VENDA:14105 | COMPRA:13648,,2026-07-17T17:40:59,2026-07-29T14:27:49,True,False
bloqueios_c7_dna_fluxo_v5_2.csv,C:\Nas100_dashboard\bloqueios_c7_dna_fluxo_v5_2.csv,9.002,2026-07-29 14:27:43.005034,False,12281,9bc87bc5755c89f315c35883d52a47b8356b883d6171520367c170de790ee0d6,';',50,data_hora | data_qt | preco | aprovado | lado | score | score_base_dna | ajuste_estrutura | score_oposto | diferenca_score | gate_delta30 | gate_saldo30 | gate_vel15 | gate_aceleracao | gate_rompimento | gate_continuidade | gate_atividade | hard_gates_ok | qtd_hard_gates_ok | hard_gates_faltantes | hard_gates_compra_ok | qtd_hard_gates_compra_ok | hard_gates_compra_faltantes | hard_gates_venda_ok | qtd_hard_gates_venda_ok | hard_gates_venda_faltantes | positivos | bloqueios | score_compra | score_venda | score_compra_base | score_venda_base | ajuste_estrutura_compra | ajuste_estrutura_venda | estrutura | estrutura_bruta | motivo_estrutura | tipo_entrada_campanha | campanha_ativa | campanha_lado | campanha_entradas | campanha_pullback | delta30 | saldo30 | vel15 | aceleracao | rompimento_compra | rompimento_venda | continuidade_2s | score_spread,data_hora,lado,,,preco,12281,VENDA:6367 | COMPRA:5914,,2026-07-17T17:40:59,2026-07-29T14:27:43,True,False
trades_c7_dna_fluxo_v5_2.csv,C:\Nas100_dashboard\trades_c7_dna_fluxo_v5_2.csv,1.615,2026-07-29 14:26:17.765487,False,1549,3bf7d7281fda000193b22992715d3d510ca522854a6ccb2571a3c40982d41b41,';',85,id | data_hora | data_qt | lado | preco_entrada | gain | stop | stop_protegido | protecionado | tp_mt5 | sl_mt5 | protecao_pontos | regra | status | mfe_mt5 | mae_mt5 | tempo_mfe_s | tempo_mae_s | tempo_resultado_s | preco_resultado | resultado_mt5 | score_entrada | score_base_dna | ajuste_estrutura | score_oposto | score_compra_base | score_venda_base | ajuste_estrutura_compra | ajuste_estrutura_venda | diferenca_score | hard_gates_ok | qtd_hard_gates_ok | hard_gates_faltantes | gate_delta30 | gate_saldo30 | gate_vel15 | gate_aceleracao | gate_rompimento | gate_continuidade | gate_atividade | hard_gates_compra_ok | qtd_hard_gates_compra_ok | hard_gates_compra_faltantes | hard_gates_venda_ok | qtd_hard_gates_venda_ok | hard_gates_venda_faltantes | score_spread | dna_spread | estrutura | estrutura_bruta | estrutura_candidata | confirmacoes_candidata | nivel_invalidation | ultima_mudanca_confirmada | motivo_estrutura | motivo_estrutura_bruta | qtd_swings_confirmados | ultimo_topo | topo_anterior | ultimo_fundo | fundo_anterior | eficiencia_swings | amplitude_swings | ultima_mudanca_estrutura | swing_mais_recente_tipo | swing_mais_recente_preco | swing_mais_recente_hora | tipo_entrada_campanha | campanha_entradas_antes | delta30 | delta10 | saldo30 | saldo10 | vel15 | vel5 | aceleracao | rompimento_compra | rompimento_venda | continuidade_2s | ticks_s | motivos | bloqueios_no_momento | score_minimo_config | diferenca_minima_config | modo_sombra,data_hora,lado,tempo_resultado_s,protecao_pontos,preco_entrada,307,COMPRA:169 | VENDA:138,"177312,02:1 | 34,5:1 | 477,09:1 | 116,77:1 | 105,28:1 | 46,47:1 | 81,48:1 | 248,57:1 | 480,02:1 | 770,35:1 | 423,41:1 | 529,94:1 | 305,38:1 | 154,53:1 | 440,43:1",2026-07-17T17:45:02,2026-07-22T09:56:21,True,True
