trade_id;inicio;fim;lado;status_real;resultado_real;snapshots;mfe_final;mae_final;conjunto
20260721164719076405;2026-07-21 16:53:13.637;2026-07-21 16:59:57.358;VENDA;GAIN;1600,0;36;2300,0;-1400,0;TREINO
20260721170554807135;2026-07-21 17:05:43.633;2026-07-21 17:16:04.165;COMPRA;PROTEGIDO;0,0;55;1125,0;-400,0;TREINO
20260721172307899658;2026-07-21 17:22:56.964;2026-07-21 17:53:04.406;VENDA;TIMEOUT;350,0;157;600,0;-1350,0;TREINO
20260721175737259974;2026-07-21 17:57:26.257;2026-07-21 19:00:04.238;VENDA;TIMEOUT;-1800,0;16;100,0;-1800,0;TREINO
20260721190755890381;2026-07-21 19:07:35.933;2026-07-21 19:24:36.129;COMPRA;PROTEGIDO;0,0;81;1300,0;-550,0;TREINO
20260721192639569801;2026-07-21 19:26:27.229;2026-07-21 19:33:28.628;VENDA;PROTEGIDO;0,0;38;1475,0;-300,0;TREINO
20260721194526318467;2026-07-21 19:45:13.725;2026-07-21 20:15:17.121;VENDA;TIMEOUT;-2200,0;152;700,0;-2225,0;TREINO
20260721202003986463;2026-07-21 20:19:53.255;2026-07-21 20:50:07.415;COMPRA;TIMEOUT;-950,0;157;100,0;-2600,0;TREINO
20260721205317976297;2026-07-21 20:53:07.015;2026-07-21 21:00:02.314;VENDA;LOSS;-2900,0;38;125,0;-2975,0;TREINO
20260721210217072599;2026-07-21 21:02:06.115;2026-07-21 21:06:36.656;COMPRA;GAIN;1600,0;25;1850,0;-275,0;TREINO
20260721210936611204;2026-07-21 21:09:25.089;2026-07-21 21:27:02.289;COMPRA;LOSS;-2900,0;95;775,0;-2975,0;TREINO
20260721212737194560;2026-07-21 21:27:26.431;2026-07-21 21:32:30.117;VENDA;GAIN;1600,0;28;1650,0;-1350,0;TREINO
20260721214339265035;2026-07-21 21:43:27.730;2026-07-21 21:46:40.338;VENDA;GAIN;1600,0;18;2250,0;0,0;TREINO
20260721214758967076;2026-07-21 21:47:47.484;2026-07-21 22:02:00.196;VENDA;GAIN;1600,0;75;2375,0;-2725,0;TREINO
20260721220307836625;2026-07-21 22:02:56.862;2026-07-21 22:16:01.225;COMPRA;GAIN;1600,0;70;1750,0;-825,0;TREINO
20260721221623682947;2026-07-21 22:16:12.632;2026-07-21 22:30:02.822;COMPRA;LOSS;-2900,0;72;250,0;-2900,0;TREINO
