posicao_ranking;id_regra;score_lado_max;score_oposto_min;perda_minima;persistencia_s;mfe_maximo;modo_fluxo;exigir_rompimento_contrario;conjunto_treino;qtd_trades_treino;disparos_treino;taxa_disparo_pct_treino;resultado_real_total_treino;resultado_sombra_total_treino;impacto_liquido_treino;impacto_medio_trade_treino;losses_salvos_treino;gains_prejudicados_treino;protegidos_prejudicados_treino;timeouts_melhorados_treino;score_lado_max_treino;score_oposto_min_treino;perda_minima_treino;persistencia_s_treino;mfe_maximo_treino;modo_fluxo_treino;exigir_rompimento_contrario_treino;conjunto_validacao;qtd_trades_validacao;disparos_validacao;taxa_disparo_pct_validacao;resultado_real_total_validacao;resultado_sombra_total_validacao;impacto_liquido_validacao;impacto_medio_trade_validacao;losses_salvos_validacao;gains_prejudicados_validacao;protegidos_prejudicados_validacao;timeouts_melhorados_validacao;score_lado_max_validacao;score_oposto_min_validacao;perda_minima_validacao;persistencia_s_validacao;mfe_maximo_validacao;modo_fluxo_validacao;exigir_rompimento_contrario_validacao;validacao_positiva;impacto_conservador
1;516;30;70;300;2;;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;6;14,285714285714286;-19900,0;-12650,0;7250,0;172,61904761904762;5;0;1;0;30;70;300;2;;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;30;70;300;2;;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
2;520;30;70;300;2;500,0;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;6;14,285714285714286;-19900,0;-12650,0;7250,0;172,61904761904762;5;0;1;0;30;70;300;2;500,0;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;30;70;300;2;500,0;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
3;524;30;70;300;3;;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;6;14,285714285714286;-19900,0;-12650,0;7250,0;172,61904761904762;5;0;1;0;30;70;300;3;;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;30;70;300;3;;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
4;528;30;70;300;3;500,0;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;6;14,285714285714286;-19900,0;-12650,0;7250,0;172,61904761904762;5;0;1;0;30;70;300;3;500,0;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;30;70;300;3;500,0;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
5;532;30;70;300;5;;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;6;14,285714285714286;-19900,0;-12650,0;7250,0;172,61904761904762;5;0;1;0;30;70;300;5;;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;30;70;300;5;;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
6;536;30;70;300;5;500,0;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;6;14,285714285714286;-19900,0;-12650,0;7250,0;172,61904761904762;5;0;1;0;30;70;300;5;500,0;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;30;70;300;5;500,0;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
7;540;30;70;300;8;;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;6;14,285714285714286;-19900,0;-12650,0;7250,0;172,61904761904762;5;0;1;0;30;70;300;8;;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;30;70;300;8;;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
8;544;30;70;300;8;500,0;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;6;14,285714285714286;-19900,0;-12650,0;7250,0;172,61904761904762;5;0;1;0;30;70;300;8;500,0;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;30;70;300;8;500,0;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
9;1028;40;70;300;2;;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;6;14,285714285714286;-19900,0;-12650,0;7250,0;172,61904761904762;5;0;1;0;40;70;300;2;;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;40;70;300;2;;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
10;1032;40;70;300;2;500,0;DELTA_E_SALDO_CONTRARIOS;True;TREINO;42;6;14,285714285714286;-19900,0;-12650,0;7250,0;172,61904761904762;5;0;1;0;40;70;300;2;500,0;DELTA_E_SALDO_CONTRARIOS;True;VALIDACAO;19;1;5,2631578947368425;6000,0;6975,0;975,0;51,31578947368421;1;0;0;0;40;70;300;2;500,0;DELTA_E_SALDO_CONTRARIOS;True;True;975,0
