swing_id;data;inicio;fim;direcao;preco_inicio;preco_extremo;distancia_pts;duracao_s;duracao_min;faixa_movimento
1;2026-07-12;2026-07-12 19:00:02.795;2026-07-12 19:01:04.092;ALTA;29925,25;29979,5;54,25;61,297;1,0216166666666666;IMPULSO_50_100
2;2026-07-12;2026-07-12 19:02:45.070;2026-07-12 19:06:31.801;QUEDA;29956,0;29869,75;86,25;226,731;3,77885;IMPULSO_50_100
3;2026-07-12;2026-07-12 19:10:33.527;2026-07-12 19:13:10.416;QUEDA;29915,0;29855,0;60,0;156,889;2,614816666666667;IMPULSO_50_100
4;2026-07-12;2026-07-12 20:41:27.107;2026-07-12 20:47:25.372;QUEDA;29898,25;29845,0;53,25;358,265;5,9710833333333335;IMPULSO_50_100
5;2026-07-12;2026-07-12 20:47:25.372;2026-07-12 20:52:12.926;ALTA;29845,0;29895,5;50,5;287,554;4,792566666666667;IMPULSO_50_100
6;2026-07-12;2026-07-12 21:00:58.614;2026-07-12 21:04:23.456;ALTA;29877,75;29986,25;108,5;204,842;3,4140333333333337;IMPULSO_100_200
7;2026-07-12;2026-07-12 21:06:03.718;2026-07-12 21:07:09.119;ALTA;29953,5;30007,75;54,25;65,401;1,0900166666666666;IMPULSO_50_100
8;2026-07-12;2026-07-12 21:08:28.725;2026-07-12 21:10:29.016;ALTA;29972,25;30041,0;68,75;120,291;2,00485;IMPULSO_50_100
9;2026-07-12;2026-07-12 21:15:09.036;2026-07-12 21:19:23.349;QUEDA;30032,25;29958,0;74,25;254,313;4,23855;IMPULSO_50_100
10;2026-07-12;2026-07-12 21:26:38.541;2026-07-12 21:41:23.525;QUEDA;30004,5;29850,0;154,5;884,984;14,749733333333333;IMPULSO_100_200
11;2026-07-12;2026-07-12 21:48:58.345;2026-07-12 21:50:26.627;QUEDA;29905,0;29848,0;57,0;88,282;1,4713666666666667;IMPULSO_50_100
12;2026-07-12;2026-07-12 21:51:18.376;2026-07-12 21:53:07.463;QUEDA;29869,0;29807,5;61,5;109,087;1,8181166666666668;IMPULSO_50_100
13;2026-07-12;2026-07-12 22:12:02.732;2026-07-12 22:16:09.705;ALTA;29790,25;29849,0;58,75;246,973;4,116216666666667;IMPULSO_50_100
14;2026-07-12;2026-07-12 22:20:46.507;2026-07-12 22:28:15.361;QUEDA;29839,75;29789,0;50,75;448,854;7,4809;IMPULSO_50_100
15;2026-07-12;2026-07-12 22:34:40.215;2026-07-12 22:38:26.303;ALTA;29793,0;29843,25;50,25;226,088;3,768133333333333;IMPULSO_50_100
16;2026-07-12;2026-07-12 22:38:26.303;2026-07-12 22:48:54.508;QUEDA;29843,25;29776,0;67,25;628,205;10,470083333333333;IMPULSO_50_100
17;2026-07-12;2026-07-12 22:49:25.065;2026-07-12 22:53:21.655;QUEDA;29799,5;29742,5;57,0;236,59;3,943166666666667;IMPULSO_50_100
18;2026-07-12;2026-07-12 23:18:02.701;2026-07-12 23:22:38.460;ALTA;29745,0;29802,0;57,0;275,759;4,595983333333334;IMPULSO_50_100
