feature;qtd_movimentos;qtd_laterais;media_movimentos;mediana_movimentos;media_lateral;mediana_lateral;diferenca;diferenca_percentual;cohen_d;cohen_d_abs;ks_stat;ks_pvalue;mann_whitney_pvalue;direcao
pre_30_0s_slope_spread_s;18;779;-0,08531621309072297;-0,004650106350609179;-0,00019328647794369274;-0,00028587672014091675;-0,08512292661277927;-44039,773251793056;-1,9891768303203528;1,9891768303203528;0,3688489516474112;0,011812530948376697;0,03686878613287031;MENOR_NO_IMPULSO
pre_15_0s_spread_std;18;772;0,609707263588403;0,3433637709949483;0,2672056063974573;0,2439750182371333;0,3425016571909457;128,17906847414298;1,8330314985155614;1,8330314985155614;0,5378526194588371;2,8185281605505115e-05;1,9290429555073677e-05;MAIOR_NO_IMPULSO
pre_60_0s_volatilidade_preco;18;779;1,0210958466722098;0,8365323938096958;0,5863212024635843;0,5683510879585553;0,43477464420862544;74,15298003582409;1,8060818388300153;1,8060818388300153;0,589430894308943;2,4490867625743976e-06;2,5495324505441845e-06;MAIOR_NO_IMPULSO
pre_30_0s_slope_bid_size_s;18;779;-0,7401694605809267;-0,005769223276184601;-0,006278715973927122;-0,0011249135940751837;-0,7338907446069995;-11688,548226333864;-1,7968298289138054;1,7968298289138054;0,21302239338182852;0,3501126956597476;0,19603760797093095;MENOR_NO_IMPULSO
pre_5_0s_spread_std;18;701;0,5878070898979579;0,30762508342908945;0,23690864570558873;0,20910698314357723;0,3508984441923692;148,11550804626944;1,7813960454920343;1,7813960454920343;0,4412743699476938;0,001239562144751492;0,00024120763728187965;MAIOR_NO_IMPULSO
pre_5_0s_spread_max;18;701;3,5694444444444446;2,0;1,5053495007132667;1,5;2,064094943731178;137,1173234357314;1,777116125328295;1,777116125328295;0,4479315263908702;0,001007448490354279;1,9779414705782452e-05;MAIOR_NO_IMPULSO
pre_10_0s_spread_std;18;761;0,5986874746394162;0,3333543246657671;0,2605980189817057;0,23044305153334524;0,3380894556577105;129,73600374201033;1,7766158357425075;1,7766158357425075;0,4828442108336984;0,0002724201062478586;0,00011475795181761448;MAIOR_NO_IMPULSO
pre_30_0s_spread_std;18;779;0,6273609524296511;0,3787029251215388;0,284795359832293;0,2611479140293509;0,3425655925973581;120,28482233667155;1,7736436213893947;1,7736436213893947;0,6119669091427755;7,627015550823992e-07;5,136188070787228e-06;MAIOR_NO_IMPULSO
pre_10_0s_spread_max;18;761;3,763888888888889;2,0;1,647174770039422;1,5;2,116714118849467;128,50573948499755;1,6773772269879885;1,6773772269879885;0,514746678347204;7,574817178552589e-05;3,943293683383915e-06;MAIOR_NO_IMPULSO
pre_30_0s_spread_medio;18;779;1,7565844191770448;1,5795247724974721;1,0965670058015746;1,0964912280701755;0,6600174133754702;60,18942845111476;1,6712130205395994;1,6712130205395994;0,5686777920410783;6,74146138753075e-06;5,237650651230553e-07;MAIOR_NO_IMPULSO
pre_30_0s_delta_por_tick;18;779;0,2594825773064792;0,005145502645502646;-0,000263730105791236;0,0;0,25974630741227045;98489,44117812661;1,6624002078118216;1,6624002078118216;0,2570246755099129;0,16311727042727125;0,05759820815860966;MAIOR_NO_IMPULSO
pre_60_0s_spread_std;18;779;0,6343272160273036;0,4044399410617907;0,2993980330053813;0,2808591230307252;0,33492918302192226;111,86752954248777;1,653866179527469;1,653866179527469;0,5496362858365426;1,6486068493198954e-05;3,184252265599547e-06;MAIOR_NO_IMPULSO
pre_30_0s_delta_vel_s;18;779;33,03374019064086;0,5278631439779413;0,02751339183744188;0,0;33,00622679880342;119964,2232183331;1,6472713715325487;1,6472713715325487;0,2834117814862359;0,09603573111302868;0,0577345771621884;MAIOR_NO_IMPULSO
pre_60_0s_spread_medio;18;779;1,7710169948136354;1,5548157115953727;1,100100378401429;1,0944444444444446;0,6709166164122065;60,986854434785734;1,6423642076347333;1,6423642076347333;0,6356439880188275;2,0747861075878634e-07;1,0184215781852447e-07;MAIOR_NO_IMPULSO
pre_15_0s_spread_max;18;772;3,8194444444444446;2,25;1,7150259067357514;1,5;2,1044185377086935;122,70476670023498;1,641949904608512;1,641949904608512;0,533678756476684;3,385004230880425e-05;4,6600419957167155e-06;MAIOR_NO_IMPULSO
pre_60_0s_slope_spread_s;18;779;-0,06663026334347016;-0,002109908143931604;-0,0001625717340171892;-5,779619010800387e-05;-0,06646769160945297;-40885,146493193664;-1,631399801603581;1,631399801603581;0,32506061902724287;0,03714420801447331;0,04360895408544499;MENOR_NO_IMPULSO
pre_15_0s_delta_por_tick;18;772;0,25817654615758023;0,00502556298241426;-0,0010606757686104874;-0,0007312577633529671;0,2592372219261907;24440,76027736526;1,6298909594445166;1,6298909594445166;0,20696603339090391;0,3844622871740292;0,13015526945340097;MAIOR_NO_IMPULSO
pre_15_0s_delta_vel_s;18;772;32,909176178939134;0,35281403137183487;-0,004262430804257328;-0,06822913122885671;32,913438609743395;772175,3178226227;1,6282893989898624;1,6282893989898624;0,2535981577432356;0,1743317626153703;0,1992752724523058;MAIOR_NO_IMPULSO
pre_60_0s_volume_var;18;779;-23046,5;200,0;373,1065468549422;194,0;-23419,606546854942;-6276,921899191468;-1,619360168783378;1,619360168783378;0,18228498074454436;0,5416459511076621;0,7909242206817038;MENOR_NO_IMPULSO
pre_10_0s_delta_por_tick;18;761;0,2579848102323111;0,010771327135030914;-0,0030671609597481245;-0,001072961373390558;0,26105197119205925;8511,192422503216;1,6183548211694698;1,6183548211694698;0,2963206307490145;0,0727179271506577;0,07473552309304375;MAIOR_NO_IMPULSO
pre_30_0s_volume_var;18;779;-23170,555555555555;111,5;186,02695763799744;94,0;-23356,582513193553;-12555,482715921593;-1,6161699351150445;1,6161699351150445;0,22685779489373847;0,28015548533927487;0,6125699064161945;MENOR_NO_IMPULSO
