feature;operador;limite;regra;cobertura_movimentos;taxa_falso_lateral;precisao_aproximada;cohen_d_abs
pre_30_0s_spread_medio;>=;1,5553571428571429;pre_30_0s_spread_medio >= 1.555357;0,5555555555555556;0,10012836970474968;0,8472917119860779;1,6712130205395994
pre_30_0s_slope_spread_s;<=;-0,01447284533419163;pre_30_0s_slope_spread_s <= -0.014473;0,2777777777777778;0,05006418485237484;0,8472917119860779;1,9891768303203528
pre_60_0s_volatilidade_preco;>=;0,9471052211620352;pre_60_0s_volatilidade_preco >= 0.947105;0,2777777777777778;0,05006418485237484;0,8472917119860779;1,8060818388300153
pre_30_0s_spread_medio;>=;1,6600492880613356;pre_30_0s_spread_medio >= 1.660049;0,2777777777777778;0,05006418485237484;0,8472917119860779;1,6712130205395994
pre_60_0s_spread_medio;>=;1,6891404978771953;pre_60_0s_spread_medio >= 1.689140;0,2777777777777778;0,05006418485237484;0,8472917119860779;1,6423642076347333
pre_15_0s_delta_vel_s;>=;3,006536037270484;pre_15_0s_delta_vel_s >= 3.006536;0,2777777777777778;0,050518134715025906;0,8461201227531784;1,6282893989898624
pre_60_0s_volatilidade_preco;>=;0,845947633363481;pre_60_0s_volatilidade_preco >= 0.845948;0,5;0,10012836970474968;0,8331550802139037;1,8060818388300153
pre_60_0s_spread_medio;>=;1,5358040796963948;pre_60_0s_spread_medio >= 1.535804;0,5;0,10012836970474968;0,8331550802139037;1,6423642076347333
pre_5_0s_spread_max;>=;2,5;pre_5_0s_spread_max >= 2.500000;0,2777777777777778;0,06134094151212553;0,8191166160317831;1,777116125328295
pre_30_0s_spread_std;>=;0,49245536096374604;pre_30_0s_spread_std >= 0.492455;0,2222222222222222;0,05006418485237484;0,8161341016238868;1,7736436213893947
pre_60_0s_trades_por_tick;<=;0,016523853176952614;pre_60_0s_trades_por_tick <= 0.016524;0,2222222222222222;0,05006418485237484;0,8161341016238868;1,6118503856235318
pre_15_0s_spread_std;>=;0,441109482001511;pre_15_0s_spread_std >= 0.441109;0,2222222222222222;0,050518134715025906;0,8147757255936675;1,8330314985155614
pre_10_0s_spread_std;>=;0,45221945308441996;pre_10_0s_spread_std >= 0.452219;0,2222222222222222;0,051248357424441525;0,8126001067805659;1,7766158357425075
pre_10_0s_delta_por_tick;>=;0,040983606557377046;pre_10_0s_delta_por_tick >= 0.040984;0,2222222222222222;0,051248357424441525;0,8126001067805659;1,6183548211694698
