feature;importancia_extra_trees;mutual_information
pre_60_30s_volatilidade_preco;0,022076953936228452;0,01587726343603968
pre_10_0s_eficiencia_preco;0,018083404129991234;0,008266537805184493
pre_15_0s_eficiencia_preco;0,015622387752541584;0,010116962034506516
pre_60_30s_spread_medio;0,015581831470496247;0,02590313395624566
pre_60_0s_spread_medio;0,013642380579239636;0,018369481943281696
pre_30_0s_spread_medio;0,012113849306205479;0,015562167338349475
pre_120_60s_spread_medio;0,011766263238843775;0,02151905871028814
pre_30_0s_eficiencia_preco;0,01162169999580304;0,008607318335430936
pre_5_0s_eficiencia_preco;0,011563338960529145;0,003952290473897113
pre_30_10s_volatilidade_preco;0,01116433777458794;0,007680125177472963
pre_30_10s_spread_medio;0,010976229713108838;0,01327660077205739
pre_15_0s_spread_medio;0,010536811199366095;0,012415123562623198
pre_60_0s_volatilidade_preco;0,009901002821607852;0,011885701199804144
pre_5_0s_spread_medio;0,008872318668026725;0,011239702983723232
pre_10_0s_amplitude_pts;0,008843674070299947;0,006689128243734022
pre_15_0s_amplitude_pts;0,008485138231403054;0,0016419843681205748
pre_120_60s_volatilidade_preco;0,007883854300590548;0,013136540961748211
pre_60_0s_eficiencia_preco;0,007519857164521387;0,004306240547583995
pre_30_10s_spread_std;0,007505113495904882;0,011637904887118244
pre_10_0s_preco_var_pts;0,006845562362997589;0,010198727695531984
pre_10_0s_spread_medio;0,006700725033327488;0,010184318073576781
pre_5_0s_persistencia_alta;0,006667723585642489;0,0107416899950048
pre_10_0s_spread_std;0,006409263137236589;0,011935267852330345
pre_30_0s_preco_var_pts;0,006366051518871043;0,007825968398822658
pre_60_0s_amplitude_pts;0,006352689238442568;0,013344402227929764
pre_60_30s_spread_max;0,006116838506291037;0,01641329977701511
pre_60_30s_spread_std;0,00611626164111183;0,0136599516254996
acel_60_para_15_amplitude_pts_ratio;0,005990297455333106;0,0012704089502999505
pre_60_0s_spread_std;0,005956225733316211;0,01116670209021664
pre_30_10s_spread_max;0,005834526607494352;0,005799321072344155
pre_15_0s_preco_var_pts;0,005556121176083206;0,019457109948462614
pre_5_0s_preco_var_pts;0,005470882884530769;0,01656218149105726
pre_30_0s_spread_std;0,005449656669778302;0,014575935521537131
pre_15_0s_spread_std;0,005308508874383443;0,010711079046920258
acel_30_para_5_amplitude_pts_ratio;0,005179008732379525;0,0
pre_10_0s_spread_max;0,005170630456667977;0,01681668203041098
pre_30_0s_persistencia_alta;0,005079349700067017;0,0026697849603143364
pre_10_0s_persistencia_queda;0,005025172800306894;0,004096337606313893
pre_120_60s_ticks_vel_s;0,005018884422882445;0,010418755883647712
pre_5_0s_duracao_s;0,00496910850517785;0,013225314142257916
pre_30_0s_delta_agressor_medio;0,0048467283448576474;0,00693644189288567
pre_120_60s_spread_std;0,004778015035382639;0,009498991038103144
pre_30_0s_slope_ticks_s;0,004751054904030664;0,007223798284700544
pre_60_30s_ticks_var;0,004591403957237733;0,002727223263723433
pre_5_0s_persistencia_queda;0,004570136450722998;0,007469718718388529
pre_5_0s_amplitude_pts;0,004538890924056272;0,006021887488192101
pre_15_0s_spread_max;0,00451876573376969;0,01702030268502308
pre_5_0s_delta_agressor_medio;0,004501348252200495;0,006855703089953646
pre_30_0s_volatilidade_preco;0,0044538321441945205;0,005274024856068094
pre_60_30s_spread_min;0,0044161959851668105;0,0
