swing_id;data;inicio;fim;direcao;preco_inicio;preco_extremo;distancia_pts;duracao_s;duracao_min;faixa_movimento
1;2026-07-13;2026-07-13 00:42:14.402;2026-07-13 01:10:55.953;QUEDA;29727,25;29650,0;77,25;1721,551;28,692516666666666;IMPULSO_50_100
2;2026-07-13;2026-07-13 01:22:59.697;2026-07-13 01:51:45.756;QUEDA;29673,0;29612,75;60,25;1726,059;28,76765;IMPULSO_50_100
3;2026-07-13;2026-07-13 02:00:32.620;2026-07-13 02:12:51.565;ALTA;29606,5;29693,75;87,25;738,945;12,315750000000001;IMPULSO_50_100
4;2026-07-13;2026-07-13 02:12:51.565;2026-07-13 02:30:33.545;QUEDA;29693,75;29542,75;151,0;1061,98;17,699666666666666;IMPULSO_100_200
5;2026-07-13;2026-07-13 02:32:27.369;2026-07-13 02:41:58.059;ALTA;29561,5;29670,75;109,25;570,69;9,511500000000002;IMPULSO_100_200
6;2026-07-13;2026-07-13 02:41:58.059;2026-07-13 02:48:57.611;QUEDA;29670,75;29614,75;56,0;419,552;6,992533333333333;IMPULSO_50_100
7;2026-07-13;2026-07-13 02:48:57.611;2026-07-13 02:51:30.009;ALTA;29614,75;29666,75;52,0;152,398;2,5399666666666665;IMPULSO_50_100
8;2026-07-13;2026-07-13 03:05:01.754;2026-07-13 03:14:42.605;QUEDA;29660,0;29585,5;74,5;580,851;9,68085;IMPULSO_50_100
9;2026-07-13;2026-07-13 03:30:34.749;2026-07-13 03:39:09.104;QUEDA;29650,5;29598,5;52,0;514,355;8,572583333333334;IMPULSO_50_100
10;2026-07-13;2026-07-13 04:01:02.425;2026-07-13 04:14:45.565;ALTA;29607,0;29675,5;68,5;823,14;13,719;IMPULSO_50_100
11;2026-07-13;2026-07-13 04:24:44.557;2026-07-13 04:34:16.134;QUEDA;29690,25;29636,0;54,25;571,577;9,526283333333334;IMPULSO_50_100
12;2026-07-13;2026-07-13 05:05:39.678;2026-07-13 05:27:46.081;ALTA;29647,5;29741,5;94,0;1326,403;22,106716666666667;IMPULSO_50_100
13;2026-07-13;2026-07-13 05:38:54.822;2026-07-13 05:53:55.107;ALTA;29700,0;29754,0;54,0;900,285;15,00475;IMPULSO_50_100
14;2026-07-13;2026-07-13 06:10:40.390;2026-07-13 06:44:19.218;ALTA;29718,0;29776,5;58,5;2018,828;33,647133333333336;IMPULSO_50_100
15;2026-07-13;2026-07-13 07:45:27.862;2026-07-13 08:00:35.492;ALTA;29735,75;29791,25;55,5;907,63;15,127166666666666;IMPULSO_50_100
16;2026-07-13;2026-07-13 08:20:41.888;2026-07-13 08:35:09.985;ALTA;29741,5;29793,5;52,0;868,097;14,468283333333334;IMPULSO_50_100
17;2026-07-13;2026-07-13 08:35:09.985;2026-07-13 08:57:58.179;QUEDA;29793,5;29728,75;64,75;1368,194;22,80323333333333;IMPULSO_50_100
18;2026-07-13;2026-07-13 09:11:05.480;2026-07-13 09:12:12.176;QUEDA;29757,25;29693,75;63,5;66,696;1,1116;IMPULSO_50_100
19;2026-07-13;2026-07-13 09:15:37.275;2026-07-13 09:38:13.973;QUEDA;29735,75;29655,5;80,25;1356,698;22,611633333333334;IMPULSO_50_100
20;2026-07-13;2026-07-13 09:42:48.269;2026-07-13 10:02:42.271;ALTA;29666,25;29748,0;81,75;1194,002;19,900033333333333;IMPULSO_50_100
21;2026-07-13;2026-07-13 10:02:42.271;2026-07-13 10:24:11.760;QUEDA;29748,0;29687,5;60,5;1289,489;21,491483333333335;IMPULSO_50_100
22;2026-07-13;2026-07-13 10:30:33.372;2026-07-13 10:31:00.943;ALTA;29651,0;29734,0;83,0;27,571;0,4595166666666667;IMPULSO_50_100
23;2026-07-13;2026-07-13 10:32:35.259;2026-07-13 10:34:41.477;QUEDA;29737,25;29631,75;105,5;126,218;2,1036333333333332;IMPULSO_100_200
24;2026-07-13;2026-07-13 10:38:00.485;2026-07-13 10:38:51.770;ALTA;29610,75;29666,75;56,0;51,285;0,8547499999999999;IMPULSO_50_100
25;2026-07-13;2026-07-13 10:38:51.770;2026-07-13 10:40:54.731;QUEDA;29666,75;29562,25;104,5;122,961;2,04935;IMPULSO_100_200
26;2026-07-13;2026-07-13 10:45:51.260;2026-07-13 10:46:53.330;ALTA;29535,75;29598,0;62,25;62,07;1,0345;IMPULSO_50_100
27;2026-07-13;2026-07-13 10:50:26.607;2026-07-13 10:51:55.889;QUEDA;29595,0;29518,0;77,0;89,282;1,4880333333333333;IMPULSO_50_100
28;2026-07-13;2026-07-13 10:56:57.956;2026-07-13 10:59:44.410;ALTA;29543,0;29640,0;97,0;166,454;2,7742333333333336;IMPULSO_50_100
29;2026-07-13;2026-07-13 11:00:59.411;2026-07-13 11:02:16.034;QUEDA;29662,5;29611,75;50,75;76,623;1,27705;IMPULSO_50_100
30;2026-07-13;2026-07-13 11:07:44.076;2026-07-13 11:11:22.909;ALTA;29570,5;29655,75;85,25;218,833;3,6472166666666666;IMPULSO_50_100
31;2026-07-13;2026-07-13 11:15:18.551;2026-07-13 11:16:53.510;QUEDA;29659,75;29491,25;168,5;94,959;1,5826500000000001;IMPULSO_100_200
32;2026-07-13;2026-07-13 11:17:33.715;2026-07-13 11:18:13.707;ALTA;29493,5;29582,75;89,25;39,992;0,6665333333333333;IMPULSO_50_100
33;2026-07-13;2026-07-13 11:23:01.811;2026-07-13 11:24:55.003;ALTA;29570,0;29677,25;107,25;113,192;1,8865333333333332;IMPULSO_100_200
34;2026-07-13;2026-07-13 11:28:02.517;2026-07-13 11:30:30.818;ALTA;29652,25;29724,0;71,75;148,301;2,471683333333333;IMPULSO_50_100
35;2026-07-13;2026-07-13 11:34:02.817;2026-07-13 11:37:33.497;QUEDA;29717,0;29655,0;62,0;210,68;3,5113333333333334;IMPULSO_50_100
36;2026-07-13;2026-07-13 11:41:26.697;2026-07-13 11:46:05.889;QUEDA;29677,0;29603,5;73,5;279,192;4,6532;IMPULSO_50_100
37;2026-07-13;2026-07-13 11:46:05.889;2026-07-13 11:50:36.671;ALTA;29603,5;29700,5;97,0;270,782;4,5130333333333335;IMPULSO_50_100
38;2026-07-13;2026-07-13 11:51:25.049;2026-07-13 11:55:03.748;QUEDA;29697,75;29627,75;70,0;218,699;3,6449833333333337;IMPULSO_50_100
39;2026-07-13;2026-07-13 11:55:03.748;2026-07-13 11:57:02.847;ALTA;29627,75;29688,0;60,25;119,099;1,9849833333333333;IMPULSO_50_100
