feature;operador;limite;regra;tp_movimentos;fn_movimentos;fp_laterais;tn_laterais;precision_real;recall;especificidade;cohen_d_abs
pre_5_0s_spread_pct_acima_1_5;<=;0,08419540229885057;pre_5_0s_spread_pct_acima_1_5 <= 0.084195;80;95;18;329;0,8163265306122449;0,45714285714285713;0,9481268011527377;0,8479859548131518
pre_120_60s_spread_pct_acima_1_5;<=;0,2667410714285714;pre_120_60s_spread_pct_acima_1_5 <= 0.266741;101;72;24;447;0,808;0,5838150289017341;0,9490445859872612;1,1854855356724838
pre_5_0s_spread_medio;<=;1,0416666666666667;pre_5_0s_spread_medio <= 1.041667;77;98;19;328;0,8020833333333334;0,44;0,9452449567723343;0,6801047248943937
pre_60_0s_spread_pct_acima_1_5;<=;0,2667410714285714;pre_60_0s_spread_pct_acima_1_5 <= 0.266741;97;78;24;447;0,8016528925619835;0,5542857142857143;0,9490445859872612;1,122370289274042
pre_15_0s_spread_pct_acima_1_5;<=;0,17282608695652174;pre_15_0s_spread_pct_acima_1_5 <= 0.172826;92;83;23;435;0,8;0,5257142857142857;0,9497816593886463;1,0302914453740057
pre_10_0s_spread_pct_acima_1_5;<=;0,14038800705467372;pre_10_0s_spread_pct_acima_1_5 <= 0.140388;87;88;22;412;0,7981651376146789;0,49714285714285716;0,9493087557603687;0,96197780003183
pre_30_0s_spread_pct_acima_1_5;<=;0,22727272727272727;pre_30_0s_spread_pct_acima_1_5 <= 0.227273;97;78;25;445;0,7950819672131147;0,5542857142857143;0,9468085106382979;1,0594286149183252
pre_60_0s_spread_medio;<=;1,1539115646258504;pre_60_0s_spread_medio <= 1.153912;91;84;24;447;0,7913043478260869;0,52;0,9490445859872612;0,6351983148643985
pre_60_30s_spread_pct_acima_1_5;<=;0,22727272727272727;pre_60_30s_spread_pct_acima_1_5 <= 0.227273;94;79;25;445;0,7899159663865546;0,5433526011560693;0,9468085106382979;1,04122032219412
pre_10_0s_spread_medio;<=;1,0615740740740742;pre_10_0s_spread_medio <= 1.061574;78;97;22;412;0,78;0,44571428571428573;0,9493087557603687;0,7086386041929237
pre_30_10s_spread_pct_acima_1_5;<=;0,15429864253393666;pre_30_10s_spread_pct_acima_1_5 <= 0.154299;83;90;24;440;0,7757009345794392;0,4797687861271676;0,9482758620689655;1,0558703193711936
pre_15_0s_spread_medio;<=;1,0875;pre_15_0s_spread_medio <= 1.087500;77;98;23;435;0,77;0,44;0,9497816593886463;0,7317908720735061
pre_60_30s_spread_medio;<=;1,1116363636363638;pre_60_30s_spread_medio <= 1.111636;79;94;24;446;0,7669902912621359;0,45664739884393063;0,948936170212766;0,6664036318129821
pre_15_0s_spread_mediana;<=;1,0;pre_15_0s_spread_mediana <= 1.000000;79;96;25;433;0,7596153846153846;0,4514285714285714;0,9454148471615721;0,7666006641208828
