alvo;dia_treino;dia_teste;origem_corte;corte_score;treino_precision;treino_recall;treino_especificidade;teste_tp;teste_fn;teste_fp;teste_tn;teste_precision;teste_recall;teste_especificidade;teste_acuracia;teste_f0_5;teste_positivos_reais;teste_sinais_emitidos
MOVIMENTO_50;2026-07-13;2026-07-14;ESCOLHIDO_NO_TREINO;3;1,0;0,6741573033707865;0,0;51;35;49;422;0,51;0,5930232558139535;0,8959660297239915;0,8491921005385996;0,5246913580246912;86;100
MOVIMENTO_50;2026-07-13;2026-07-14;FIXO_5;5;1,0;0,6404494382022472;0,0;41;45;11;460;0,7884615384615384;0,47674418604651164;0,9766454352441614;0,8994614003590664;0,6972789115646258;86;52
MOVIMENTO_50;2026-07-13;2026-07-14;FIXO_7;7;1,0;0,5955056179775281;0,0;37;49;4;467;0,9024390243902439;0,43023255813953487;0,9915074309978769;0,9048473967684022;0,7400000000000001;86;41
MOVIMENTO_50;2026-07-14;2026-07-13;FIXO_5;5;0,7884615384615384;0,47674418604651164;0,9766454352441614;57;32;0;0;1,0;0,6404494382022472;0,0;0,6404494382022472;0,8990536277602523;89;57
MOVIMENTO_50;2026-07-14;2026-07-13;ESCOLHIDO_NO_TREINO;6;0,8863636363636364;0,45348837209302323;0,9893842887473461;54;35;0;0;1,0;0,6067415730337079;0,0;0,6067415730337079;0,8852459016393444;89;54
MOVIMENTO_50;2026-07-14;2026-07-13;FIXO_7;7;0,9024390243902439;0,43023255813953487;0,9915074309978769;53;36;0;0;1,0;0,5955056179775281;0,0;0,5955056179775281;0,8803986710963455;89;53
MEDIO_150;2026-07-13;2026-07-14;FIXO_5;5;0,03508771929824561;1,0;0,367816091954023;0;0;52;505;0,0;0,0;0,9066427289048474;0,9066427289048474;0,0;0;52
MEDIO_150;2026-07-13;2026-07-14;ESCOLHIDO_NO_TREINO;6;0,037037037037037035;1,0;0,40229885057471265;0;0;44;513;0,0;0,0;0,9210053859964094;0,9210053859964094;0,0;0;44
MEDIO_150;2026-07-13;2026-07-14;FIXO_7;7;0,018867924528301886;0,5;0,40229885057471265;0;0;41;516;0,0;0,0;0,926391382405745;0,926391382405745;0,0;0;41
MEDIO_150;2026-07-14;2026-07-13;FIXO_5;5;0,0;0,0;0,9066427289048474;2;0;55;32;0,03508771929824561;1,0;0,367816091954023;0,38202247191011235;0,043478260869565216;2;57
MEDIO_150;2026-07-14;2026-07-13;FIXO_7;7;0,0;0,0;0,926391382405745;1;1;52;35;0,018867924528301886;0,5;0,40229885057471265;0,4044943820224719;0,023364485981308407;2;53
MEDIO_150;2026-07-14;2026-07-13;ESCOLHIDO_NO_TREINO;10;0,0;0,0;0,9551166965888689;1;1;43;44;0,022727272727272728;0,5;0,5057471264367817;0,5056179775280899;0,028089887640449437;2;44
EXPLOSAO_250;2026-07-13;2026-07-14;FIXO_5;5;0,0;0,0;0,3595505617977528;0;0;52;505;0,0;0,0;0,9066427289048474;0,9066427289048474;0,0;0;52
EXPLOSAO_250;2026-07-13;2026-07-14;FIXO_7;7;0,0;0,0;0,4044943820224719;0;0;41;516;0,0;0,0;0,926391382405745;0,926391382405745;0,0;0;41
EXPLOSAO_250;2026-07-13;2026-07-14;ESCOLHIDO_NO_TREINO;10;0,0;0,0;0,5056179775280899;0;0;25;532;0,0;0,0;0,9551166965888689;0,9551166965888689;0,0;0;25
EXPLOSAO_250;2026-07-14;2026-07-13;FIXO_5;5;0,0;0,0;0,9066427289048474;0;0;57;32;0,0;0,0;0,3595505617977528;0,3595505617977528;0,0;0;57
EXPLOSAO_250;2026-07-14;2026-07-13;FIXO_7;7;0,0;0,0;0,926391382405745;0;0;53;36;0,0;0,0;0,4044943820224719;0,4044943820224719;0,0;0;53
EXPLOSAO_250;2026-07-14;2026-07-13;ESCOLHIDO_NO_TREINO;10;0,0;0,0;0,9551166965888689;0;0;44;45;0,0;0,0;0,5056179775280899;0,5056179775280899;0,0;0;44
