alvo;dia_teste;feature;operador;limite;peso;tp;fn;fp;tn;precision;recall;especificidade;acuracia;f0_5;positivos_reais;sinais_emitidos;total
MOVIMENTO_50;2026-07-13;pre_120_60s_spread_pct_acima_1_5;<=;0,2667410714285714;3;57;32;0;0;1,0;0,6404494382022472;0,0;0,6404494382022472;0,8990536277602523;89;57;89
MOVIMENTO_50;2026-07-13;pre_60_0s_spread_pct_acima_1_5;<=;0,2667410714285714;2;55;34;0;0;1,0;0,6179775280898876;0,0;0,6179775280898876;0,889967637540453;89;55;89
MOVIMENTO_50;2026-07-13;pre_30_0s_spread_pct_acima_1_5;<=;0,22727272727272727;2;53;36;0;0;1,0;0,5955056179775281;0,0;0,5955056179775281;0,8803986710963455;89;53;89
MOVIMENTO_50;2026-07-13;pre_15_0s_spread_pct_acima_1_5;<=;0,17282608695652174;2;55;34;0;0;1,0;0,6179775280898876;0,0;0,6179775280898876;0,889967637540453;89;55;89
MOVIMENTO_50;2026-07-13;pre_5_0s_spread_pct_acima_1_5;<=;0,08419540229885057;1;49;40;0;0;1,0;0,550561797752809;0,0;0,550561797752809;0,8596491228070174;89;49;89
MOVIMENTO_50;2026-07-14;pre_120_60s_spread_pct_acima_1_5;<=;0,2667410714285714;3;44;42;24;447;0,6470588235294118;0,5116279069767442;0,9490445859872612;0,881508078994614;0,6145251396648045;86;68;557
MOVIMENTO_50;2026-07-14;pre_60_0s_spread_pct_acima_1_5;<=;0,2667410714285714;2;42;44;24;447;0,6363636363636364;0,4883720930232558;0,9490445859872612;0,8779174147217235;0,6;86;66;557
MOVIMENTO_50;2026-07-14;pre_30_0s_spread_pct_acima_1_5;<=;0,22727272727272727;2;44;42;25;446;0,6376811594202898;0,5116279069767442;0,9469214437367304;0,8797127468581688;0,6077348066298343;86;69;557
MOVIMENTO_50;2026-07-14;pre_15_0s_spread_pct_acima_1_5;<=;0,17282608695652174;2;37;49;23;448;0,6166666666666667;0,43023255813953487;0,9511677282377919;0,8707360861759426;0,5674846625766871;86;60;557
MOVIMENTO_50;2026-07-14;pre_5_0s_spread_pct_acima_1_5;<=;0,08419540229885057;1;31;55;18;453;0,6326530612244898;0,36046511627906974;0,9617834394904459;0,8689407540394973;0,5496453900709221;86;49;557
MEDIO_150;2026-07-13;pre_120_60s_spread_pct_acima_1_5;<=;0,2667410714285714;3;2;0;55;32;0,03508771929824561;1,0;0,367816091954023;0,38202247191011235;0,043478260869565216;2;57;89
MEDIO_150;2026-07-13;pre_60_0s_spread_pct_acima_1_5;<=;0,2667410714285714;2;1;1;54;33;0,01818181818181818;0,5;0,3793103448275862;0,38202247191011235;0,022522522522522525;2;55;89
MEDIO_150;2026-07-13;pre_30_0s_spread_pct_acima_1_5;<=;0,22727272727272727;2;1;1;52;35;0,018867924528301886;0,5;0,40229885057471265;0,4044943820224719;0,023364485981308407;2;53;89
MEDIO_150;2026-07-13;pre_15_0s_spread_pct_acima_1_5;<=;0,17282608695652174;2;2;0;53;34;0,03636363636363636;1,0;0,39080459770114945;0,4044943820224719;0,04504504504504505;2;55;89
MEDIO_150;2026-07-13;pre_5_0s_spread_pct_acima_1_5;<=;0,08419540229885057;1;2;0;47;40;0,04081632653061224;1,0;0,45977011494252873;0,47191011235955055;0,050505050505050504;2;49;89
MEDIO_150;2026-07-14;pre_120_60s_spread_pct_acima_1_5;<=;0,2667410714285714;3;0;0;68;489;0,0;0,0;0,8779174147217235;0,8779174147217235;0,0;0;68;557
MEDIO_150;2026-07-14;pre_60_0s_spread_pct_acima_1_5;<=;0,2667410714285714;2;0;0;66;491;0,0;0,0;0,881508078994614;0,881508078994614;0,0;0;66;557
MEDIO_150;2026-07-14;pre_30_0s_spread_pct_acima_1_5;<=;0,22727272727272727;2;0;0;69;488;0,0;0,0;0,8761220825852782;0,8761220825852782;0,0;0;69;557
MEDIO_150;2026-07-14;pre_15_0s_spread_pct_acima_1_5;<=;0,17282608695652174;2;0;0;60;497;0,0;0,0;0,8922800718132855;0,8922800718132855;0,0;0;60;557
MEDIO_150;2026-07-14;pre_5_0s_spread_pct_acima_1_5;<=;0,08419540229885057;1;0;0;49;508;0,0;0,0;0,9120287253141831;0,9120287253141831;0,0;0;49;557
EXPLOSAO_250;2026-07-13;pre_120_60s_spread_pct_acima_1_5;<=;0,2667410714285714;3;0;0;57;32;0,0;0,0;0,3595505617977528;0,3595505617977528;0,0;0;57;89
EXPLOSAO_250;2026-07-13;pre_60_0s_spread_pct_acima_1_5;<=;0,2667410714285714;2;0;0;55;34;0,0;0,0;0,38202247191011235;0,38202247191011235;0,0;0;55;89
EXPLOSAO_250;2026-07-13;pre_30_0s_spread_pct_acima_1_5;<=;0,22727272727272727;2;0;0;53;36;0,0;0,0;0,4044943820224719;0,4044943820224719;0,0;0;53;89
EXPLOSAO_250;2026-07-13;pre_15_0s_spread_pct_acima_1_5;<=;0,17282608695652174;2;0;0;55;34;0,0;0,0;0,38202247191011235;0,38202247191011235;0,0;0;55;89
EXPLOSAO_250;2026-07-13;pre_5_0s_spread_pct_acima_1_5;<=;0,08419540229885057;1;0;0;49;40;0,0;0,0;0,449438202247191;0,449438202247191;0,0;0;49;89
EXPLOSAO_250;2026-07-14;pre_120_60s_spread_pct_acima_1_5;<=;0,2667410714285714;3;0;0;68;489;0,0;0,0;0,8779174147217235;0,8779174147217235;0,0;0;68;557
EXPLOSAO_250;2026-07-14;pre_60_0s_spread_pct_acima_1_5;<=;0,2667410714285714;2;0;0;66;491;0,0;0,0;0,881508078994614;0,881508078994614;0,0;0;66;557
EXPLOSAO_250;2026-07-14;pre_30_0s_spread_pct_acima_1_5;<=;0,22727272727272727;2;0;0;69;488;0,0;0,0;0,8761220825852782;0,8761220825852782;0,0;0;69;557
EXPLOSAO_250;2026-07-14;pre_15_0s_spread_pct_acima_1_5;<=;0,17282608695652174;2;0;0;60;497;0,0;0,0;0,8922800718132855;0,8922800718132855;0,0;0;60;557
EXPLOSAO_250;2026-07-14;pre_5_0s_spread_pct_acima_1_5;<=;0,08419540229885057;1;0;0;49;508;0,0;0,0;0,9120287253141831;0,9120287253141831;0,0;0;49;557
