alvo;dia_treino;dia_teste;corte;tp;fn;fp;tn;precision;recall;especificidade;acuracia;f0_5;positivos_reais;sinais_emitidos;total
MOVIMENTO_50;2026-07-13;2026-07-14;1;60;29;0;0;1,0;0,6741573033707865;0,0;0,6741573033707865;0,9118541033434651;89;60;89
MOVIMENTO_50;2026-07-13;2026-07-14;2;60;29;0;0;1,0;0,6741573033707865;0,0;0,6741573033707865;0,9118541033434651;89;60;89
MOVIMENTO_50;2026-07-13;2026-07-14;3;60;29;0;0;1,0;0,6741573033707865;0,0;0,6741573033707865;0,9118541033434651;89;60;89
MOVIMENTO_50;2026-07-13;2026-07-14;4;57;32;0;0;1,0;0,6404494382022472;0,0;0,6404494382022472;0,8990536277602523;89;57;89
MOVIMENTO_50;2026-07-13;2026-07-14;5;57;32;0;0;1,0;0,6404494382022472;0,0;0,6404494382022472;0,8990536277602523;89;57;89
MOVIMENTO_50;2026-07-13;2026-07-14;6;54;35;0;0;1,0;0,6067415730337079;0,0;0,6067415730337079;0,8852459016393444;89;54;89
MOVIMENTO_50;2026-07-13;2026-07-14;7;53;36;0;0;1,0;0,5955056179775281;0,0;0,5955056179775281;0,8803986710963455;89;53;89
MOVIMENTO_50;2026-07-13;2026-07-14;8;51;38;0;0;1,0;0,5730337078651685;0,0;0,5730337078651685;0,8703071672354948;89;51;89
MOVIMENTO_50;2026-07-13;2026-07-14;9;50;39;0;0;1,0;0,5617977528089888;0,0;0,5617977528089888;0,8650519031141869;89;50;89
MOVIMENTO_50;2026-07-13;2026-07-14;10;44;45;0;0;1,0;0,4943820224719101;0,0;0,4943820224719101;0,830188679245283;89;44;89
MOVIMENTO_50;2026-07-14;2026-07-13;1;55;31;73;398;0,4296875;0,6395348837209303;0,8450106157112527;0,8132854578096947;0,4598662207357859;86;128;557
MOVIMENTO_50;2026-07-14;2026-07-13;2;55;31;68;403;0,44715447154471544;0,6395348837209303;0,8556263269639066;0,822262118491921;0,4757785467128028;86;123;557
MOVIMENTO_50;2026-07-14;2026-07-13;3;51;35;49;422;0,51;0,5930232558139535;0,8959660297239915;0,8491921005385996;0,5246913580246912;86;100;557
MOVIMENTO_50;2026-07-14;2026-07-13;4;45;41;24;447;0,6521739130434783;0,5232558139534884;0,9490445859872612;0,8833034111310593;0,6215469613259669;86;69;557
MOVIMENTO_50;2026-07-14;2026-07-13;5;41;45;11;460;0,7884615384615384;0,47674418604651164;0,9766454352441614;0,8994614003590664;0,6972789115646258;86;52;557
MOVIMENTO_50;2026-07-14;2026-07-13;6;39;47;5;466;0,8863636363636364;0,45348837209302323;0,9893842887473461;0,9066427289048474;0,7442748091603053;86;44;557
MOVIMENTO_50;2026-07-14;2026-07-13;7;37;49;4;467;0,9024390243902439;0,43023255813953487;0,9915074309978769;0,9048473967684022;0,7400000000000001;86;41;557
MOVIMENTO_50;2026-07-14;2026-07-13;8;31;55;0;471;1,0;0,36046511627906974;1,0;0,9012567324955116;0,738095238095238;86;31;557
MOVIMENTO_50;2026-07-14;2026-07-13;9;30;56;0;471;1,0;0,3488372093023256;1,0;0,8994614003590664;0,7281553398058253;86;30;557
MOVIMENTO_50;2026-07-14;2026-07-13;10;25;61;0;471;1,0;0,29069767441860467;1,0;0,8904847396768402;0,6720430107526881;86;25;557
MEDIO_150;2026-07-13;2026-07-14;1;2;0;58;29;0,03333333333333333;1,0;0,3333333333333333;0,34831460674157305;0,04132231404958678;2;60;89
MEDIO_150;2026-07-13;2026-07-14;2;2;0;58;29;0,03333333333333333;1,0;0,3333333333333333;0,34831460674157305;0,04132231404958678;2;60;89
MEDIO_150;2026-07-13;2026-07-14;3;2;0;58;29;0,03333333333333333;1,0;0,3333333333333333;0,34831460674157305;0,04132231404958678;2;60;89
MEDIO_150;2026-07-13;2026-07-14;4;2;0;55;32;0,03508771929824561;1,0;0,367816091954023;0,38202247191011235;0,043478260869565216;2;57;89
MEDIO_150;2026-07-13;2026-07-14;5;2;0;55;32;0,03508771929824561;1,0;0,367816091954023;0,38202247191011235;0,043478260869565216;2;57;89
MEDIO_150;2026-07-13;2026-07-14;6;2;0;52;35;0,037037037037037035;1,0;0,40229885057471265;0,4157303370786517;0,04587155963302752;2;54;89
MEDIO_150;2026-07-13;2026-07-14;7;1;1;52;35;0,018867924528301886;0,5;0,40229885057471265;0,4044943820224719;0,023364485981308407;2;53;89
MEDIO_150;2026-07-13;2026-07-14;8;1;1;50;37;0,0196078431372549;0,5;0,42528735632183906;0,42696629213483145;0,024271844660194174;2;51;89
MEDIO_150;2026-07-13;2026-07-14;9;1;1;49;38;0,02;0,5;0,4367816091954023;0,43820224719101125;0,024752475247524754;2;50;89
MEDIO_150;2026-07-13;2026-07-14;10;1;1;43;44;0,022727272727272728;0,5;0,5057471264367817;0,5056179775280899;0,028089887640449437;2;44;89
MEDIO_150;2026-07-14;2026-07-13;1;0;0;128;429;0,0;0,0;0,770197486535009;0,770197486535009;0,0;0;128;557
MEDIO_150;2026-07-14;2026-07-13;2;0;0;123;434;0,0;0,0;0,7791741472172352;0,7791741472172352;0,0;0;123;557
MEDIO_150;2026-07-14;2026-07-13;3;0;0;100;457;0,0;0,0;0,8204667863554758;0,8204667863554758;0,0;0;100;557
MEDIO_150;2026-07-14;2026-07-13;4;0;0;69;488;0,0;0,0;0,8761220825852782;0,8761220825852782;0,0;0;69;557
MEDIO_150;2026-07-14;2026-07-13;5;0;0;52;505;0,0;0,0;0,9066427289048474;0,9066427289048474;0,0;0;52;557
MEDIO_150;2026-07-14;2026-07-13;6;0;0;44;513;0,0;0,0;0,9210053859964094;0,9210053859964094;0,0;0;44;557
MEDIO_150;2026-07-14;2026-07-13;7;0;0;41;516;0,0;0,0;0,926391382405745;0,926391382405745;0,0;0;41;557
MEDIO_150;2026-07-14;2026-07-13;8;0;0;31;526;0,0;0,0;0,9443447037701975;0,9443447037701975;0,0;0;31;557
MEDIO_150;2026-07-14;2026-07-13;9;0;0;30;527;0,0;0,0;0,9461400359066428;0,9461400359066428;0,0;0;30;557
