"Arquivo","Tamanho_MB","LastWriteTime","FullName"
"quantower_export_full.csv","112,75","29/07/2026 14:28:05","C:\Nas100_dashboard\quantower_export_full.csv"
"csvs_atualizados_ultimos_7_dias.csv","0","29/07/2026 14:28:05","C:\Nas100_dashboard\csvs_atualizados_ultimos_7_dias.csv"
"13a_features_tempo_real.csv","10,85","29/07/2026 14:28:04","C:\Nas100_dashboard\C7_LAB\live13\13a_features_tempo_real.csv"
"estado_mercado_tempo_real.csv","33,27","29/07/2026 14:28:03","C:\Nas100_dashboard\estado_mercado_tempo_real.csv"
"trade_aberto_c7_dna_fluxo_v5_2.csv","0","29/07/2026 14:28:02","C:\Nas100_dashboard\trade_aberto_c7_dna_fluxo_v5_2.csv"
"13c_status_por_setup.csv","0","29/07/2026 14:28:02","C:\Nas100_dashboard\C7_LAB\relatorios\13c_status_por_setup.csv"
"trade_aberto_quantower_operacional_v3_1_v5_2.csv","0","29/07/2026 14:27:59","C:\Nas100_dashboard\trade_aberto_quantower_operacional_v3_1_v5_2.csv"
"telemetria_posicoes_operacional_v3_1_v5_2.csv","19,87","29/07/2026 14:27:59","C:\Nas100_dashboard\telemetria_posicoes_operacional_v3_1_v5_2.csv"
"sinais_c7_dna_fluxo_v5_2.csv","1,57","29/07/2026 14:27:49","C:\Nas100_dashboard\sinais_c7_dna_fluxo_v5_2.csv"
"estados_c7_dna_fluxo_v5_2.csv","33,19","29/07/2026 14:27:49","C:\Nas100_dashboard\estados_c7_dna_fluxo_v5_2.csv"
"13b_metricas_diarias.csv","0","29/07/2026 14:27:46","C:\Nas100_dashboard\C7_LAB\relatorios\13b_metricas_diarias.csv"
"13b_metricas_por_setup.csv","0","29/07/2026 14:27:46","C:\Nas100_dashboard\C7_LAB\relatorios\13b_metricas_por_setup.csv"
"bloqueios_c7_dna_fluxo_v5_2.csv","9","29/07/2026 14:27:43","C:\Nas100_dashboard\bloqueios_c7_dna_fluxo_v5_2.csv"
"13d_decisoes_promocao.csv","0","29/07/2026 14:27:07","C:\Nas100_dashboard\C7_LAB\relatorios\13d_decisoes_promocao.csv"
"trades_c7_dna_fluxo_v5_2.csv","1,61","29/07/2026 14:26:17","C:\Nas100_dashboard\trades_c7_dna_fluxo_v5_2.csv"
"13a_trades.csv","0,04","29/07/2026 14:23:14","C:\Nas100_dashboard\C7_LAB\live13\13a_trades.csv"
"13a_sinais.csv","0,07","29/07/2026 14:23:08","C:\Nas100_dashboard\C7_LAB\live13\13a_sinais.csv"
"sinais_quantower_operacional_v3_1_v5_2.csv","1,12","29/07/2026 14:18:24","C:\Nas100_dashboard\sinais_quantower_operacional_v3_1_v5_2.csv"
"estados_quantower_operacional_v3_1_v5_2.csv","36,19","29/07/2026 14:18:24","C:\Nas100_dashboard\estados_quantower_operacional_v3_1_v5_2.csv"
"bloqueios_quantower_operacional_v3_1_v5_2.csv","11,82","29/07/2026 14:18:17","C:\Nas100_dashboard\bloqueios_quantower_operacional_v3_1_v5_2.csv"
"trades_quantower_operacional_v3_1_v5_2.csv","1,15","29/07/2026 14:10:24","C:\Nas100_dashboard\trades_quantower_operacional_v3_1_v5_2.csv"
"15_matriz_top100_eventos_por_trade.csv","1,08","29/07/2026 14:01:53","C:\Nas100_dashboard\C7_LAB\relatorios_15_forensic_dna\15_matriz_top100_eventos_por_trade.csv"
"15_base_forense_compacta_por_trade.csv","9,76","29/07/2026 14:01:52","C:\Nas100_dashboard\C7_LAB\relatorios_15_forensic_dna\15_base_forense_compacta_por_trade.csv"
"15_autopsias_exemplo_dna_stop.csv","0,81","29/07/2026 14:01:52","C:\Nas100_dashboard\C7_LAB\relatorios_15_forensic_dna\15_autopsias_exemplo_dna_stop.csv"
