motivo;quantidade;percentual
sem rompimento confirmado -0.50 | hard-gate DNA incompleto;99;0,96
sem rompimento confirmado 0.00 | hard-gate DNA incompleto;98;0,95
sem rompimento confirmado -0.25 | hard-gate DNA incompleto;95;0,92
sem rompimento confirmado -1.25 | hard-gate DNA incompleto;76;0,74
sem rompimento confirmado -1.50 | hard-gate DNA incompleto;75;0,73
sem rompimento confirmado -1.00 | hard-gate DNA incompleto;75;0,73
sem rompimento confirmado -0.75 | hard-gate DNA incompleto;70;0,68
delta30 insuficiente 12.0 | hard-gate DNA incompleto;59;0,57
sem rompimento confirmado -1.75 | hard-gate DNA incompleto;58;0,56
delta30 insuficiente 11.0 | hard-gate DNA incompleto;56;0,54
sem rompimento confirmado -2.00 | hard-gate DNA incompleto;55;0,53
delta30 insuficiente 13.0 | hard-gate DNA incompleto;54;0,52
delta30 insuficiente 16.0 | hard-gate DNA incompleto;52;0,5
delta30 insuficiente 17.0 | hard-gate DNA incompleto;51;0,49
delta30 insuficiente 15.0 | hard-gate DNA incompleto;48;0,47
delta30 insuficiente 18.0 | hard-gate DNA incompleto;47;0,46
sem rompimento confirmado -2.25 | hard-gate DNA incompleto;47;0,46
delta30 insuficiente 14.0 | hard-gate DNA incompleto;44;0,43
delta30 insuficiente 9.0 | hard-gate DNA incompleto;44;0,43
delta30 insuficiente 19.0 | hard-gate DNA incompleto;42;0,41
sem rompimento confirmado -2.50 | hard-gate DNA incompleto;34;0,33
sem rompimento confirmado -3.00 | hard-gate DNA incompleto;31;0,3
delta30 insuficiente 10.0 | hard-gate DNA incompleto;31;0,3
PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;29;0,28
sem rompimento confirmado -2.75 | hard-gate DNA incompleto;29;0,28
delta30 insuficiente 5.0 | saldo30 insuficiente 6.0 | hard-gate DNA incompleto;28;0,27
delta30 insuficiente 6.0 | saldo30 insuficiente 7.0 | hard-gate DNA incompleto;27;0,26
delta30 insuficiente 7.0 | saldo30 insuficiente 6.0 | hard-gate DNA incompleto;26;0,25
delta30 insuficiente 6.0 | saldo30 insuficiente 5.0 | hard-gate DNA incompleto;24;0,23
sem rompimento confirmado -3.50 | hard-gate DNA incompleto;24;0,23
delta30 insuficiente 9.0 | saldo30 insuficiente 8.0 | hard-gate DNA incompleto;24;0,23
delta30 insuficiente 10.0 | saldo30 insuficiente 9.0 | hard-gate DNA incompleto;22;0,21
delta30 insuficiente 4.0 | saldo30 insuficiente 3.0 | hard-gate DNA incompleto;21;0,2
delta30 insuficiente 5.0 | saldo30 insuficiente 4.0 | hard-gate DNA incompleto;20;0,19
delta30 insuficiente 4.0 | saldo30 insuficiente 5.0 | hard-gate DNA incompleto;20;0,19
sem rompimento confirmado -3.25 | hard-gate DNA incompleto;20;0,19
delta30 insuficiente 3.0 | saldo30 insuficiente 2.0 | hard-gate DNA incompleto;19;0,18
delta30 insuficiente 8.0 | saldo30 insuficiente 7.0 | hard-gate DNA incompleto;18;0,17
sem continuidade 0.00 | hard-gate DNA incompleto;18;0,17
delta30 insuficiente 1.0 | saldo30 insuficiente 2.0 | hard-gate DNA incompleto;18;0,17
sem rompimento confirmado -3.75 | hard-gate DNA incompleto;18;0,17
sem rompimento confirmado -4.25 | hard-gate DNA incompleto;17;0,16
sem rompimento confirmado -0.75 | sem continuidade -0.25 | hard-gate DNA incompleto;17;0,16
delta30 insuficiente 7.0 | saldo30 insuficiente 8.0 | hard-gate DNA incompleto;17;0,16
MESMA_CAMPANHA_SEM_PULLBACK;16;0,16
delta30 insuficiente 8.0 | saldo30 insuficiente 9.0 | hard-gate DNA incompleto;16;0,16
sem continuidade -0.00 | hard-gate DNA incompleto;16;0,16
sem rompimento confirmado -4.75 | hard-gate DNA incompleto;15;0,15
sem rompimento confirmado -5.00 | hard-gate DNA incompleto;15;0,15
sem rompimento confirmado -6.25 | hard-gate DNA incompleto;14;0,14
delta30 insuficiente 3.0 | saldo30 insuficiente 4.0 | hard-gate DNA incompleto;14;0,14
sem rompimento confirmado -4.50 | hard-gate DNA incompleto;13;0,13
sem rompimento confirmado -4.00 | hard-gate DNA incompleto;13;0,13
sem rompimento confirmado -0.75 | sem continuidade -0.75 | hard-gate DNA incompleto;13;0,13
sem rompimento confirmado -5.75 | hard-gate DNA incompleto;13;0,13
delta30 insuficiente -9.0 | saldo30 insuficiente -10.0 | hard-gate DNA incompleto;12;0,12
sem rompimento confirmado -1.00 | sem continuidade -1.00 | hard-gate DNA incompleto;12;0,12
delta30 insuficiente 2.0 | saldo30 insuficiente 1.0 | hard-gate DNA incompleto;12;0,12
delta30 insuficiente 2.0 | saldo30 insuficiente 3.0 | hard-gate DNA incompleto;12;0,12
sem rompimento confirmado -1.25 | sem continuidade -1.25 | hard-gate DNA incompleto;11;0,11
sem continuidade -0.25 | hard-gate DNA incompleto;11;0,11
delta30 insuficiente -2.0 | saldo30 insuficiente -1.0 | hard-gate DNA incompleto;11;0,11
sem rompimento confirmado -1.75 | sem continuidade -0.25 | hard-gate DNA incompleto;11;0,11
sem rompimento confirmado -6.50 | hard-gate DNA incompleto;11;0,11
sem rompimento confirmado -0.50 | sem continuidade -0.50 | hard-gate DNA incompleto;10;0,1
delta30 insuficiente -13.0 | saldo30 insuficiente -14.0 | hard-gate DNA incompleto;10;0,1
sem rompimento confirmado -7.00 | hard-gate DNA incompleto;10;0,1
sem rompimento confirmado 0.00 | sem continuidade -0.00 | hard-gate DNA incompleto;10;0,1
sem rompimento confirmado -1.25 | sem continuidade -0.50 | hard-gate DNA incompleto;10;0,1
sem rompimento confirmado -7.25 | hard-gate DNA incompleto;9;0,09
delta30 insuficiente -8.0 | saldo30 insuficiente -7.0 | hard-gate DNA incompleto;9;0,09
sem rompimento confirmado 0.00 | sem continuidade 0.00 | hard-gate DNA incompleto;9;0,09
sem rompimento confirmado -1.00 | sem continuidade -0.75 | hard-gate DNA incompleto;8;0,08
delta30 insuficiente -1.0 | saldo30 insuficiente -2.0 | hard-gate DNA incompleto;8;0,08
sem rompimento confirmado -1.50 | sem continuidade -0.50 | hard-gate DNA incompleto;8;0,08
delta30 insuficiente -6.0 | saldo30 insuficiente -5.0 | hard-gate DNA incompleto;8;0,08
sem rompimento confirmado -5.50 | hard-gate DNA incompleto;8;0,08
delta30 insuficiente -2.0 | saldo30 insuficiente -3.0 | hard-gate DNA incompleto;8;0,08
delta30 insuficiente -0.0 | saldo30 insuficiente 1.0 | hard-gate DNA incompleto;8;0,08
sem continuidade -0.50 | hard-gate DNA incompleto;7;0,07
sem rompimento confirmado -0.50 | sem continuidade -0.25 | hard-gate DNA incompleto;7;0,07
sem rompimento confirmado -0.75 | sem continuidade 0.00 | hard-gate DNA incompleto;7;0,07
sem rompimento confirmado -1.50 | sem continuidade -0.25 | hard-gate DNA incompleto;7;0,07
delta30 insuficiente -3.0 | saldo30 insuficiente -2.0 | hard-gate DNA incompleto;7;0,07
delta30 insuficiente -7.0 | saldo30 insuficiente -8.0 | hard-gate DNA incompleto;7;0,07
delta30 insuficiente -4.0 | saldo30 insuficiente -3.0 | hard-gate DNA incompleto;7;0,07
sem rompimento confirmado -1.25 | sem continuidade -0.25 | hard-gate DNA incompleto;7;0,07
sem rompimento confirmado -7.50 | hard-gate DNA incompleto;7;0,07
sem rompimento confirmado -1.00 | sem continuidade -0.00 | hard-gate DNA incompleto;7;0,07
sem rompimento confirmado -6.75 | hard-gate DNA incompleto;7;0,07
delta30 insuficiente -5.0 | saldo30 insuficiente -6.0 | hard-gate DNA incompleto;7;0,07
delta30 insuficiente 0.0 | saldo30 insuficiente -1.0 | hard-gate DNA incompleto;7;0,07
sem rompimento confirmado -0.25 | sem continuidade -0.25 | hard-gate DNA incompleto;7;0,07
sem rompimento confirmado -1.75 | sem continuidade -0.75 | hard-gate DNA incompleto;7;0,07
sem rompimento confirmado -1.50 | sem continuidade -1.00 | hard-gate DNA incompleto;6;0,06
delta30 insuficiente 14.0 | sem rompimento confirmado 0.00 | hard-gate DNA incompleto;6;0,06
sem rompimento confirmado -0.25 | sem continuidade -0.00 | hard-gate DNA incompleto;6;0,06
sem rompimento confirmado -6.00 | hard-gate DNA incompleto;6;0,06
sem rompimento confirmado -0.25 | sem continuidade -0.50 | hard-gate DNA incompleto;6;0,06
delta30 insuficiente 15.0 | sem rompimento confirmado -0.25 | hard-gate DNA incompleto;6;0,06
delta30 insuficiente -10.0 | saldo30 insuficiente -9.0 | hard-gate DNA incompleto;6;0,06
delta30 insuficiente -17.0 | saldo30 insuficiente -18.0 | hard-gate DNA incompleto;6;0,06
sem rompimento confirmado -1.25 | sem continuidade 0.00 | hard-gate DNA incompleto;6;0,06
sem rompimento confirmado -2.50 | sem continuidade -0.25 | hard-gate DNA incompleto;6;0,06
delta30 insuficiente -1.0 | saldo30 insuficiente 0.0 | hard-gate DNA incompleto;6;0,06
sem rompimento confirmado -1.25 | sem continuidade -0.00 | hard-gate DNA incompleto;6;0,06
sem rompimento confirmado -8.25 | hard-gate DNA incompleto;6;0,06
sem rompimento confirmado -1.75 | hard-gate DNA incompleto | score 70 < 72;6;0,06
delta30 insuficiente -0.0 | saldo30 insuficiente -1.0 | hard-gate DNA incompleto;5;0,05
delta30 insuficiente -10.0 | saldo30 insuficiente -11.0 | hard-gate DNA incompleto;5;0,05
delta30 insuficiente -7.0 | saldo30 insuficiente -6.0 | hard-gate DNA incompleto;5;0,05
sem rompimento confirmado -2.25 | sem continuidade -0.25 | hard-gate DNA incompleto;5;0,05
delta30 insuficiente -6.0 | saldo30 insuficiente -7.0 | hard-gate DNA incompleto;5;0,05
sem rompimento confirmado -2.25 | sem continuidade -1.25 | hard-gate DNA incompleto;5;0,05
sem rompimento confirmado -1.50 | sem continuidade -1.50 | hard-gate DNA incompleto;5;0,05
sem rompimento confirmado -2.00 | sem continuidade -2.00 | hard-gate DNA incompleto;5;0,05
delta30 insuficiente 4.0 | saldo30 insuficiente 5.0 | hard-gate DNA incompleto | score 63 < 72;5;0,05
sem rompimento confirmado -0.50 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;5;0,05
delta30 insuficiente -9.0 | saldo30 insuficiente -8.0 | hard-gate DNA incompleto;5;0,05
delta30 insuficiente 12.0 | sem rompimento confirmado 0.00 | hard-gate DNA incompleto;5;0,05
sem rompimento confirmado -2.75 | sem continuidade -1.75 | hard-gate DNA incompleto;5;0,05
sem rompimento confirmado -1.00 | sem continuidade 0.00 | hard-gate DNA incompleto;5;0,05
sem rompimento confirmado -0.75 | sem continuidade -0.00 | hard-gate DNA incompleto;5;0,05
delta30 insuficiente 1.0 | saldo30 insuficiente 0.0 | hard-gate DNA incompleto;5;0,05
sem rompimento confirmado -2.25 | sem continuidade 0.00 | hard-gate DNA incompleto;5;0,05
sem rompimento confirmado -1.50 | sem continuidade -0.00 | hard-gate DNA incompleto;5;0,05
delta30 insuficiente 11.0 | sem rompimento confirmado 0.00 | hard-gate DNA incompleto;5;0,05
sem rompimento confirmado -5.25 | hard-gate DNA incompleto;5;0,05
sem rompimento confirmado -7.75 | hard-gate DNA incompleto;5;0,05
sem rompimento confirmado -1.50 | sem continuidade 0.00 | hard-gate DNA incompleto;5;0,05
delta30 insuficiente 5.0 | saldo30 insuficiente 5.0 | hard-gate DNA incompleto;5;0,05
delta30 insuficiente -4.0 | saldo30 insuficiente -5.0 | hard-gate DNA incompleto;5;0,05
delta30 insuficiente 6.0 | saldo30 insuficiente 6.0 | hard-gate DNA incompleto;5;0,05
sem rompimento confirmado 0.00 | sem continuidade -0.25 | hard-gate DNA incompleto;5;0,05
delta30 insuficiente 1.0 | saldo30 insuficiente -0.0 | hard-gate DNA incompleto;5;0,05
delta30 insuficiente -3.0 | saldo30 insuficiente -4.0 | hard-gate DNA incompleto;5;0,05
delta30 insuficiente 14.0 | sem rompimento confirmado -0.25 | hard-gate DNA incompleto;5;0,05
sem continuidade -0.75 | hard-gate DNA incompleto;4;0,04
sem rompimento confirmado -2.00 | sem continuidade -1.25 | hard-gate DNA incompleto;4;0,04
delta30 insuficiente 11.0 | saldo30 insuficiente 9.0 | hard-gate DNA incompleto;4;0,04
sem rompimento confirmado -1.75 | sem continuidade -1.75 | hard-gate DNA incompleto;4;0,04
sem rompimento confirmado 0.00 | sem continuidade -0.50 | hard-gate DNA incompleto;4;0,04
sem rompimento confirmado -1.00 | sem continuidade -0.50 | hard-gate DNA incompleto;4;0,04
sem rompimento confirmado -0.50 | sem continuidade -0.75 | hard-gate DNA incompleto;4;0,04
sem rompimento confirmado -9.00 | hard-gate DNA incompleto;4;0,04
delta30 insuficiente 14.0 | sem continuidade 0.00 | hard-gate DNA incompleto;4;0,04
sem rompimento confirmado -2.00 | sem continuidade -1.50 | hard-gate DNA incompleto;4;0,04
delta30 insuficiente -8.0 | saldo30 insuficiente -9.0 | hard-gate DNA incompleto;4;0,04
delta30 insuficiente -13.0 | saldo30 insuficiente -14.0 | hard-gate DNA incompleto | score 63 < 72;4;0,04
delta30 insuficiente -16.0 | saldo30 insuficiente -15.0 | hard-gate DNA incompleto;4;0,04
delta30 insuficiente 1.0 | saldo30 insuficiente 0.0 | hard-gate DNA incompleto | score 68 < 72;4;0,04
sem rompimento confirmado -2.75 | sem continuidade -2.00 | hard-gate DNA incompleto;4;0,04
delta30 insuficiente -19.0 | saldo30 insuficiente -20.0 | hard-gate DNA incompleto;4;0,04
sem rompimento confirmado -1.75 | sem continuidade -0.50 | hard-gate DNA incompleto;4;0,04
sem rompimento confirmado -1.75 | sem continuidade -1.00 | hard-gate DNA incompleto;4;0,04
sem rompimento confirmado -2.25 | sem continuidade -1.00 | hard-gate DNA incompleto;4;0,04
sem rompimento confirmado -2.00 | sem continuidade -0.25 | hard-gate DNA incompleto;4;0,04
sem rompimento confirmado -1.75 | sem continuidade -1.25 | hard-gate DNA incompleto;4;0,04
delta30 insuficiente -3.0 | saldo30 insuficiente -4.0 | hard-gate DNA incompleto | score 68 < 72;4;0,04
sem rompimento confirmado -2.00 | sem continuidade -0.00 | hard-gate DNA incompleto;4;0,04
sem rompimento confirmado -0.25 | sem continuidade 0.00 | hard-gate DNA incompleto;4;0,04
delta30 insuficiente -11.0 | saldo30 insuficiente -10.0 | hard-gate DNA incompleto;4;0,04
delta30 insuficiente 12.0 | sem rompimento confirmado -1.00 | hard-gate DNA incompleto;4;0,04
delta30 insuficiente 8.0 | saldo30 insuficiente 8.0 | hard-gate DNA incompleto;4;0,04
delta30 insuficiente -21.0 | saldo30 insuficiente -22.0 | hard-gate DNA incompleto;4;0,04
