hora;trades;positivos;negativos;zeros;win_rate_pct;resultado_total;expectancia;profit_factor;drawdown_intragrupo
11:00;27;27;0;0;100,0;30240,0;1120,0;inf;0,0
21:00;24;24;0;0;100,0;26880,0;1120,0;inf;0,0
10:00;20;20;0;0;100,0;22400,0;1120,0;inf;0,0
12:00;20;20;0;0;100,0;22400,0;1120,0;inf;0,0
19:00;18;18;0;0;100,0;20160,0;1120,0;inf;0,0
22:00;15;15;0;0;100,0;16800,0;1120,0;inf;0,0
23:00;15;15;0;0;100,0;16800,0;1120,0;inf;0,0
00:00;14;14;0;0;100,0;15680,0;1120,0;inf;0,0
04:00;14;14;0;0;100,0;15680,0;1120,0;inf;0,0
08:00;14;14;0;0;100,0;15680,0;1120,0;inf;0,0
13:00;14;14;0;0;100,0;15680,0;1120,0;inf;0,0
03:00;13;13;0;0;100,0;14560,0;1120,0;inf;0,0
20:00;12;12;0;0;100,0;13440,0;1120,0;inf;0,0
09:00;12;12;0;0;100,0;13440,0;1120,0;inf;0,0
02:00;11;11;0;0;100,0;12320,0;1120,0;inf;0,0
07:00;10;10;0;0;100,0;11200,0;1120,0;inf;0,0
14:00;10;10;0;0;100,0;11200,0;1120,0;inf;0,0
05:00;9;9;0;0;100,0;10080,0;1120,0;inf;0,0
06:00;8;8;0;0;100,0;8960,0;1120,0;inf;0,0
01:00;7;7;0;0;100,0;7840,0;1120,0;inf;0,0
15:00;7;7;0;0;100,0;7840,0;1120,0;inf;0,0
16:00;7;7;0;0;100,0;7840,0;1120,0;inf;0,0
17:00;6;6;0;0;100,0;6720,0;1120,0;inf;0,0
