score;trades;positivos;negativos;zeros;win_rate_pct;resultado_total;expectancia;profit_factor;drawdown_intragrupo
8;97;97;0;0;100,0;108640,0;1120,0;inf;0,0
0;45;45;0;0;100,0;50400,0;1120,0;inf;0,0
22;43;43;0;0;100,0;48160,0;1120,0;inf;0,0
12;28;28;0;0;100,0;31360,0;1120,0;inf;0,0
7;11;11;0;0;100,0;12320,0;1120,0;inf;0,0
26;11;11;0;0;100,0;12320,0;1120,0;inf;0,0
13;8;8;0;0;100,0;8960,0;1120,0;inf;0,0
1;7;7;0;0;100,0;7840,0;1120,0;inf;0,0
5;7;7;0;0;100,0;7840,0;1120,0;inf;0,0
15;6;6;0;0;100,0;6720,0;1120,0;inf;0,0
21;6;6;0;0;100,0;6720,0;1120,0;inf;0,0
16;5;5;0;0;100,0;5600,0;1120,0;inf;0,0
3;5;5;0;0;100,0;5600,0;1120,0;inf;0,0
18;5;5;0;0;100,0;5600,0;1120,0;inf;0,0
19;5;5;0;0;100,0;5600,0;1120,0;inf;0,0
2;4;4;0;0;100,0;4480,0;1120,0;inf;0,0
6;4;4;0;0;100,0;4480,0;1120,0;inf;0,0
4;3;3;0;0;100,0;3360,0;1120,0;inf;0,0
20;2;2;0;0;100,0;2240,0;1120,0;inf;0,0
17;1;1;0;0;100,0;1120,0;1120,0;inf;0,0
25;1;1;0;0;100,0;1120,0;1120,0;inf;0,0
9;1;1;0;0;100,0;1120,0;1120,0;inf;0,0
11;1;1;0;0;100,0;1120,0;1120,0;inf;0,0
10;1;1;0;0;100,0;1120,0;1120,0;inf;0,0
