id_sinal;posicao_id;deal_fechamento;data_abertura;data_fechamento;lado;regra;volume;entrada_quantower;entrada_mt5;saida_mt5;resultado_pontos;resultado_usd;tempo_segundos;mfe_pontos;mae_pontos;spread_abertura_pontos;spread_fechamento_pontos;offset_preco;offset_pontos;motivo_fechamento;tp_configurado;sl_configurado;protecao_percentual
;502015497;481381613;1970.01.01 00:00:00;2026.07.22 20:53:13;;;0.83;0.00;0.00;29100.08;0.00;17.22;0;0.00;0.00;0.00;145.00;0.00;0.00;TP;2000;1200;60.00
;502019442;481383200;1970.01.01 00:00:00;2026.07.22 20:55:04;;;0.83;0.00;0.00;29079.58;0.00;16.14;0;0.00;0.00;0.00;145.00;0.00;0.00;TP;2000;1200;60.00
20260722145500833828;502021060;481384928;2026.07.22 20:55:05;2026.07.22 20:57:03;VENDA;C7_DNA_FLUXO_V5_2_OPERACIONAL_V3_1;0.83;29250.75;29077.33;29090.28;-1295.00;-10.75;118;895.00;-1295.00;145.00;145.00;-172.62;-17262.00;SL;2000;1200;60.00
20260722145751712525;502023173;481386997;2026.07.22 20:57:53;2026.07.22 21:00:42;VENDA;C7_DNA_FLUXO_V5_2_OPERACIONAL_V3_1;0.83;29247.00;29081.33;29093.48;-1215.00;-10.08;169;775.00;-1025.00;145.00;145.00;-165.97;-16597.00;SL;2000;1200;60.00
;502027882;481390440;1970.01.01 00:00:00;2026.07.22 21:03:12;;;0.83;0.00;0.00;29081.03;0.00;-9.63;0;0.00;0.00;0.00;145.00;0.00;0.00;SL;2000;1200;60.00
20260722150911479607;502032845;481396955;2026.07.22 21:09:13;2026.07.22 21:12:54;VENDA;C7_DNA_FLUXO_V5_2_OPERACIONAL_V3_1;0.83;29259.00;29088.33;29066.98;2135.00;17.72;221;2135.00;-165.00;145.00;145.00;-171.67;-17167.00;TP;2000;1200;60.00
20260722151509407015;502036859;481401003;2026.07.22 21:15:11;2026.07.22 21:18:41;VENDA;C7_DNA_FLUXO_V5_2_OPERACIONAL_V3_1;0.83;29225.75;29057.33;29069.48;-1215.00;-10.08;210;55.00;-1165.00;145.00;145.00;-168.62;-16862.00;SL;2000;1200;60.00
20260722152107668088;502040750;481402867;2026.07.22 21:21:09;2026.07.22 21:21:48;COMPRA;C7_DNA_FLUXO_V5_2_OPERACIONAL_V3_1;0.83;29242.00;29084.38;29071.93;-1245.00;-10.33;39;0.00;-1235.00;145.00;145.00;-158.02;-15802.00;SL;2000;1200;60.00
20260722152630242372;502044962;481407084;2026.07.22 21:26:31;2026.07.22 21:28:15;VENDA;C7_DNA_FLUXO_V5_2_OPERACIONAL_V3_1;0.83;29227.75;29061.33;29073.28;-1195.00;-9.92;104;195.00;-1195.00;145.00;145.00;-166.62;-16662.00;SL;2000;1200;60.00
;502046921;481408657;1970.01.01 00:00:00;2026.07.22 21:30:15;;;0.83;0.00;0.00;29058.33;0.00;-12.99;0;0.00;0.00;0.00;145.00;0.00;0.00;SL;2000;1200;60.00
20260722153117630655;502049900;481414870;2026.07.22 21:31:19;2026.07.22 21:35:55;VENDA;C7_DNA_FLUXO_V5_2_OPERACIONAL_V3_1;0.83;29222.00;29049.83;29061.78;-1195.00;-9.92;276;825.00;-1145.00;145.00;145.00;-172.47;-17247.00;SL;2000;1200;60.00
20260722153922689020;502056418;481419368;2026.07.22 21:39:24;2026.07.22 21:45:40;VENDA;C7_DNA_FLUXO_V5_2_OPERACIONAL_V3_1;0.83;29227.25;29057.53;29068.98;-1145.00;-9.50;376;105.00;-1185.00;145.00;145.00;-169.72;-16972.00;SL;2000;1200;60.00
;502061521;481422003;1970.01.01 00:00:00;2026.07.22 21:49:21;;;0.83;0.00;0.00;29068.63;0.00;-10.75;0;0.00;0.00;0.00;145.00;0.00;0.00;SL;2000;1200;60.00
20260722155328255433;502063517;481424369;2026.07.22 21:53:29;2026.07.22 21:55:31;COMPRA;C7_DNA_FLUXO_V5_2_OPERACIONAL_V3_1;0.83;29235.00;29067.98;29088.43;2045.00;16.97;122;2005.00;-235.00;145.00;145.00;-166.92;-16692.00;TP;2000;1200;60.00
20260722155726825369;502065131;481427116;2026.07.22 21:57:28;2026.07.22 22:01:38;COMPRA;C7_DNA_FLUXO_V5_2_OPERACIONAL_V3_1;0.83;29250.75;29079.48;29067.33;-1215.00;-10.08;250;1065.00;-1215.00;145.00;145.00;-170.47;-17047.00;SL;2000;1200;60.00
20260722160547479345;502070183;481429527;2026.07.22 22:05:49;2026.07.22 22:06:03;COMPRA;C7_DNA_FLUXO_V5_2_OPERACIONAL_V3_1;0.83;29254.25;29084.98;29073.13;-1185.00;-9.84;14;0.00;-1185.00;145.00;145.00;-169.17;-16917.00;SL;2000;1200;60.00
20260722161959530296;502077929;481438180;2026.07.22 22:20:01;2026.07.22 22:22:43;VENDA;C7_DNA_FLUXO_V5_2_OPERACIONAL_V3_1;0.83;29240.00;29072.03;29073.08;-105.00;-0.87;162;1405.00;-245.00;145.00;145.00;-167.97;-16797.00;SL;2000;1200;60.00
20260722163805330258;502089905;481447680;2026.07.22 22:38:07;2026.07.22 22:40:26;VENDA;C7_DNA_FLUXO_V5_2_OPERACIONAL_V3_1;0.83;29213.50;29043.13;29042.98;15.00;0.12;139;1665.00;-145.00;145.00;145.00;-169.67;-16967.00;SL;2000;1200;60.00
