evento;data_hora_sistema;trade_id;lado;data_qt_entrada;preco_entrada;data_qt_disparo;preco_disparo;tempo_posicao_s;resultado_sombra_mt5;mfe_mt5_no_disparo;mae_mt5_no_disparo;score_lado_atual;score_oposto_atual;delta10_direcional;saldo10_direcional;rompimento_contrario;persistencia_s;status_real_final;resultado_real_final_mt5;impacto_liquido_mt5
DISPARO_SOMBRA;2026-07-22 10:46:36;20260722104523766410;COMPRA;2026-07-22 10:45:12.075;29208,25;2026-07-22 10:46:24.963;29197,5;72,89;-1075,0;425,0;-1075,0;22;98;-72,0;-71,0;0,25;12,125;;;
RESULTADO_FINAL;2026-07-22 10:48:13;20260722104523766410;COMPRA;2026-07-22 10:45:12.075;29208,25;2026-07-22 10:46:24.963000;29197,5;72,89;-1075,0;;;22;98;-72,0;-71,0;0,25;5,0;LOSS;-2900,0;1825,0
DISPARO_SOMBRA;2026-07-22 13:31:27;20260722132619135256;VENDA;2026-07-22 13:26:07.549;29304,75;2026-07-22 13:31:16.846;29323,5;309,3;-1875,0;350,0;-1875,0;14;100;-57,0;-56,0;0,25;11,486;;;
RESULTADO_FINAL;2026-07-22 13:42:39;20260722132619135256;VENDA;2026-07-22 13:26:07.549;29304,75;2026-07-22 13:31:16.846000;29323,5;309,3;-1875,0;;;14;100;-57,0;-56,0;0,25;5,0;GAIN;1600,0;-3475,0
DISPARO_SOMBRA;2026-07-22 15:30:25;20260722152843073857;COMPRA;2026-07-22 15:28:32.147;29243,0;2026-07-22 15:30:14.501;29229,0;102,35;-1400,0;250,0;-1400,0;26;94;-33,0;-33,0;1,5;11,979;;;
RESULTADO_FINAL;2026-07-22 15:30:25;20260722152843073857;COMPRA;2026-07-22 15:28:32.147;29243,0;2026-07-22 15:30:14.501000;29229,0;102,35;-1400,0;;;26;94;-33,0;-33,0;1,5;5,0;LOSS;-1200,0;-200,0
DISPARO_SOMBRA;2026-07-22 16:04:14;20260722160148457250;VENDA;2026-07-22 16:01:37.733;29237,75;2026-07-22 16:04:04.356;29251,75;146,62;-1400,0;125,0;-1400,0;8;100;-23,0;-24,0;1,25;11,34;;;
RESULTADO_FINAL;2026-07-22 16:04:14;20260722160148457250;VENDA;2026-07-22 16:01:37.733;29237,75;2026-07-22 16:04:04.356000;29251,75;146,62;-1400,0;;;8;100;-23,0;-24,0;1,25;5,0;LOSS;-1200,0;-200,0
DISPARO_SOMBRA;2026-07-22 20:16:40;20260722201315507352;COMPRA;2026-07-22 20:13:03.662;29063,0;2026-07-22 20:16:27.662;29059,5;204,0;-350,0;400,0;-350,0;12;97;-13,0;-12,0;0,25;11,599;;;
RESULTADO_FINAL;2026-07-22 20:17:53;20260722201315507352;COMPRA;2026-07-22 20:13:03.662;29063,0;2026-07-22 20:16:27.662000;29059,5;204,0;-350,0;;;12;97;-13,0;-12,0;0,25;5,0;LOSS;-1200,0;850,0
DISPARO_SOMBRA;2026-07-23 01:49:13;20260723014614203578;COMPRA;2026-07-23 01:46:02.541;29154,5;2026-07-23 01:49:00.723;29140,25;178,18;-1425,0;75,0;-1425,0;8;100;-15,0;-16,0;3,0;10,9;;;
RESULTADO_FINAL;2026-07-23 01:49:13;20260723014614203578;COMPRA;2026-07-23 01:46:02.541;29154,5;2026-07-23 01:49:00.723000;29140,25;178,18;-1425,0;;;8;100;-15,0;-16,0;3,0;5,0;LOSS;-1200,0;-225,0
DISPARO_SOMBRA;2026-07-23 02:23:17;20260723022129342336;COMPRA;2026-07-23 02:21:17.855;29124,75;2026-07-23 02:23:05.138;29112,5;107,28;-1225,0;400,0;-1225,0;27;88;-18,0;-19,0;0,5;11,714;;;
RESULTADO_FINAL;2026-07-23 02:23:17;20260723022129342336;COMPRA;2026-07-23 02:21:17.855;29124,75;2026-07-23 02:23:05.138000;29112,5;107,28;-1225,0;;;27;88;-18,0;-19,0;0,5;5,0;LOSS;-1200,0;-25,0
DISPARO_SOMBRA;2026-07-23 03:35:47;20260723032521985582;COMPRA;2026-07-23 03:25:10.398;29095,0;2026-07-23 03:35:36.255;29083,25;625,86;-1175,0;1175,0;-1175,0;8;100;-15,0;-14,0;0,75;12,34;;;
RESULTADO_FINAL;2026-07-23 03:45:16;20260723032521985582;COMPRA;2026-07-23 03:25:10.398;29095,0;2026-07-23 03:35:36.255000;29083,25;625,86;-1175,0;;;8;100;-15,0;-14,0;0,75;5,0;LOSS;-1200,0;25,0
DISPARO_SOMBRA;2026-07-23 05:19:37;20260723051734937945;COMPRA;2026-07-23 05:17:23.200;29058,75;2026-07-23 05:19:25.731;29051,25;122,53;-750,0;125,0;-750,0;8;100;-5,0;-4,0;0,5;15,8;;;
RESULTADO_FINAL;2026-07-23 05:21:03;20260723051734937945;COMPRA;2026-07-23 05:17:23.200;29058,75;2026-07-23 05:19:25.731000;29051,25;122,53;-750,0;;;8;100;-5,0;-4,0;0,5;5,0;LOSS;-1200,0;450,0
