"LastWriteTime","Length","FullName"
"29/07/2026 10:03:20","8717255","C:\Nas100_dashboard\bloqueios_c7_dna_fluxo_v5_2.csv"
"29/07/2026 10:08:53","11857832","C:\Nas100_dashboard\bloqueios_quantower_operacional_v3_1_v5_2.csv"
"29/07/2026 09:26:24","22480","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS\__pycache__\c7_lab_comum.cpython-313.pyc"
"29/07/2026 09:45:08","23873","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS\__pycache__\c7_lab_comum.cpython-314.pyc"
"29/07/2026 09:26:24","1223","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS\__pycache__\executar_todos_modulos.cpython-313.pyc"
"29/07/2026 09:26:24","1500","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS\__pycache__\modulo_01_formacao_movimento.cpython-313.pyc"
"29/07/2026 09:26:24","1697","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS\__pycache__\modulo_02_armadilhas.cpython-313.pyc"
"29/07/2026 09:26:24","4745","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS\__pycache__\modulo_03_anatomia_fluxo.cpython-313.pyc"
"29/07/2026 09:26:24","2729","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS\__pycache__\modulo_04_campanhas.cpython-313.pyc"
"29/07/2026 09:26:24","1862","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS\__pycache__\modulo_05_estrutura.cpython-313.pyc"
"29/07/2026 09:26:24","1896","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS\__pycache__\modulo_06_evolucao_score.cpython-313.pyc"
"29/07/2026 09:26:24","2311","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS\__pycache__\modulo_07_bloqueios.cpython-313.pyc"
"29/07/2026 09:26:24","3263","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS\__pycache__\modulo_08_descobertas_automaticas.cpython-313.pyc"
"29/07/2026 09:26:24","11994","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS\c7_lab_comum.py"
"29/07/2026 09:26:08","1149","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS\LEIA_ME.txt"
"29/07/2026 09:26:08","813","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS\modulo_01_formacao_movimento.py"
"29/07/2026 09:26:08","3255","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS\modulo_03_anatomia_fluxo.py"
"29/07/2026 09:21:20","11068","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS_01_A_08.zip"
"29/07/2026 09:23:13","21349","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS_ANTIGO\__pycache__\c7_lab_comum.cpython-314.pyc"
"29/07/2026 01:46:52","9721","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS_ANTIGO\c7_lab_comum.py"
"29/07/2026 01:46:52","100","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS_ANTIGO\EXECUTAR_LABORATORIO.bat"
"29/07/2026 01:46:52","628","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS_ANTIGO\executar_todos_modulos.py"
"29/07/2026 01:46:52","933","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS_ANTIGO\LEIA_ME.txt"
"29/07/2026 01:46:52","657","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS_ANTIGO\modulo_01_formacao_movimento.py"
"29/07/2026 01:46:52","722","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS_ANTIGO\modulo_02_armadilhas.py"
"29/07/2026 01:46:52","1623","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS_ANTIGO\modulo_03_anatomia_fluxo.py"
"29/07/2026 01:46:52","1177","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS_ANTIGO\modulo_04_campanhas.py"
"29/07/2026 01:46:52","802","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS_ANTIGO\modulo_05_estrutura.py"
"29/07/2026 01:46:52","817","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS_ANTIGO\modulo_06_evolucao_score.py"
"29/07/2026 01:46:52","1063","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS_ANTIGO\modulo_07_bloqueios.py"
"29/07/2026 01:46:52","1670","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS_ANTIGO\modulo_08_descobertas_automaticas.py"
"29/07/2026 09:44:38","40952","C:\Nas100_dashboard\C7_DNA_LAB_MODULOS_V1_1_CORRIGIDO.zip"
"29/07/2026 10:08:53","55640","C:\Nas100_dashboard\C7_LAB\database\setups_prontos_revalidacao_13d.parquet"
"29/07/2026 10:09:22","912","C:\Nas100_dashboard\C7_LAB\live13\13a_estado.json"
"29/07/2026 10:09:13","4427257","C:\Nas100_dashboard\C7_LAB\live13\13a_features_tempo_real.csv"
"29/07/2026 10:09:22","506","C:\Nas100_dashboard\C7_LAB\live13\13a_heartbeat.json"
"29/07/2026 10:08:31","42448","C:\Nas100_dashboard\C7_LAB\live13\13a_sinais.csv"
"29/07/2026 10:07:04","24971","C:\Nas100_dashboard\C7_LAB\live13\13a_trades.csv"
"29/07/2026 10:09:02","119","C:\Nas100_dashboard\C7_LAB\live13\13b_heartbeat.json"
"29/07/2026 10:09:21","246","C:\Nas100_dashboard\C7_LAB\live13\13c_status_estabilidade.json"
"29/07/2026 10:09:02","219","C:\Nas100_dashboard\C7_LAB\relatorios\13b_metricas_diarias.csv"
"29/07/2026 10:09:02","497","C:\Nas100_dashboard\C7_LAB\relatorios\13b_metricas_por_setup.csv"
"29/07/2026 10:09:02","589","C:\Nas100_dashboard\C7_LAB\relatorios\13b_resumo_global.json"
"29/07/2026 10:09:21","233","C:\Nas100_dashboard\C7_LAB\relatorios\13c_status_por_setup.csv"
"29/07/2026 10:08:53","652","C:\Nas100_dashboard\C7_LAB\relatorios\13d_decisoes_promocao.csv"
"29/07/2026 10:08:53","313","C:\Nas100_dashboard\C7_LAB\relatorios\13d_manifesto.json"
"29/07/2026 09:18:35","8932","C:\Nas100_dashboard\C7_LAB\relatorios\13e_dashboard_sombra.html"
"29/07/2026 09:18:35","960","C:\Nas100_dashboard\C7_LAB\relatorios\13e_por_dia.csv"
"29/07/2026 09:18:35","3741","C:\Nas100_dashboard\C7_LAB\relatorios\13e_por_hora.csv"
"29/07/2026 09:18:35","911","C:\Nas100_dashboard\C7_LAB\relatorios\13e_por_motivo_saida.csv"
"29/07/2026 09:18:35","581","C:\Nas100_dashboard\C7_LAB\relatorios\13e_por_setup.csv"
"29/07/2026 09:18:35","862","C:\Nas100_dashboard\C7_LAB\relatorios\13e_progresso_promocao.csv"
"29/07/2026 09:18:35","823","C:\Nas100_dashboard\C7_LAB\relatorios\13e_resumo_global.csv"
"29/07/2026 09:18:35","1673","C:\Nas100_dashboard\C7_LAB\relatorios\13e_resumo_global.json"
"29/07/2026 09:18:35","103","C:\Nas100_dashboard\C7_LAB\relatorios\13e_sequencias.csv"
"29/07/2026 09:18:35","33434","C:\Nas100_dashboard\C7_LAB\relatorios\13e_trades_com_equity.csv"
"29/07/2026 09:18:35","390","C:\Nas100_dashboard\C7_LAB\relatorios\13e_veredito.csv"
"29/07/2026 09:45:21","6232046","C:\Nas100_dashboard\C7_LAB\relatorios_dna\01_eventos_movimentos.csv"
"29/07/2026 09:45:28","38283338","C:\Nas100_dashboard\C7_LAB\relatorios_dna\01_formacao_movimento_contexto_60s.csv"
"29/07/2026 09:45:34","51222","C:\Nas100_dashboard\C7_LAB\relatorios_dna\02_contexto_antes_armadilhas.csv"
"29/07/2026 09:45:34","4901","C:\Nas100_dashboard\C7_LAB\relatorios_dna\02_resumo_armadilhas.csv"
"29/07/2026 09:45:40","1184099","C:\Nas100_dashboard\C7_LAB\relatorios_dna\03_eventos_elementares_fluxo.csv"
"29/07/2026 09:45:42","2630","C:\Nas100_dashboard\C7_LAB\relatorios_dna\03_mapa_temporal_fluxo.csv"
"29/07/2026 09:45:42","5194233","C:\Nas100_dashboard\C7_LAB\relatorios_dna\03_sequencias_temporais.csv"
"29/07/2026 09:45:48","22634","C:\Nas100_dashboard\C7_LAB\relatorios_dna\04_campanhas_individuais.csv"
"29/07/2026 09:46:02","41120039","C:\Nas100_dashboard\C7_LAB\relatorios_dna\05_estrutura_eventos_enriquecidos.csv"
"29/07/2026 09:46:02","1256","C:\Nas100_dashboard\C7_LAB\relatorios_dna\05_estrutura_resumo.csv"
"29/07/2026 09:46:16","42189061","C:\Nas100_dashboard\C7_LAB\relatorios_dna\06_evolucao_score_eventos.csv"
"29/07/2026 09:46:16","1898","C:\Nas100_dashboard\C7_LAB\relatorios_dna\06_evolucao_score_resumo.csv"
"29/07/2026 09:46:24","12780857","C:\Nas100_dashboard\C7_LAB\relatorios_dna\07_bloqueios_auditoria_completa.csv"
"29/07/2026 09:46:24","2696433","C:\Nas100_dashboard\C7_LAB\relatorios_dna\07_bloqueios_resumo.csv"
"29/07/2026 09:48:06","645722","C:\Nas100_dashboard\C7_LAB\relatorios_dna\08_descobertas_automaticas.csv"
"29/07/2026 10:06:28","273","C:\Nas100_dashboard\estado_campanha_c7_dna_fluxo_v5_2.json"
"29/07/2026 09:53:05","362","C:\Nas100_dashboard\estado_campanha_operacional_v3_1_v5_2.json"
"29/07/2026 10:09:17","342","C:\Nas100_dashboard\estado_estrutura_c7_dna_fluxo_v5_2.json"
"29/07/2026 10:09:18","342","C:\Nas100_dashboard\estado_estrutura_operacional_v3_1_v5_2.json"
"29/07/2026 10:09:19","34306548","C:\Nas100_dashboard\estado_mercado_tempo_real.csv"
"29/07/2026 10:09:17","32800700","C:\Nas100_dashboard\estados_c7_dna_fluxo_v5_2.csv"
"29/07/2026 10:09:18","36689074","C:\Nas100_dashboard\estados_quantower_operacional_v3_1_v5_2.csv"
"29/07/2026 09:54:12","29268","C:\Nas100_dashboard\invalidacoes_tese_sombra_v1.csv"
"29/07/2026 10:09:22","0","C:\Nas100_dashboard\inventario_arquivos_hoje.csv"
"29/07/2026 10:09:21","43421846","C:\Nas100_dashboard\quantower_export_full.csv"
"29/07/2026 10:03:26","1555339","C:\Nas100_dashboard\sinais_c7_dna_fluxo_v5_2.csv"
"29/07/2026 09:52:39","1136427","C:\Nas100_dashboard\sinais_quantower_operacional_v3_1_v5_2.csv"
"29/07/2026 10:05:36","19761930","C:\Nas100_dashboard\telemetria_posicoes_operacional_v3_1_v5_2.csv"
"29/07/2026 10:09:05","1597872","C:\Nas100_dashboard\trades_c7_dna_fluxo_v5_2.csv"
"29/07/2026 10:05:36","1165097","C:\Nas100_dashboard\trades_quantower_operacional_v3_1_v5_2.csv"
