_source_category;_source_file;_source_sheet;_source_row;id_sinal;posicao_id;deal_fechamento;data_abertura;data_fechamento;lado;regra;volume;entrada_quantower;entrada_mt5;saida_mt5;resultado_pontos;resultado_usd;tempo_segundos;mfe_pontos;mae_pontos;spread_abertura_pontos;spread_fechamento_pontos;offset_preco;offset_pontos;motivo_fechamento;tp_configurado;sl_configurado;protecao_percentual;datetime
mt5;historico_execucao_mt5.csv;;2;;502015497;481381613.0;1970-01-01 00:00:00;2026-07-22 20:53:13;;;0.83;0.0;0.0;29100.08;0;17.22;0;0;0;0;145;0.0;0;TP;2000;1200;60;1970-01-01 00:00:00
mt5;historico_execucao_mt5.csv;;3;;502019442;481383200.0;1970-01-01 00:00:00;2026-07-22 20:55:04;;;0.83;0.0;0.0;29079.58;0;16.14;0;0;0;0;145;0.0;0;TP;2000;1200;60;1970-01-01 00:00:00
mt5;historico_execucao_mt5.csv;;6;;502027882;481390440.0;1970-01-01 00:00:00;2026-07-22 21:03:12;;;0.83;0.0;0.0;29081.03;0;-9.63;0;0;0;0;145;0.0;0;SL;2000;1200;60;1970-01-01 00:00:00
mt5;historico_execucao_mt5.csv;;11;;502046921;481408657.0;1970-01-01 00:00:00;2026-07-22 21:30:15;;;0.83;0.0;0.0;29058.33;0;-12.99;0;0;0;0;145;0.0;0;SL;2000;1200;60;1970-01-01 00:00:00
mt5;historico_execucao_mt5.csv;;14;;502061521;481422003.0;1970-01-01 00:00:00;2026-07-22 21:49:21;;;0.83;0.0;0.0;29068.63;0;-10.75;0;0;0;0;145;0.0;0;SL;2000;1200;60;1970-01-01 00:00:00
mt5;historico_execucao_mt5.csv;;21;;502105565;481461585.0;1970-01-01 00:00:00;2026-07-22 23:00:19;;;0.83;0.0;0.0;29027.47;0;-13.8;0;0;0;0;213;0.0;0;SL;2000;1200;60;1970-01-01 00:00:00
mt5;historico_execucao_mt5.csv;;26;;502121916;481477605.0;1970-01-01 00:00:00;2026-07-22 23:22:44;;;0.83;0.0;0.0;29063.07;0;-11.81;0;0;0;0;213;0.0;0;SL;2000;1200;60;1970-01-01 00:00:00
mt5;historico_execucao_mt5.csv;;34;;502170625;481527000.0;1970-01-01 00:00:00;2026-07-23 02:04:18;;;0.83;0.0;0.0;28891.68;0;17.4;0;0;0;0;175;0.0;0;TP;2000;1200;60;1970-01-01 00:00:00
mt5;historico_execucao_mt5.csv;;36;;502181328;481535216.0;1970-01-01 00:00:00;2026-07-23 02:24:58;;;0.83;0.0;0.0;28892.43;0;-0.08;0;0;0;0;145;0.0;0;SL;2000;1200;60;1970-01-01 00:00:00
mt5;historico_execucao_mt5.csv;;41;;502209423;481560865.0;1970-01-01 00:00:00;2026-07-23 03:16:59;;;0.83;0.0;0.0;29019.83;0;16.97;0;0;0;0;195;0.0;0;TP;2000;1200;60;1970-01-01 00:00:00
mt5;historico_execucao_mt5.csv;;51;;502263961;481611948.0;1970-01-01 00:00:00;2026-07-23 04:39:17;;;0.83;0.0;0.0;29081.68;0;-10.0;0;0;0;0;195;0.0;0;SL;2000;1200;60;1970-01-01 00:00:00
mt5;historico_execucao_mt5.csv;;65;;502331005;481674738.0;1970-01-01 00:00:00;2026-07-23 06:34:56;;;0.83;0.0;0.0;28922.68;0;-0.37;0;0;0;0;195;0.0;0;SL;2000;1200;60;1970-01-01 00:00:00
mt5;historico_execucao_mt5.csv;;67;;502340568;481682824.0;1970-01-01 00:00:00;2026-07-23 07:00:02;;;0.83;0.0;0.0;28944.73;0;-10.25;0;0;0;0;165;0.0;0;SL;2000;1200;60;1970-01-01 00:00:00
mt5;historico_execucao_mt5.csv;;73;;502360127;481702784.0;1970-01-01 00:00:00;2026-07-23 07:53:03;;;0.83;0.0;0.0;28953.68;0;16.81;0;0;0;0;175;0.0;0;TP;2000;1200;60;1970-01-01 00:00:00
mt5;historico_execucao_mt5.csv;;79;;502382930;481723149.0;1970-01-01 00:00:00;2026-07-23 08:46:02;;;0.83;0.0;0.0;28971.93;0;-9.67;0;0;0;0;185;0.0;0;SL;2000;1200;60;1970-01-01 00:00:00
mt5;historico_execucao_mt5.csv;;81;;502388081;481727906.0;1970-01-01 00:00:00;2026-07-23 08:55:26;;;0.83;0.0;0.0;28929.28;0;-10.5;0;0;0;0;195;0.0;0;SL;2000;1200;60;1970-01-01 00:00:00
mt5;historico_execucao_mt5.csv;;82;;502390913;481732384.0;1970-01-01 00:00:00;2026-07-23 09:01:08;;;0.83;0.0;0.0;28941.18;0;-10.0;0;0;0;0;195;0.0;0;SL;2000;1200;60;1970-01-01 00:00:00
mt5;historico_execucao_mt5.csv;;88;;502471809;481810380.0;1970-01-01 00:00:00;2026-07-23 10:36:56;;;0.83;0.0;0.0;28825.98;0;-0.62;0;0;0;0;185;0.0;0;SL;2000;1200;60;1970-01-01 00:00:00
mt5;historico_execucao_mt5.csv;;95;;502546765;481881019.0;1970-01-01 00:00:00;2026-07-23 12:00:26;;;0.83;0.0;0.0;28923.23;0;-10.0;0;0;0;0;175;0.0;0;SL;2000;1200;60;1970-01-01 00:00:00
mt5;historico_execucao_mt5.csv;;99;;502591084;481935245.0;1970-01-01 00:00:00;2026-07-23 13:25:53;;;0.83;0.0;0.0;28893.08;0;-0.04;0;0;0;0;185;0.0;0;SL;2000;1200;60;1970-01-01 00:00:00
mt5;historico_execucao_mt5.csv;;112;;502748166;482069349.0;1970-01-01 00:00:00;2026-07-23 15:33:56;;;0.83;0.0;0.0;28683.78;0;-9.92;0;0;0;0;195;0.0;0;SL;2000;1200;60;1970-01-01 00:00:00
mt5;historico_execucao_mt5.csv;;122;;502847084;482166070.0;1970-01-01 00:00:00;2026-07-23 16:26:13;;;0.83;0.0;0.0;28542.33;0;-1.45;0;0;0;0;195;0.0;0;SL;2000;1200;60;1970-01-01 00:00:00
