scenario;entry_seq;source_id;source_type;campaign_source_id;signal_time;entry_time;exit_time;direction;side;entry_price;exit_price;tp_price;sl_original_price;sl_final_price;tp_mt5;sl_mt5;protection_active;protection_armed;protection_time;protection_trigger_mt5;protection_lock_mt5;timeout_minutes;bars_held;duration_seconds;exit_reason;result_price_units;result_mt5_points;mfe_price_units;mae_price_units;mfe_mt5_points;mae_mt5_points;score_source;is_win;is_loss;is_protected
BASE_TP2000_SL1200_P60;1;20260717174502717820;sinais;;2026-07-17 17:44:51.049;2026-07-19 19:00:00;2026-07-19 19:00:00;1;COMPRA;28800,0;28788,0;28820,0;28788,0;28788,0;2000,0;1200,0;True;False;;1200,0;0,0;180;1;0,0;SL;-12,0;-1200,0;0,0;-20,75;0,0;-2075,0;100;False;True;False
BASE_TP2000_SL1200_P60;2;20260719190221025397;sinais;;2026-07-19 19:02:09.874;2026-07-19 19:04:00;2026-07-19 19:07:00;-1;VENDA;28747,5;28727,5;28727,5;28759,5;28747,5;2000,0;1200,0;True;True;2026-07-19 19:05:00;1200,0;0,0;180;4;180,0;TP;20,0;2000,0;23,0;0,0;2300,0;0,0;100;True;False;False
BASE_TP2000_SL1200_P60;3;20260719190721661430;sinais;;2026-07-19 19:07:09.862;2026-07-19 19:16:00;2026-07-19 19:18:00;-1;VENDA;28753,5;28765,5;28733,5;28765,5;28765,5;2000,0;1200,0;True;False;;1200,0;0,0;180;2;120,0;SL;-12,0;-1200,0;9,0;-13,5;900,0;-1350,0;100;False;True;False
BASE_TP2000_SL1200_P60;4;20260719191628337136;sinais;;2026-07-19 19:16:16.536;2026-07-19 19:20:00;2026-07-19 19:22:00;1;COMPRA;28806,75;28794,75;28826,75;28794,75;28794,75;2000,0;1200,0;True;False;;1200,0;0,0;180;3;120,0;SL;-12,0;-1200,0;6,25;-16,75;625,0;-1675,0;100;False;True;False
BASE_TP2000_SL1200_P60;5;20260719191847974807;sinais;;2026-07-19 19:18:36.304;2026-07-19 19:21:00;2026-07-19 19:22:00;-1;VENDA;28813,0;28793,0;28793,0;28825,0;28813,0;2000,0;1200,0;True;True;2026-07-19 19:22:00;1200,0;0,0;180;2;60,0;TP;20,0;2000,0;23,0;0,0;2300,0;0,0;97;True;False;False
BASE_TP2000_SL1200_P60;6;20260719192449875126;sinais;;2026-07-19 19:24:38.676;2026-07-19 19:26:00;2026-07-19 19:33:00;-1;VENDA;28773,75;28785,75;28753,75;28785,75;28785,75;2000,0;1200,0;True;False;;1200,0;0,0;180;4;420,0;SL;-12,0;-1200,0;8,75;-39,25;875,0;-3925,0;100;False;True;False
BASE_TP2000_SL1200_P60;7;20260719192646810779;sinais;;2026-07-19 19:26:35.193;2026-07-19 19:29:00;2026-07-19 19:33:00;1;COMPRA;28765,0;28785,0;28785,0;28753,0;28765,0;2000,0;1200,0;True;True;2026-07-19 19:33:00;1200,0;0,0;180;2;240,0;TP;20,0;2000,0;48,0;0,0;4800,0;0,0;97;True;False;False
BASE_TP2000_SL1200_P60;8;20260719192908605811;sinais;;2026-07-19 19:28:56.975;2026-07-19 19:33:00;2026-07-19 19:34:00;-1;VENDA;28813,0;28825,0;28793,0;28825,0;28825,0;2000,0;1200,0;True;False;;1200,0;0,0;180;2;60,0;SL;-12,0;-1200,0;5,75;-15,25;575,0;-1525,0;100;False;True;False
BASE_TP2000_SL1200_P60;9;20260719193615687227;sinais;;2026-07-19 19:36:04.494;2026-07-19 19:45:00;2026-07-19 19:45:00;-1;VENDA;28830,25;28842,25;28810,25;28842,25;28842,25;2000,0;1200,0;True;False;;1200,0;0,0;180;1;0,0;SL;-12,0;-1200,0;0,0;-15,25;0,0;-1525,0;100;False;True;False
BASE_TP2000_SL1200_P60;10;20260719194614591829;sinais;;2026-07-19 19:46:02.824;2026-07-19 20:00:00;2026-07-19 20:00:00;1;COMPRA;28813,25;28813,25;28833,25;28801,25;28813,25;2000,0;1200,0;True;True;2026-07-19 20:00:00;1200,0;0,0;180;1;0,0;PROTECAO;0,0;0,0;12,0;-2,5;1200,0;-250,0;97;False;False;True
BASE_TP2000_SL1200_P60;11;20260719200617411404;sinais;;2026-07-19 20:06:06.148;2026-07-19 20:14:00;2026-07-19 20:16:00;1;COMPRA;28817,75;28805,75;28837,75;28805,75;28805,75;2000,0;1200,0;True;False;;1200,0;0,0;180;3;120,0;SL;-12,0;-1200,0;5,5;-13,75;550,0;-1375,0;93;False;True;False
BASE_TP2000_SL1200_P60;12;20260719202654438596;sinais;;2026-07-19 20:26:42.683;2026-07-19 20:36:00;2026-07-19 20:43:00;-1;VENDA;28820,5;28832,5;28800,5;28832,5;28832,5;2000,0;1200,0;True;False;;1200,0;0,0;180;3;420,0;SL;-12,0;-1200,0;7,75;-35,0;775,0;-3500,0;85;False;True;False
BASE_TP2000_SL1200_P60;13;20260719203744672227;sinais;;2026-07-19 20:37:33.186;2026-07-19 20:46:00;2026-07-19 20:49:00;-1;VENDA;28832,25;28844,25;28812,25;28844,25;28844,25;2000,0;1200,0;True;False;;1200,0;0,0;180;4;180,0;SL;-12,0;-1200,0;6,25;-17,5;625,0;-1750,0;100;False;True;False
BASE_TP2000_SL1200_P60;14;20260719204315949265;sinais;;2026-07-19 20:43:04.042;2026-07-19 20:47:00;2026-07-19 20:50:00;1;COMPRA;28833,75;28833,75;28853,75;28821,75;28833,75;2000,0;1200,0;True;True;2026-07-19 20:49:00;1200,0;0,0;180;4;180,0;PROTECAO;0,0;0,0;16,0;-5,75;1600,0;-575,0;100;False;False;True
