candidate_a;candidate_b;scenario_a;cluster_a;scenario_b;cluster_b;trades_a;trades_b;mean_a;mean_b;mean_difference;ci_low;ci_high;prob_a_greater_b;winner_95pct
S191_C0;S192_C0;191;0;192;0;282;282;54,255319148936174;54,255319148936174;0,0;-245,74468085106383;245,74468085106383;0,49166666666666664;EMPATE_ESTATISTICO
S191_C0;S191_C2;191;0;191;2;282;3;54,255319148936174;300,0;-245,74468085106383;-2398,936170212766;971,2765957446809;0,30866666666666664;EMPATE_ESTATISTICO
S191_C0;S192_C2;191;0;192;2;282;3;54,255319148936174;300,0;-245,74468085106383;-2410,6382978723404;971,2765957446809;0,297;EMPATE_ESTATISTICO
S191_C0;S184_C2;191;0;184;2;282;3;54,255319148936174;300,0;-245,74468085106383;-2422,3404255319147;959,5744680851064;0,292;EMPATE_ESTATISTICO
S191_C0;S187_C2;191;0;187;2;282;3;54,255319148936174;300,0;-245,74468085106383;-2410,6382978723404;971,2765957446809;0,298;EMPATE_ESTATISTICO
S191_C0;S184_C0;191;0;184;0;282;282;54,255319148936174;38,297872340425535;15,957446808510639;-217,38475177304963;241,13475177304963;0,5566666666666666;EMPATE_ESTATISTICO
S191_C0;S187_C0;191;0;187;0;282;282;54,255319148936174;38,297872340425535;15,957446808510639;-200,354609929078;244,33510638297878;0,5496666666666666;EMPATE_ESTATISTICO
S191_C0;S185_C2;191;0;185;2;282;3;54,255319148936174;300,0;-245,74468085106383;-2410,6382978723404;959,5744680851064;0,286;EMPATE_ESTATISTICO
S191_C0;S185_C0;191;0;185;0;282;282;54,255319148936174;33,687943262411345;20,56737588652483;-212,77482269503543;251,07269503546104;0,5736666666666667;EMPATE_ESTATISTICO
S192_C0;S191_C2;192;0;191;2;282;3;54,255319148936174;300,0;-245,74468085106383;-2398,936170212766;971,2765957446809;0,301;EMPATE_ESTATISTICO
S192_C0;S192_C2;192;0;192;2;282;3;54,255319148936174;300,0;-245,74468085106383;-2398,936170212766;971,2765957446809;0,30666666666666664;EMPATE_ESTATISTICO
S192_C0;S184_C2;192;0;184;2;282;3;54,255319148936174;300,0;-245,74468085106383;-2422,3404255319147;971,2765957446809;0,2853333333333333;EMPATE_ESTATISTICO
S192_C0;S187_C2;192;0;187;2;282;3;54,255319148936174;300,0;-245,74468085106383;-2422,3404255319147;971,2765957446809;0,31166666666666665;EMPATE_ESTATISTICO
S192_C0;S184_C0;192;0;184;0;282;282;54,255319148936174;38,297872340425535;15,957446808510639;-209,21985815602835;255,32801418439718;0,5476666666666666;EMPATE_ESTATISTICO
S192_C0;S187_C0;192;0;187;0;282;282;54,255319148936174;38,297872340425535;15,957446808510639;-211,77304964538988;240,78900709219863;0,556;EMPATE_ESTATISTICO
S192_C0;S185_C2;192;0;185;2;282;3;54,255319148936174;300,0;-245,74468085106383;-2434,0425531914893;971,2765957446809;0,2846666666666667;EMPATE_ESTATISTICO
S192_C0;S185_C0;192;0;185;0;282;282;54,255319148936174;33,687943262411345;20,56737588652483;-201,42730496453896;248,94503546099293;0,5746666666666667;EMPATE_ESTATISTICO
S191_C2;S192_C2;191;2;192;2;3;3;300,0;300,0;0,0;-2200,0;2200,0;0,342;EMPATE_ESTATISTICO
