scenario_id;cluster_id;cluster_trades;cluster_wins;cluster_losses;cluster_zeros;cluster_win_rate_pct;cluster_net_mt5_points;cluster_average_mt5_points;cluster_median_mt5_points;cluster_gross_profit;cluster_gross_loss;cluster_profit_factor;cluster_max_drawdown;cluster_participation_pct;cluster_distance_mean;cluster_distance_median;tp_mt5;sl_mt5;risk_reward;protecao_ativa;protecao_gatilho_pct_tp;protecao_trava_mt5;timeout_minutos;atraso_barras;entrada_preco;mesma_barra_tp_sl;all_trades;all_wins;all_losses;all_zeros;all_win_rate_pct;all_net_mt5_points;all_average_mt5_points;all_median_mt5_points;all_gross_profit;all_gross_loss;all_profit_factor;all_max_drawdown;all_mfe_average;all_mae_average;all_duration_average_seconds;all_tp_count;all_sl_count;all_protected_count;all_timeout_count;train_trades;train_wins;train_losses;train_zeros;train_win_rate_pct;train_net_mt5_points;train_average_mt5_points;train_median_mt5_points;train_gross_profit;train_gross_loss;train_profit_factor;train_max_drawdown;train_mfe_average;train_mae_average;train_duration_average_seconds;train_tp_count;train_sl_count;train_protected_count;train_timeout_count;val_trades;val_wins;val_losses;val_zeros;val_win_rate_pct;val_net_mt5_points;val_average_mt5_points;val_median_mt5_points;val_gross_profit;val_gross_loss;val_profit_factor;val_max_drawdown;val_mfe_average;val_mae_average;val_duration_average_seconds;val_tp_count;val_sl_count;val_protected_count;val_timeout_count;score_triagem;rank_triagem;patterns_total;patterns_strong;patterns_features_distinct;patterns_strength_norm;patterns_recurrence_norm;best_pattern_feature;best_pattern_condition;best_pattern_score;best_pattern_pf;best_pattern_net;top20_pattern_score_mean;clusterizacao_k;clusterizacao_silhouette;clusterizacao_estabilidade_ari;clusterizacao_davies_bouldin;clusterizacao_score;score_bruto;penalidade_total;ranking_score;component_pf_validation;component_validation_net;component_train_validation_stability;component_drawdown;component_pattern_strength;component_pattern_recurrence;component_cluster_pf;component_cluster_net;component_cluster_lift;component_cluster_sample;component_cluster_stability;cluster_lift_win_rate_pp;penalty_reasons;ranking_position;candidate_id;eligible_preliminary
191;0;282;73;209;0;25,886524822695034;15300,0;54,255319148936174;-800,0;182500,0;167200,0;1,0915071770334928;-25600,0;91,85667752442997;5,337933062290046;4,487103319826931;2500,0;800,0;3,125;False;0,0;0,0;120;1;close;pior_caso;307;77;230;0;25,0814332247557;8500,0;27,68729641693811;-800,0;192500,0;184000,0;1,046195652173913;-29300,0;1296,172638436482;-1280,7817589576548;439,93485342019545;77;230;0;0;214;48;166;0;22,429906542056074;-12800,0;-59,81308411214953;-800,0;120000,0;132800,0;0,9036144578313253;-29300,0;1277,1028037383178;-1335,3971962616822;350,74766355140184;48;166;0;0;93;29;64;0;31,182795698924732;21300,0;229,03225806451613;-800,0;72500,0;51200,0;1,416015625;-7100,0;1340,0537634408602;-1155,1075268817203;645,1612903225806;29;64;0;0;65,85619132965769;1;197;96;50;0,5572633778061701;1,0;delta30;(-3.0, 9.0];69,76338323639978;1,9965277777777777;28700,0;63,225857206422745;3;0,5788682705389273;1,0;0,8275947273043193;78,81574791100863;64,3266630175038;4,571118349619979;59,755544667883825;0,4720052083333333;0,6049181019632078;0,8291996109437751;0,9337068160597572;0,5572633778061701;1,0;0,3638357256778309;0,5759086074466737;0,520116425361003;1,0;1,0;0,8050915979393345;cluster_concentrado;1;S191_C0;True
192;0;282;73;209;0;25,886524822695034;15300,0;54,255319148936174;-800,0;182500,0;167200,0;1,0915071770334928;-25600,0;91,85667752442997;5,337933062290046;4,487103319826931;2500,0;800,0;3,125;False;0,0;0,0;180;1;close;pior_caso;307;77;230;0;25,0814332247557;8500,0;27,68729641693811;-800,0;192500,0;184000,0;1,046195652173913;-29300,0;1296,172638436482;-1280,7817589576548;439,93485342019545;77;230;0;0;214;48;166;0;22,429906542056074;-12800,0;-59,81308411214953;-800,0;120000,0;132800,0;0,9036144578313253;-29300,0;1277,1028037383178;-1335,3971962616822;350,74766355140184;48;166;0;0;93;29;64;0;31,182795698924732;21300,0;229,03225806451613;-800,0;72500,0;51200,0;1,416015625;-7100,0;1340,0537634408602;-1155,1075268817203;645,1612903225806;29;64;0;0;65,85619132965769;2;197;96;50;0,5572633778061701;1,0;delta30;(-3.0, 9.0];69,76338323639978;1,9965277777777777;28700,0;63,225857206422745;3;0,5788682705389273;1,0;0,8275947273043193;78,81574791100863;64,3266630175038;4,571118349619979;59,755544667883825;0,4720052083333333;0,6049181019632078;0,8291996109437751;0,9337068160597572;0,5572633778061701;1,0;0,3638357256778309;0,5759086074466737;0,520116425361003;1,0;1,0;0,8050915979393345;cluster_concentrado;2;S192_C0;True
184;0;282;60;174;48;21,27659574468085;10800,0;38,297872340425535;-800,0;150000,0;139200,0;1,0775862068965518;-18600,0;91,85667752442997;5,337933062290046;4,487103319826931;2500,0;800,0;3,125;True;0,5;0,0;120;1;close;pior_caso;307;64;195;48;20,846905537459286;4000,0;13,029315960912053;-800,0;160000,0;156000,0;1,0256410256410255;-23200,0;1251,7100977198697;-1159,6905537459284;415,70032573289905;64;195;48;0;214;38;138;38;17,75700934579439;-15400,0;-71,96261682242991;-800,0;95000,0;110400,0;0,8605072463768116;-23200,0;1222,7803738317757;-1203,3878504672898;321,02803738317755;38;138;38;0;93;26;57;10;27,956989247311824;19400,0;208,6021505376344;-800,0;65000,0;45600,0;1,4254385964912282;-6300,0;1318,279569892473;-1059,1397849462367;633,5483870967741;26;57;10;0;65,28316986743064;3;197;99;49;0,5415266551844706;1,0;score_oposto;(18.0, 25.0];69,47071948005646;2,05078125;26900,0;62,21699961274082;3;0,5788682705389273;1,0;0,8275947273043193;78,81574791100863;63,583819041995575;4,571118349619979;59,012700692375596;0,47514619883040937;0,5958011474434483;0,8116895499618612;0,9407337723424272;0,5415266551844706;1,0;0,3591954022988506;0,5537910229492018;0,5107406026672789;1,0;1,0;0,42969020722156515;cluster_concentrado;3;S184_C0;True
187;0;282;60;174;48;21,27659574468085;10800,0;38,297872340425535;-800,0;150000,0;139200,0;1,0775862068965518;-18600,0;91,85667752442997;5,337933062290046;4,487103319826931;2500,0;800,0;3,125;True;0,5;0,0;180;1;close;pior_caso;307;64;195;48;20,846905537459286;4000,0;13,029315960912053;-800,0;160000,0;156000,0;1,0256410256410255;-23200,0;1251,7100977198697;-1159,6905537459284;415,70032573289905;64;195;48;0;214;38;138;38;17,75700934579439;-15400,0;-71,96261682242991;-800,0;95000,0;110400,0;0,8605072463768116;-23200,0;1222,7803738317757;-1203,3878504672898;321,02803738317755;38;138;38;0;93;26;57;10;27,956989247311824;19400,0;208,6021505376344;-800,0;65000,0;45600,0;1,4254385964912282;-6300,0;1318,279569892473;-1059,1397849462367;633,5483870967741;26;57;10;0;65,28316986743064;4;197;99;49;0,5415266551844706;1,0;score_oposto;(18.0, 25.0];69,47071948005646;2,05078125;26900,0;62,21699961274082;3;0,5788682705389273;1,0;0,8275947273043193;78,81574791100863;63,583819041995575;4,571118349619979;59,012700692375596;0,47514619883040937;0,5958011474434483;0,8116895499618612;0,9407337723424272;0,5415266551844706;1,0;0,3591954022988506;0,5537910229492018;0,5107406026672789;1,0;1,0;0,42969020722156515;cluster_concentrado;4;S187_C0;True
185;0;282;63;185;34;22,340425531914892;9500,0;33,687943262411345;-800,0;157500,0;148000,0;1,0641891891891893;-21800,0;91,85667752442997;5,337933062290046;4,487103319826931;2500,0;800,0;3,125;True;0,6;0,0;120;1;close;pior_caso;307;67;206;34;21,824104234527688;2700,0;8,794788273615636;-800,0;167500,0;164800,0;1,016383495145631;-24700,0;1266,2052117263843;-1191,042345276873;421,56351791530943;67;206;34;0;214;40;145;29;18,69158878504673;-16000,0;-74,76635514018692;-800,0;100000,0;116000,0;0,8620689655172413;-24700,0;1235,5140186915887;-1226,285046728972;327,4766355140187;40;145;29;0;93;27;61;5;29,03225806451613;18700,0;201,0752688172043;-800,0;67500,0;48800,0;1,3831967213114753;-6300,0;1336,8279569892472;-1109,9462365591398;638,0645161290323;27;61;5;0;65,14398436494795;5;197;101;49;0,5359247300491505;1,0;delta30;(-3.0, 9.0];68,1841478992231;1,875;24500,0;62,130394272935575;3;0,5788682705389273;1,0;0,8275947273043193;78,81574791100863;63,30664940644349;4,571118349619979;58,73553105682351;0,4610655737704918;0,5924251646999523;0,8262907480685887;0,9407337723424272;0,5359247300491505;1,0;0,35472972972972977;0,5473576181430893;0,5129051655969016;1,0;1,0;0,5163212973872042;cluster_concentrado;5;S185_C0;True
184;2;3;1;2;0;33,33333333333333;900,0;300,0;-800,0;2500,0;1600,0;1,5625;-800,0;0,9771986970684038;12,682241535716999;11,869949546271329;2500,0;800,0;3,125;True;0,5;0,0;120;1;close;pior_caso;307;64;195;48;20,846905537459286;4000,0;13,029315960912053;-800,0;160000,0;156000,0;1,0256410256410255;-23200,0;1251,7100977198697;-1159,6905537459284;415,70032573289905;64;195;48;0;214;38;138;38;17,75700934579439;-15400,0;-71,96261682242991;-800,0;95000,0;110400,0;0,8605072463768116;-23200,0;1222,7803738317757;-1203,3878504672898;321,02803738317755;38;138;38;0;93;26;57;10;27,956989247311824;19400,0;208,6021505376344;-800,0;65000,0;45600,0;1,4254385964912282;-6300,0;1318,279569892473;-1059,1397849462367;633,5483870967741;26;57;10;0;65,28316986743064;3;197;99;49;0,5415266551844706;1,0;score_oposto;(18.0, 25.0];69,47071948005646;2,05078125;26900,0;62,21699961274082;3;0,5788682705389273;1,0;0,8275947273043193;78,81574791100863;62,118450671120094;25,0;37,118450671120094;0,47514619883040937;0,5958011474434483;0,8116895499618612;0,9407337723424272;0,5415266551844706;1,0;0,5208333333333334;0,5044998785039365;0,7770648314052384;0,03333333333333333;1,0;12,486427795874043;cluster_amostra_pequena;6;S184_C2;False
187;2;3;1;2;0;33,33333333333333;900,0;300,0;-800,0;2500,0;1600,0;1,5625;-800,0;0,9771986970684038;12,682241535716999;11,869949546271329;2500,0;800,0;3,125;True;0,5;0,0;180;1;close;pior_caso;307;64;195;48;20,846905537459286;4000,0;13,029315960912053;-800,0;160000,0;156000,0;1,0256410256410255;-23200,0;1251,7100977198697;-1159,6905537459284;415,70032573289905;64;195;48;0;214;38;138;38;17,75700934579439;-15400,0;-71,96261682242991;-800,0;95000,0;110400,0;0,8605072463768116;-23200,0;1222,7803738317757;-1203,3878504672898;321,02803738317755;38;138;38;0;93;26;57;10;27,956989247311824;19400,0;208,6021505376344;-800,0;65000,0;45600,0;1,4254385964912282;-6300,0;1318,279569892473;-1059,1397849462367;633,5483870967741;26;57;10;0;65,28316986743064;4;197;99;49;0,5415266551844706;1,0;score_oposto;(18.0, 25.0];69,47071948005646;2,05078125;26900,0;62,21699961274082;3;0,5788682705389273;1,0;0,8275947273043193;78,81574791100863;62,118450671120094;25,0;37,118450671120094;0,47514619883040937;0,5958011474434483;0,8116895499618612;0,9407337723424272;0,5415266551844706;1,0;0,5208333333333334;0,5044998785039365;0,7770648314052384;0,03333333333333333;1,0;12,486427795874043;cluster_amostra_pequena;7;S187_C2;False
191;2;3;1;2;0;33,33333333333333;900,0;300,0;-800,0;2500,0;1600,0;1,5625;-800,0;0,9771986970684038;12,682241535716999;11,869949546271329;2500,0;800,0;3,125;False;0,0;0,0;120;1;close;pior_caso;307;77;230;0;25,0814332247557;8500,0;27,68729641693811;-800,0;192500,0;184000,0;1,046195652173913;-29300,0;1296,172638436482;-1280,7817589576548;439,93485342019545;77;230;0;0;214;48;166;0;22,429906542056074;-12800,0;-59,81308411214953;-800,0;120000,0;132800,0;0,9036144578313253;-29300,0;1277,1028037383178;-1335,3971962616822;350,74766355140184;48;166;0;0;93;29;64;0;31,182795698924732;21300,0;229,03225806451613;-800,0;72500,0;51200,0;1,416015625;-7100,0;1340,0537634408602;-1155,1075268817203;645,1612903225806;29;64;0;0;65,85619132965769;1;197;96;50;0,5572633778061701;1,0;delta30;(-3.0, 9.0];69,76338323639978;1,9965277777777777;28700,0;63,225857206422745;3;0,5788682705389273;1,0;0,8275947273043193;78,81574791100863;62,02853189017855;25,0;37,02853189017855;0,4720052083333333;0,6049181019632078;0,8291996109437751;0,9337068160597572;0,5572633778061701;1,0;0,5208333333333334;0,5044998785039365;0,6953369234040732;0,03333333333333333;1,0;8,25190010857763;cluster_amostra_pequena;8;S191_C2;False
192;2;3;1;2;0;33,33333333333333;900,0;300,0;-800,0;2500,0;1600,0;1,5625;-800,0;0,9771986970684038;12,682241535716999;11,869949546271329;2500,0;800,0;3,125;False;0,0;0,0;180;1;close;pior_caso;307;77;230;0;25,0814332247557;8500,0;27,68729641693811;-800,0;192500,0;184000,0;1,046195652173913;-29300,0;1296,172638436482;-1280,7817589576548;439,93485342019545;77;230;0;0;214;48;166;0;22,429906542056074;-12800,0;-59,81308411214953;-800,0;120000,0;132800,0;0,9036144578313253;-29300,0;1277,1028037383178;-1335,3971962616822;350,74766355140184;48;166;0;0;93;29;64;0;31,182795698924732;21300,0;229,03225806451613;-800,0;72500,0;51200,0;1,416015625;-7100,0;1340,0537634408602;-1155,1075268817203;645,1612903225806;29;64;0;0;65,85619132965769;2;197;96;50;0,5572633778061701;1,0;delta30;(-3.0, 9.0];69,76338323639978;1,9965277777777777;28700,0;63,225857206422745;3;0,5788682705389273;1,0;0,8275947273043193;78,81574791100863;62,02853189017855;25,0;37,02853189017855;0,4720052083333333;0,6049181019632078;0,8291996109437751;0,9337068160597572;0,5572633778061701;1,0;0,5208333333333334;0,5044998785039365;0,6953369234040732;0,03333333333333333;1,0;8,25190010857763;cluster_amostra_pequena;9;S192_C2;False
185;2;3;1;2;0;33,33333333333333;900,0;300,0;-800,0;2500,0;1600,0;1,5625;-800,0;0,9771986970684038;12,682241535716999;11,869949546271329;2500,0;800,0;3,125;True;0,6;0,0;120;1;close;pior_caso;307;67;206;34;21,824104234527688;2700,0;8,794788273615636;-800,0;167500,0;164800,0;1,016383495145631;-24700,0;1266,2052117263843;-1191,042345276873;421,56351791530943;67;206;34;0;214;40;145;29;18,69158878504673;-16000,0;-74,76635514018692;-800,0;100000,0;116000,0;0,8620689655172413;-24700,0;1235,5140186915887;-1226,285046728972;327,4766355140187;40;145;29;0;93;27;61;5;29,03225806451613;18700,0;201,0752688172043;-800,0;67500,0;48800,0;1,3831967213114753;-6300,0;1336,8279569892472;-1109,9462365591398;638,0645161290323;27;61;5;0;65,14398436494795;5;197;101;49;0,5359247300491505;1,0;delta30;(-3.0, 9.0];68,1841478992231;1,875;24500,0;62,130394272935575;3;0,5788682705389273;1,0;0,8275947273043193;78,81574791100863;61,85083483257656;25,0;36,85083483257656;0,4610655737704918;0,5924251646999523;0,8262907480685887;0,9407337723424272;0,5359247300491505;1,0;0,5208333333333334;0,5044998785039365;0,7596794498314831;0,03333333333333333;1,0;11,50922909880564;cluster_amostra_pequena;10;S185_C2;False
