hora_entrada;trades;gains;losses;zeros;resultado_pontos;media_trade_pontos;mediana_trade_pontos;winrate_pct;profit_factor;max_drawdown_pontos;maior_gain_pontos;maior_loss_pontos;mfe_medio_pontos;mae_medio_pontos;duracao_media_segundos;payoff_medio;periodo_inicio;periodo_fim;dias_operados
0;8;3;5;0;-2319,999999999709;-289,9999999999636;-800,0;37,5;0,42000000000007276;5679,999999998836;1200,0;-800,0;393,75;678,125;29,375;0,7000000000001212;2026-07-29T00:04:04;2026-07-29T00:53:02;1
1;8;4;4;0;-1279,9999999995634;-159,99999999994543;-279,99999999992724;50,0;0,6000000000001364;8399,999999998545;1200,0;-800,0;437,5;668,75;73,5;0,6000000000001364;2026-07-29T01:01:28;2026-07-29T02:00:47;1
2;12;3;9;0;-4559,9999999998545;-379,9999999999879;-800,0;25,0;0,3666666666666869;11519,999999998254;1200,0;-800,0;429,1666666666667;762,5;45,0;1,1000000000000607;2026-07-29T02:02:34;2026-07-29T02:43:04;1
3;9;4;5;0;-3039,999999999418;-337,7777777777131;-800,0;44,44444444444444;0,2400000000001455;14799,999999997817;240,00000000014552;-800,0;441,6666666666667;713,8888888888889;128,77777777777777;0,3000000000001819;2026-07-29T03:04:23;2026-07-29T04:00:36;1
4;2;1;1;0;-559,9999999998545;-279,99999999992724;-279,99999999992724;50,0;0,3000000000001819;15119,999999997526;240,00000000014552;-800,0;587,5;1562,5;620,0;0,3000000000001819;2026-07-29T04:02:00;2026-07-29T04:32:49;1
5;6;3;3;0;-1679,9999999995634;-279,99999999992724;-279,99999999992724;50,0;0,3000000000001819;16799,99999999709;240,00000000014552;-800,0;445,8333333333333;662,5;59,166666666666664;0,3000000000001819;2026-07-29T05:00:22;2026-07-29T05:32:01;1
6;7;4;3;0;-479,99999999956344;-68,57142857136621;240,00000000014552;57,14285714285714;0,8000000000001819;18159,999999996944;1200,0;-800,0;525,0;535,7142857142857;116,71428571428571;0,6000000000001364;2026-07-29T06:10:39;2026-07-29T06:57:27;1
7;5;3;2;0;1040,0000000001455;208,0000000000291;240,00000000014552;60,0;1,650000000000091;16879,999999996653;1200,0;-800,0;785,0;1010,0;425,4;1,1000000000000607;2026-07-29T07:07:35;2026-07-29T08:00:09;1
8;4;3;1;0;880,000000000291;220,00000000007276;240,00000000014552;75,0;2,100000000000364;17039,999999996508;1200,0;-800,0;843,75;606,25;131,5;0,7000000000001212;2026-07-29T08:00:39;2026-07-29T08:53:15;1
9;21;12;9;0;-479,99999999883585;-22,85714285708742;240,00000000014552;57,14285714285714;0,933333333333495;15279,999999995198;1200,0;-800,0;695,2380952380952;525,0;64,14285714285714;0,7000000000001212;2026-07-28T09:54:20;2026-07-29T09:55:51;2
10;44;33;11;0;11600,00000000291;263,6363636364298;240,00000000014552;75,0;2,3181818181821487;13839,999999995052;1200,0;-800,0;769,3181818181819;376,70454545454544;32,40909090909091;0,772727272727383;2026-07-28T10:00:07;2026-07-29T10:59:12;2
11;30;17;13;0;-3439,9999999979627;-114,66666666659876;240,00000000014552;56,666666666666664;0,6692307692309651;10479,99999999156;1200,0;-800,0;526,6666666666666;545,8333333333334;9,066666666666666;0,5117647058825028;2026-07-29T11:01:44;2026-07-29T11:59:20;1
12;26;16;10;0;2560,0000000013097;98,46153846158883;240,00000000014552;61,53846153846154;1,3200000000001637;11839,999999991414;1200,0;-800,0;668,2692307692307;468,2692307692308;16,23076923076923;0,8250000000001023;2026-07-29T12:00:15;2026-07-29T12:58:10;1
13;32;15;17;0;-4239,99999999869;-132,49999999995907;-800,0;46,875;0,6882352941177433;13839,999999989232;1200,0;-800,0;524,21875;600,78125;16,78125;0,7800000000001092;2026-07-29T13:03:40;2026-07-29T13:58:32;1
14;22;12;10;0;-3199,999999998545;-145,4545454544793;240,00000000014552;54,54545454545454;0,6000000000001819;15359,999999987485;1200,0;-800,0;520,4545454545455;507,95454545454544;19,59090909090909;0,5000000000001515;2026-07-29T14:00:01;2026-07-29T14:41:14;1
19;1;1;0;0;1200,0;1200,0;1200,0;100,0;999,0;0,0;1200,0;1200,0;1275,0;100,0;24,0;999,0;2026-07-28T19:53:37;2026-07-28T19:54:01;1
20;19;8;11;0;-3999,9999999992724;-210,5263157894354;-800,0;42,10526315789473;0,5454545454546281;5439,999999999418;1200,0;-800,0;465,7894736842105;702,6315789473684;33,0;0,7500000000001137;2026-07-28T20:00:15;2026-07-28T20:59:59;1
21;20;14;6;0;5280,000000001019;264,00000000005093;240,00000000014552;70,0;2,1000000000002124;6719,999999998981;1200,0;-800,0;796,25;413,75;22,8;0,900000000000091;2026-07-28T21:01:26;2026-07-28T21:59:49;1
22;24;17;7;0;7120,000000001164;296,6666666667152;240,00000000014552;70,83333333333334;2,271428571428779;2719,999999999709;1200,0;-800,0;909,375;510,4166666666667;41,291666666666664;0,9352941176471444;2026-07-27T22:00:49;2026-07-28T22:59:50;2
23;9;4;5;0;-1119,999999999709;-124,44444444441211;-800,0;44,44444444444444;0,7200000000000728;3599,9999999992724;1200,0;-800,0;475,0;630,5555555555555;21,11111111111111;0,900000000000091;2026-07-28T23:01:23;2026-07-28T23:52:12;1
