setup_id;cluster;lado;entrada_data_hora;saida_data_hora;entrada_preco;saida_preco;resultado_pontos;motivo_saida;mfe_pontos;mae_pontos;duracao_segundos;data_operacao;modo;ordem_real;hora_entrada;dia_semana;trade_numero;equity_pontos;pico_equity_pontos;drawdown_pontos;resultado_tipo
d16956b471e56f2c;4;VENDA;2026-07-27 22:00:49;2026-07-27 22:01:09;28061,0;28047,25;1200,0;TARGET;1375,0;225,0;20,0;2026-07-27;SOMBRA;False;22;Monday;1;1200,0;1200,0;0,0;GAIN
d16956b471e56f2c;4;VENDA;2026-07-27 22:01:49;2026-07-27 22:02:03;28059,5;28047,5;1200,0;TARGET;1200,0;525,0;14,0;2026-07-27;SOMBRA;False;22;Monday;2;2400,0;2400,0;0,0;GAIN
d16956b471e56f2c;4;VENDA;2026-07-27 22:04:41;2026-07-27 22:04:59;28052,75;28040,0;1200,0;TARGET;1275,0;0,0;18,0;2026-07-27;SOMBRA;False;22;Monday;3;3600,0;3600,0;0,0;GAIN
d16956b471e56f2c;4;VENDA;2026-07-28 09:54:20;2026-07-28 09:54:28;27989,0;27997,0;-800,0;STOP;0,0;800,0;8,0;2026-07-28;SOMBRA;False;9;Tuesday;4;2800,0;3600,0;800,0;LOSS
d16956b471e56f2c;4;VENDA;2026-07-28 10:00:07;2026-07-28 10:01:01;27992,75;27980,25;1200,0;TARGET;1250,0;725,0;54,0;2026-07-28;SOMBRA;False;10;Tuesday;5;4000,0;4000,0;0,0;GAIN
d16956b471e56f2c;4;VENDA;2026-07-28 10:02:24;2026-07-28 10:02:33;27985,0;27983,25;240,00000000014552;PROTECAO;500,0;250,0;9,0;2026-07-28;SOMBRA;False;10;Tuesday;6;4240,0000000001455;4240,0000000001455;0,0;GAIN
d16956b471e56f2c;4;VENDA;2026-07-28 10:03:24;2026-07-28 10:04:13;27984,0;27984,25;240,00000000014552;PROTECAO;950,0;25,0;49,0;2026-07-28;SOMBRA;False;10;Tuesday;7;4480,000000000291;4480,000000000291;0,0;GAIN
d16956b471e56f2c;4;VENDA;2026-07-28 10:08:05;2026-07-28 10:08:31;28017,0;28016,5;240,00000000014552;PROTECAO;575,0;200,0;26,0;2026-07-28;SOMBRA;False;10;Tuesday;8;4720,000000000437;4720,000000000437;0,0;GAIN
d16956b471e56f2c;4;VENDA;2026-07-28 10:09:53;2026-07-28 10:10:33;28018,0;28017,25;240,00000000014552;PROTECAO;750,0;175,0;40,0;2026-07-28;SOMBRA;False;10;Tuesday;9;4960,000000000582;4960,000000000582;0,0;GAIN
d16956b471e56f2c;4;VENDA;2026-07-28 10:12:14;2026-07-28 10:12:52;28005,0;28002,75;240,00000000014552;PROTECAO;650,0;350,0;38,0;2026-07-28;SOMBRA;False;10;Tuesday;10;5200,000000000728;5200,000000000728;0,0;GAIN
