data;linhas;preco_minimo;preco_maximo;amplitude;mudancas_preco;primeiro_timestamp;ultimo_timestamp;quantidade_arquivos;arquivos;dia_valido;motivo
2026-07-01;392364;29952,5;30239,5;287,0;62580;2026-07-01 16:16:25.180;2026-07-01 23:59:59.708;1;quantower_export_20260703_061446.csv;True;VALIDO
2026-07-02;2243675;29328,5;30320,0;991,5;401642;2026-07-02 00:00:00.778;2026-07-02 23:59:59.288;1;quantower_export_20260703_061446.csv;True;VALIDO
2026-07-03;262155;29717,75;29955,25;237,5;39008;2026-07-03 00:00:00.291;2026-07-03 13:59:59.025;2;quantower_export_20260703_061446.csv | quantower_export_20260710_044931.csv;True;VALIDO
2026-07-04;17430;29901,75;29901,75;0,0;0;2026-07-04 12:43:43.039;2026-07-04 13:12:47.376;1;quantower_export_20260710_044931.csv;False;PRECO_CONGELADO
2026-07-05;68366;29683,0;30011,25;328,25;31900;2026-07-05 13:12:50.601;2026-07-05 23:59:59.895;1;quantower_export_20260710_044931.csv;True;VALIDO
2026-07-06;543606;29693,25;30094,0;400,75;263315;2026-07-06 00:00:00.084;2026-07-06 23:59:58.765;1;quantower_export_20260710_044931.csv;True;VALIDO
2026-07-07;690664;29210,0;29784,75;574,75;346426;2026-07-07 00:00:00.200;2026-07-07 23:59:59.969;1;quantower_export_20260710_044931.csv;True;VALIDO
2026-07-08;663462;28909,75;29583,0;673,25;339216;2026-07-08 00:00:00.086;2026-07-08 23:59:59.907;1;quantower_export_20260710_044931.csv;True;VALIDO
2026-07-09;558293;29396,5;29993,5;597,0;262399;2026-07-09 00:00:00.066;2026-07-09 23:59:59.901;1;quantower_export_20260710_044931.csv;True;VALIDO
2026-07-10;475131;29675,0;30077,75;402,75;224715;2026-07-10 00:00:00.158;2026-07-10 21:00:39.732;2;quantower_export_20260710_044931.csv | quantower_export_20260716_152150.csv;True;VALIDO
2026-07-11;6900;30068,5;30068,5;0,0;0;2026-07-11 21:00:46.136;2026-07-11 21:00:47.820;1;quantower_export_20260716_152150.csv;False;PRECO_CONGELADO
2026-07-12;81417;29714,5;30068,5;354,0;36168;2026-07-12 12:30:29.800;2026-07-12 23:59:59.986;1;quantower_export_20260716_152150.csv;True;VALIDO
2026-07-13;608245;29325,75;29799,75;474,0;297569;2026-07-13 00:00:00.013;2026-07-13 23:59:59.793;1;quantower_export_20260716_152150.csv;True;VALIDO
2026-07-14;560725;29303,5;29987,25;683,75;277280;2026-07-14 00:00:00.365;2026-07-14 23:59:59.890;1;quantower_export_20260716_152150.csv;True;VALIDO
2026-07-15;611651;29397,0;30062,5;665,5;295691;2026-07-15 00:00:00.891;2026-07-15 23:59:59.873;1;quantower_export_20260716_152150.csv;True;VALIDO
2026-07-16;600845;28903,25;29797,0;893,75;299751;2026-07-16 00:00:00.233;2026-07-16 23:54:34.636;2;quantower_export_20260716_152150.csv | quantower_export_20260723_155910.csv;True;VALIDO
2026-07-17;269607;28550,0;29042,75;492,75;127515;2026-07-17 00:04:14.289;2026-07-17 18:40:20.230;1;quantower_export_20260723_155910.csv;True;VALIDO
2026-07-18;1635;28768,25;28768,25;0,0;0;2026-07-18 13:09:58.064;2026-07-18 13:09:58.520;1;quantower_export_20260723_155910.csv;False;PRECO_CONGELADO
2026-07-19;62544;28709,75;28963,5;253,75;29921;2026-07-19 12:30:30.229;2026-07-19 23:59:59.916;1;quantower_export_20260723_155910.csv;True;VALIDO
2026-07-20;519513;28701,0;29192,5;491,5;256769;2026-07-20 00:00:00.004;2026-07-20 23:59:59.834;1;quantower_export_20260723_155910.csv;True;VALIDO
2026-07-21;532686;28951,25;29364,75;413,5;244565;2026-07-21 00:00:00.379;2026-07-21 23:59:59.975;1;quantower_export_20260723_155910.csv;True;VALIDO
2026-07-22;559911;28952,0;29342,25;390,25;256710;2026-07-22 00:00:00.352;2026-07-22 23:59:59.988;1;quantower_export_20260723_155910.csv;True;VALIDO
2026-07-23;777440;28432,5;29183,25;750,75;384405;2026-07-23 00:00:01.500;2026-07-23 23:59:59.942;2;quantower_export_20260723_155910.csv | quantower_export_20260726_151506_snapshot.csv;True;VALIDO
2026-07-24;657810;28212,5;28706,25;493,75;320690;2026-07-24 00:00:00.705;2026-07-24 18:39:46.617;1;quantower_export_20260726_151506_snapshot.csv;True;VALIDO
2026-07-25;2718;28306,5;28306,5;0,0;0;2026-07-25 18:25:38.144;2026-07-25 18:25:38.927;1;quantower_export_20260726_151506_snapshot.csv;False;PRECO_CONGELADO
2026-07-26;3;28306,5;28306,5;0,0;0;2026-07-26 12:30:29.713;2026-07-26 14:30:51.660;1;quantower_export_20260726_151506_snapshot.csv;False;PRECO_CONGELADO
