particao;classe_evento;lado;eventos;contexto_60s_valido;cobertura_60s_media;deslocamento_medio_pontos;range_pre_60s_medio_pontos;retorno_pre_60s_medio_pontos;ticks_pre_60s_medio;spread_pre_60s_medio;delta_pre_60s_medio
DESENVOLVIMENTO;EXPLOSAO_2500;COMPRA;898;412;0,6842984420935412;3167,17706013363;3233,9808558558557;-543,4403153153153;1086,4256756756756;1,444082327558015;-21,743243243243242
DESENVOLVIMENTO;EXPLOSAO_2500;VENDA;537;203;0,6711669553072626;3008,2867783985103;1801,3500931098697;499,86033519553075;552,5307262569833;1,292206370546305;18,998137802607076
DESENVOLVIMENTO;MEDIO_1500;COMPRA;5700;3763;0,8231637287719298;1816,122807017544;2763,2753470391845;-272,1797575118608;1418,0398875417325;1,2369860039553753;-16,26902126164119
DESENVOLVIMENTO;MEDIO_1500;VENDA;4583;2700;0,7944723102771111;1813,8610080733145;2169,9410609037327;240,92447063959835;1004,5027286618642;1,1938097362241051;4,043003710980136
DESENVOLVIMENTO;MOVIMENTO_500;COMPRA;32625;23502;0,8562252747586208;891,4114942528736;2693,49625904575;-242,1056666257819;1503,1076597571446;1,153132479251577;-18,136207530970196
DESENVOLVIMENTO;MOVIMENTO_500;VENDA;25442;16903;0,829054957982863;905,4594764562535;2262,91517629024;193,79348296057546;1131,0937463150033;1,1356042784272433;-1,1040839589638771
HOLDOUT;EXPLOSAO_2500;COMPRA;50;27;0,7813333;2892,5;2585,0;255,5;1012,98;1,0251318172279553;42,78
HOLDOUT;EXPLOSAO_2500;VENDA;25;13;0,74400008;2918,0;1603,0;571,0;657,56;0,9764233120170499;46,56
HOLDOUT;MEDIO_1500;COMPRA;336;262;0,8953868988095239;1803,6458333333333;2776,8601190476193;52,604166666666664;1359,6607142857142;0,9752389599508902;24,032738095238095
HOLDOUT;MEDIO_1500;VENDA;273;198;0,8661782490842491;1790,2930402930403;2384,70695970696;383,7912087912088;1117,128205128205;0,9653731225406993;24,87912087912088
HOLDOUT;MOVIMENTO_500;COMPRA;2178;1797;0,9159626427915519;884,8025711662075;2913,475665748393;-196,52203856749313;1517,0541781450872;0,9509457048821975;2,741505968778696
HOLDOUT;MOVIMENTO_500;VENDA;1602;1240;0,8918019076154807;916,7915106117354;2513,32709113608;163,88888888888889;1255,0861423220974;0,9427241827342652;7,655430711610487
