data;particao;classe_evento;eventos;contexto_60s_valido;deslocamento_medio_pontos;range_pre_60s_medio_pontos
2026-07-01;DESENVOLVIMENTO;EXPLOSAO_2500;22;8;2972,7272727272725;1520,4545454545455
2026-07-01;DESENVOLVIMENTO;MEDIO_1500;151;57;1823,6754966887418;1834,4370860927152
2026-07-01;DESENVOLVIMENTO;MOVIMENTO_500;815;409;889,8773006134969;1935,0737100737101
2026-07-02;DESENVOLVIMENTO;EXPLOSAO_2500;116;52;2896,7672413793102;2808,405172413793
2026-07-02;DESENVOLVIMENTO;MEDIO_1500;1140;827;1802,982456140351;3244,4517543859647
2026-07-02;DESENVOLVIMENTO;MOVIMENTO_500;6429;5123;905,3935293202676;3306,0166459240822
2026-07-03;DESENVOLVIMENTO;EXPLOSAO_2500;19;0;2939,4736842105262;690,7894736842105
2026-07-03;DESENVOLVIMENTO;MEDIO_1500;106;8;1864,622641509434;941,9811320754717
2026-07-03;DESENVOLVIMENTO;MOVIMENTO_500;579;42;877,4611398963731;926,252158894646
2026-07-05;DESENVOLVIMENTO;EXPLOSAO_2500;33;7;3068,939393939394;1909,375
2026-07-05;DESENVOLVIMENTO;MEDIO_1500;153;46;1845,5882352941176;2072,222222222222
2026-07-05;DESENVOLVIMENTO;MOVIMENTO_500;698;209;916,0100286532951;2071,489971346705
2026-07-06;DESENVOLVIMENTO;EXPLOSAO_2500;84;30;2976,4880952380954;1920,5357142857142
2026-07-06;DESENVOLVIMENTO;MEDIO_1500;528;301;1815,9564393939395;2132,5757575757575
2026-07-06;DESENVOLVIMENTO;MOVIMENTO_500;3080;2027;890,900974025974;2199,805194805195
2026-07-07;DESENVOLVIMENTO;EXPLOSAO_2500;88;48;2978,409090909091;1962,5
2026-07-07;DESENVOLVIMENTO;MEDIO_1500;721;512;1831,5533980582525;2482,836338418863
2026-07-07;DESENVOLVIMENTO;MOVIMENTO_500;4397;3380;889,3734364339322;2547,947464180123
2026-07-08;DESENVOLVIMENTO;EXPLOSAO_2500;154;82;2988,7987012987014;2616,720779220779
2026-07-08;DESENVOLVIMENTO;MEDIO_1500;1047;734;1817,1442215854822;2911,532951289398
2026-07-08;DESENVOLVIMENTO;MOVIMENTO_500;5527;4205;907,0517459743079;2941,019724936663
2026-07-09;DESENVOLVIMENTO;EXPLOSAO_2500;62;22;2973,7903225806454;1722,5806451612902
2026-07-09;DESENVOLVIMENTO;MEDIO_1500;497;269;1816,7505030181087;2082,897384305835
2026-07-09;DESENVOLVIMENTO;MOVIMENTO_500;2970;1888;895,8670033670033;2236,287878787879
2026-07-10;DESENVOLVIMENTO;EXPLOSAO_2500;48;32;3531,25;9372,395833333334
2026-07-10;DESENVOLVIMENTO;MEDIO_1500;412;307;1806,128640776699;3225,970873786408
2026-07-10;DESENVOLVIMENTO;MOVIMENTO_500;2484;1892;899,3055555555555;2509,027777777778
2026-07-12;DESENVOLVIMENTO;EXPLOSAO_2500;24;12;2866,6666666666665;2041,304347826087
2026-07-12;DESENVOLVIMENTO;MEDIO_1500;177;67;1808,6158192090395;1906,3559322033898
2026-07-12;DESENVOLVIMENTO;MOVIMENTO_500;751;355;900,9320905459388;2085,219707057257
2026-07-13;DESENVOLVIMENTO;EXPLOSAO_2500;99;56;2988,131313131313;3302,777777777778
2026-07-13;DESENVOLVIMENTO;MEDIO_1500;751;477;1810,6857523302265;2493,5752330226364
2026-07-13;DESENVOLVIMENTO;MOVIMENTO_500;3921;2669;907,1729150726856;2453,8319306299413
2026-07-14;DESENVOLVIMENTO;EXPLOSAO_2500;80;43;3473,125;4870,0
2026-07-14;DESENVOLVIMENTO;MEDIO_1500;689;456;1809,0711175616836;2931,2409288824383
2026-07-14;DESENVOLVIMENTO;MOVIMENTO_500;3875;2766;901,1548387096774;2597,916129032258
2026-07-15;DESENVOLVIMENTO;EXPLOSAO_2500;71;32;3094,718309859155;1989,4366197183099
2026-07-15;DESENVOLVIMENTO;MEDIO_1500;554;365;1798,6913357400722;2251,263537906137
2026-07-15;DESENVOLVIMENTO;MOVIMENTO_500;3750;2747;892,7533333333333;2391,8866666666668
2026-07-16;DESENVOLVIMENTO;EXPLOSAO_2500;119;39;3220,798319327731;1924,1304347826087
2026-07-16;DESENVOLVIMENTO;MEDIO_1500;659;467;1820,8270106221548;2460,1289833080423
2026-07-16;DESENVOLVIMENTO;MOVIMENTO_500;3707;2820;896,6482330725654;2656,3867134755606
