data;particao;classe_evento;lado;eventos;deslocamento_total;deslocamento_medio;duracao_media_segundos
2026-07-01;DESENVOLVIMENTO;EXPLOSAO_2500;COMPRA;14;42725,0;3051,785714285714;339,7142857142857
2026-07-01;DESENVOLVIMENTO;EXPLOSAO_2500;VENDA;8;22675,0;2834,375;43,375
2026-07-01;DESENVOLVIMENTO;MEDIO_1500;COMPRA;80;144425,0;1805,3125;36,225
2026-07-01;DESENVOLVIMENTO;MEDIO_1500;VENDA;71;130950,0;1844,3661971830986;41,80281690140845
2026-07-01;DESENVOLVIMENTO;MOVIMENTO_500;COMPRA;429;376275,0;877,0979020979021;19,566433566433567
2026-07-01;DESENVOLVIMENTO;MOVIMENTO_500;VENDA;386;348975,0;904,080310880829;19,44559585492228
2026-07-02;DESENVOLVIMENTO;EXPLOSAO_2500;COMPRA;74;218725,0;2955,7432432432433;80,9054054054054
2026-07-02;DESENVOLVIMENTO;EXPLOSAO_2500;VENDA;42;117300,0;2792,8571428571427;53,142857142857146
2026-07-02;DESENVOLVIMENTO;MEDIO_1500;COMPRA;679;1223725,0;1802,2459499263623;15,051546391752577
2026-07-02;DESENVOLVIMENTO;MEDIO_1500;VENDA;461;831675,0;1804,0672451193059;22,429501084598698
2026-07-02;DESENVOLVIMENTO;MOVIMENTO_500;COMPRA;3971;3566925,0;898,2435154872828;6,8750944346512215
2026-07-02;DESENVOLVIMENTO;MOVIMENTO_500;VENDA;2458;2253850,0;916,9446704637917;9,796582587469487
2026-07-03;DESENVOLVIMENTO;EXPLOSAO_2500;COMPRA;13;38200,0;2938,4615384615386;224,07692307692307
2026-07-03;DESENVOLVIMENTO;EXPLOSAO_2500;VENDA;6;17650,0;2941,6666666666665;240,83333333333334
2026-07-03;DESENVOLVIMENTO;MEDIO_1500;COMPRA;55;103400,0;1880,0;115,14545454545454
2026-07-03;DESENVOLVIMENTO;MEDIO_1500;VENDA;51;94250,0;1848,0392156862745;101,29411764705883
2026-07-03;DESENVOLVIMENTO;MOVIMENTO_500;COMPRA;295;254575,0;862,9661016949152;55,05762711864407
2026-07-03;DESENVOLVIMENTO;MOVIMENTO_500;VENDA;284;253475,0;892,5176056338029;654,6795774647887
2026-07-05;DESENVOLVIMENTO;EXPLOSAO_2500;COMPRA;14;45950,0;3282,1428571428573;1540,5
2026-07-05;DESENVOLVIMENTO;EXPLOSAO_2500;VENDA;19;55325,0;2911,842105263158;49,8421052631579
2026-07-05;DESENVOLVIMENTO;MEDIO_1500;COMPRA;77;142425,0;1849,6753246753246;26,948051948051948
2026-07-05;DESENVOLVIMENTO;MEDIO_1500;VENDA;76;139950,0;1841,4473684210527;28,5
2026-07-05;DESENVOLVIMENTO;MOVIMENTO_500;COMPRA;372;335775,0;902,6209677419355;16,43548387096774
2026-07-05;DESENVOLVIMENTO;MOVIMENTO_500;VENDA;326;303600,0;931,2883435582822;14,855828220858896
2026-07-06;DESENVOLVIMENTO;EXPLOSAO_2500;COMPRA;53;161875,0;3054,245283018868;77,94339622641509
2026-07-06;DESENVOLVIMENTO;EXPLOSAO_2500;VENDA;31;88150,0;2843,548387096774;101,54838709677419
2026-07-06;DESENVOLVIMENTO;MEDIO_1500;COMPRA;289;524725,0;1815,6574394463669;44,93425605536332
