particao;classe_evento;lado;eventos;deslocamento_medio;deslocamento_mediano;duracao_media_segundos;velocidade_media;spread_medio;delta_agressor_medio
DESENVOLVIMENTO;EXPLOSAO_2500;COMPRA;898;3167,17706013363;2875,0;125,1403118040089;833,9731374486777;1,7496316296533843;98,26614699331849
DESENVOLVIMENTO;EXPLOSAO_2500;VENDA;537;3008,2867783985103;2825,0;765,4823091247672;108,7498159635019;1,359471539727026;-93,34450651769087
DESENVOLVIMENTO;MEDIO_1500;COMPRA;5700;1816,122807017544;1750,0;28,784912280701754;354,9249814344211;1,255567060760919;58,607368421052634
DESENVOLVIMENTO;MEDIO_1500;VENDA;4583;1813,8610080733145;1750,0;34,83766092079424;166,80550326077324;1,190163683694742;-61,5459306131355
DESENVOLVIMENTO;MOVIMENTO_500;COMPRA;32625;891,4114942528736;850,0;13,28327969348659;298,63961490765604;1,164068710078721;12,635218390804598
DESENVOLVIMENTO;MOVIMENTO_500;VENDA;25442;905,4594764562535;875,0;22,402130335665436;182,1978966349671;1,1392126541425365;-18,32918009590441
HOLDOUT;EXPLOSAO_2500;COMPRA;50;2892,5;2775,0;51,78;597,1131289788824;1,152839549335306;98,52
HOLDOUT;EXPLOSAO_2500;VENDA;25;2918,0;2725,0;189,96;54,56457955058448;0,9406452709612496;-99,44
HOLDOUT;MEDIO_1500;COMPRA;336;1803,6458333333333;1750,0;21,464285714285715;385,9507121706588;1,005644695402342;55,294642857142854
HOLDOUT;MEDIO_1500;VENDA;273;1790,2930402930403;1725,0;30,63736263736264;179,3455629268608;0,9522315666216975;-55,772893772893774
HOLDOUT;MOVIMENTO_500;COMPRA;2178;884,8025711662075;850,0;8,992653810835629;337,12201544494366;0,9602452933429042;13,571166207529844
HOLDOUT;MOVIMENTO_500;VENDA;1602;916,7915106117354;875,0;12,049313358302122;208,78922098882194;0,9452567849104285;-16,94132334581773
