feature;motivo;correlacionada_com;correlacao_spearman
pre_60s_cobertura_pct;redundancia_correlacao;pre_60s_cobertura_segundos;1,0
pre_120s_cobertura_segundos;redundancia_correlacao;pre_60s_cobertura_segundos;0,962276811896331
pre_120s_cobertura_pct;redundancia_correlacao;pre_60s_cobertura_segundos;0,962276811896331
pre_30s_cobertura_segundos;redundancia_correlacao;pre_60s_cobertura_segundos;0,9587349029353147
pre_30s_cobertura_pct;redundancia_correlacao;pre_60s_cobertura_segundos;0,9587349029353147
pre_15s_cobertura_segundos;redundancia_correlacao;pre_15s_cobertura_pct;1,0
pre_120s_ticks_incremento_soma;redundancia_correlacao;pre_120s_volume_incremento_soma;0,9508813133872701
pre_120s_agressor_total;redundancia_correlacao;pre_120s_ticks_total;0,998724353683204
pre_120s_agressor_venda;redundancia_correlacao;pre_120s_ticks_total;0,9941269641354682
pre_30s_spread_medio;redundancia_correlacao;pre_15s_spread_medio;0,9875139087502671
pre_120s_agressor_compra;redundancia_correlacao;pre_120s_ticks_total;0,9941831106048714
pre_30s_ticks_incremento_media;redundancia_correlacao;pre_60s_ticks_incremento_media;0,9863439118194195
pre_60s_spread_medio;redundancia_correlacao;pre_15s_spread_medio;0,9709466934163624
pre_120s_ticks_incremento_media;redundancia_correlacao;pre_60s_ticks_incremento_media;0,9881501001224092
pre_120s_trades_incremento_soma;redundancia_correlacao;pre_120s_ticks_total;0,9510189752061063
pre_120s_spread_medio;redundancia_correlacao;pre_15s_spread_medio;0,9545112945258442
pre_60s_ticks_total;redundancia_correlacao;pre_120s_ticks_total;0,9827298987418329
pre_60s_ticks_incremento_soma;redundancia_correlacao;pre_60s_ticks_incremento_media;0,9871910215348377
pre_60s_trades_incremento_soma;redundancia_correlacao;pre_120s_volume_incremento_soma;0,9776255606650552
pre_30s_ticks_total;redundancia_correlacao;pre_120s_ticks_total;0,9566622982114718
pre_60s_agressor_venda;redundancia_correlacao;pre_120s_ticks_total;0,9727104663191506
pre_120s_trades_incremento_media;redundancia_correlacao;pre_120s_volume_incremento_soma;0,9823436932745828
pre_15s_ticks_incremento_media;redundancia_correlacao;pre_60s_ticks_incremento_media;0,9670844120746481
pre_60s_trades_incremento_media;redundancia_correlacao;pre_120s_volume_incremento_soma;0,9562443651912989
pre_15s_ticks_incremento_soma;redundancia_correlacao;pre_60s_ticks_incremento_media;0,9665776179223807
pre_30s_ticks_incremento_soma;redundancia_correlacao;pre_60s_ticks_incremento_media;0,9803758214210343
pre_120s_volume_incremento_media;redundancia_correlacao;pre_120s_volume_incremento_soma;0,9836118609343641
pre_30s_volume_incremento_media;redundancia_correlacao;pre_30s_trades_incremento_soma;0,9860116173847765
pre_60s_volume_incremento_media;redundancia_correlacao;pre_120s_volume_incremento_soma;0,9554378441239668
pre_60s_agressor_compra;redundancia_correlacao;pre_120s_ticks_total;0,9735986090381478
pre_30s_trades_incremento_media;redundancia_correlacao;pre_30s_trades_incremento_soma;0,9888588229106201
pre_30s_agressor_total;redundancia_correlacao;pre_120s_ticks_total;0,951351696597435
pre_60s_agressor_total;redundancia_correlacao;pre_120s_ticks_total;0,9794849845308635
pre_60s_ticks_media_s;redundancia_correlacao;pre_120s_ticks_total;0,9531763110419653
pre_30s_volume_incremento_soma;redundancia_correlacao;pre_30s_trades_incremento_soma;0,9980883054993899
pre_30s_agressor_compra;redundancia_correlacao;pre_30s_ticks_media_s;0,9675721260707895
pre_120s_ticks_media_s;redundancia_correlacao;pre_120s_ticks_total;0,9744672292796455
pre_15s_trades_incremento_media;redundancia_correlacao;pre_30s_trades_incremento_soma;0,9541177393895828
pre_30s_agressor_venda;redundancia_correlacao;pre_30s_ticks_media_s;0,9676238310268447
pre_60s_volume_incremento_soma;redundancia_correlacao;pre_120s_volume_incremento_soma;0,977012516537094
pre_30s_volatilidade_close_pontos;redundancia_correlacao;pre_30s_volatilidade_close_preco;0,9999999999864443
pre_15s_trades_incremento_soma;redundancia_correlacao;pre_30s_trades_incremento_soma;0,9718172035290191
pre_60s_volatilidade_close_preco;redundancia_correlacao;pre_60s_volatilidade_close_pontos;0,9999999999984656
pre_15s_ticks_media_s;redundancia_correlacao;pre_30s_ticks_media_s;0,9736091148930075
pre_15s_volatilidade_close_preco;redundancia_correlacao;pre_15s_volatilidade_close_pontos;0,999999999727239
pre_15s_volume_incremento_soma;redundancia_correlacao;pre_30s_trades_incremento_soma;0,9678433808587453
pre_15s_agressor_total;redundancia_correlacao;pre_30s_ticks_media_s;0,9611302720918078
pre_60s_range_preco;redundancia_correlacao;pre_60s_range_pontos;1,0
pre_120s_volatilidade_close_pontos;redundancia_correlacao;pre_60s_volatilidade_close_pontos;0,9563770570192999
pre_120s_volatilidade_close_preco;redundancia_correlacao;pre_60s_volatilidade_close_pontos;0,9563770575454211
pre_120s_range_preco;redundancia_correlacao;pre_120s_range_pontos;1,0
pre_15s_ticks_total;redundancia_correlacao;pre_30s_ticks_media_s;0,966205232328606
pre_15s_range_preco;redundancia_correlacao;pre_15s_range_pontos;1,0
