feature;score_multiclasse;score_explosao;score_final;ordem_selecao
pre_60s_cobertura_segundos;0,9973214285714285;0,9872023809523811;0,9917559523809525;1
pre_15s_cobertura_pct;0,9663690476190476;0,9639880952380953;0,9650595238095239;2
pre_120s_bid_size_medio_soma;0,9276556438653415;0,9288461200558178;0,9283104057701035;3
pre_60s_bid_size_medio_soma;0,8943201610729554;0,9214034944062888;0,9092159944062888;4
pre_60s_ask_size_medio_soma;0,8711058753586696;0,8961058753586697;0,8848558753586697;5
pre_30s_bid_size_medio_soma;0,8838991954881832;0,8746730050119926;0,8788247907262785;6
pre_120s_ask_size_medio_soma;0,8416437391034368;0,8839056438653415;0,8648877867224845;7
pre_120s_ticks_total;0,8478937391034367;0,8562270724367701;0,8524770724367701;8
pre_15s_spread_medio;0,8689831352760349;0,8279117067046063;0,8463938495617492;9
pre_30s_ask_size_medio_soma;0,833303957392945;0,846696814535802;0,8406700288215164;10
pre_15s_spread_minimo;0,8993402781331777;0,7802926590855588;0,8338640876569874;11
pre_120s_volume_incremento_soma;0,8446199295796272;0,8071199295796272;0,8239949295796272;12
pre_60s_ticks_incremento_media;0,7633677801205743;0,821998732501527;0,7956148039300983;13
pre_30s_spread_minimo;0,8282444335834211;0,6684230050119926;0,7403426478691355;14
pre_15s_bid_size_medio_soma;0,7109474209903206;0,7597569447998445;0,7377926590855588;15
pre_15s_ask_size_medio_soma;0,7097569447998444;0,7362450400379397;0,7243253971807968;16
pre_120s_imbalance_minimo;0,7583104057701033;0,6961080248177225;0,7240990962462939;17
pre_30s_trades_incremento_soma;0,733303957392945;0,6943158621548497;0,7118605050119926;18
pre_60s_spread_minimo;0,7955106372634315;0,617534446787241;0,6976237325015268;19
pre_30s_imbalance_minimo;0,745506338345326;0,6362801478691356;0,6854319335834214;20
pre_30s_ticks_media_s;0,6922325288215163;0,6624706240596117;0,6758634812024689;21
pre_15s_volume_incremento_media;0,7168998019427016;0,6335664686093683;0,6710664686093684;22
pre_60s_imbalance_minimo;0,6892606372634316;0,6446177801205744;0,6647070658348602;23
pre_120s_inclinacao_spread;0,7302862107084003;0,6011195440417336;0,6592445440417336;24
pre_15s_spread_maximo;0,7413045638474635;0,5761259924188921;0,6504563495617492;25
pre_15s_ticks_max_s;0,6362450400379397;0,625828373371273;0,630515873371273;26
pre_30s_ticks_max_s;0,608303957392945;0,6437206240596116;0,6277831240596117;27
pre_30s_volatilidade_close_preco;0,6549656640975513;0,6049656640975514;0,6274656640975513;28
pre_60s_volatilidade_close_pontos;0,6270045198347305;0,598730710310921;0,6114539245966353;29
pre_120s_spread_minimo;0,6214056438653415;0,5949175486272463;0,6068371914843892;30
pre_120s_ticks_max_s;0,5958104057701034;0,612179453389151;0,6048133819605797;31
pre_60s_inclinacao_spread;0,6329569007871114;0,5799807103109209;0,6038199960252066;32
pre_120s_imbalance_maximo;0,6550365962462938;0,5577151676748653;0,6015098105320082;33
pre_60s_range_pontos;0,5472963515491458;0,6342011134539078;0,5950939705967649;34
pre_15s_volatilidade_close_pontos;0,6408056121352317;0,542888945468565;0,5869514454685651;35
pre_120s_range_pontos;0,48985802481772245;0,6362865962462939;0,5703937391034368;36
pre_60s_ticks_max_s;0,4758677801205744;0,635689208692003;0,5637695658348602;37
pre_30s_inclinacao_spread;0,6147870926689799;0,5118109021927895;0,5581501879070752;38
pre_120s_compressao_spread;0,6079647821369716;0,49189335356554315;0,544125496422686;39
pre_15s_agressor_compra;0,4752331352760349;0,582375992418892;0,5341617067046063;40
pre_15s_agressor_venda;0,4627331352760349;0,5877331352760349;0,5314831352760349;41
pre_15s_imbalance_minimo;0,5737450400379397;0,4927926590855587;0,5292212305141302;42
pre_60s_imbalance_maximo;0,5761653991681934;0,47646301821581255;0,521329089644384;43
pre_30s_spread_maximo;0,5844944335834212;0,4621730050119926;0,5172176478691355;44
pre_60s_compressao_spread;0,561825948406159;0,4793854722156829;0,5164836865013972;45
pre_30s_range_preco;0,43657776691675454;0,5193158621548497;0,4820837192977069;46
pre_30s_aceleracao_ticks;0,5257989974308847;0,42877518790707514;0,4724359021927894;47
pre_15s_range_pontos;0,49785218289508254;0,4457688495617492;0,4692063495617492;48
pre_60s_aceleracao_ticks;0,4409926150728257;0,48355213888234955;0,46440035316806383;49
pre_15s_inclinacao_spread;0,37860323118285066;0,48693656451618406;0,4381865645161841;50
