atributo;categoria;origem;missing_rate_dev;nunique_dev
adv_delta_range_pontos_60s_120s;dinamica_temporal;pre_60s_range_pontos - pre_120s_range_pontos;0,0005015404456545102;375
adv_ratio_range_pontos_60s_120s;dinamica_temporal;pre_60s_range_pontos / abs(pre_120s_range_pontos);0,0005015404456545102;18675
adv_delta_range_pontos_15s_60s;dinamica_temporal;pre_15s_range_pontos - pre_60s_range_pontos;0,0012896754316830265;404
adv_ratio_range_pontos_15s_60s;dinamica_temporal;pre_15s_range_pontos / abs(pre_60s_range_pontos);0,0012896754316830265;16071
adv_delta_volatilidade_close_pontos_15s_60s;dinamica_temporal;pre_15s_volatilidade_close_pontos - pre_60s_volatilidade_close_pontos;0,005316328723937809;67560
adv_ratio_volatilidade_close_pontos_15s_60s;dinamica_temporal;pre_15s_volatilidade_close_pontos / abs(pre_60s_volatilidade_close_pontos);0,005316328723937809;67293
adv_delta_ticks_max_s_15s_30s;dinamica_temporal;pre_15s_ticks_max_s - pre_30s_ticks_max_s;0,0012896754316830265;337
adv_ratio_ticks_max_s_15s_30s;dinamica_temporal;pre_15s_ticks_max_s / abs(pre_30s_ticks_max_s);0,0012896754316830265;7640
adv_delta_ticks_max_s_30s_60s;dinamica_temporal;pre_30s_ticks_max_s - pre_60s_ticks_max_s;0,000587518807766712;346
adv_ratio_ticks_max_s_30s_60s;dinamica_temporal;pre_30s_ticks_max_s / abs(pre_60s_ticks_max_s);0,000587518807766712;7468
adv_delta_ticks_max_s_60s_120s;dinamica_temporal;pre_60s_ticks_max_s - pre_120s_ticks_max_s;0,0005015404456545102;351
adv_ratio_ticks_max_s_60s_120s;dinamica_temporal;pre_60s_ticks_max_s / abs(pre_120s_ticks_max_s);0,0005015404456545102;6990
adv_delta_ticks_max_s_15s_60s;dinamica_temporal;pre_15s_ticks_max_s - pre_60s_ticks_max_s;0,0012896754316830265;410
adv_ratio_ticks_max_s_15s_60s;dinamica_temporal;pre_15s_ticks_max_s / abs(pre_60s_ticks_max_s);0,0012896754316830265;10537
adv_delta_ticks_max_s_30s_120s;dinamica_temporal;pre_30s_ticks_max_s - pre_120s_ticks_max_s;0,000587518807766712;407
adv_ratio_ticks_max_s_30s_120s;dinamica_temporal;pre_30s_ticks_max_s / abs(pre_120s_ticks_max_s);0,000587518807766712;10188
adv_delta_aceleracao_ticks_30s_60s;dinamica_temporal;pre_30s_aceleracao_ticks - pre_60s_aceleracao_ticks;0,0018771942394497385;3463
adv_ratio_aceleracao_ticks_30s_60s;dinamica_temporal;pre_30s_aceleracao_ticks / abs(pre_60s_aceleracao_ticks);0,0018771942394497385;44986
adv_delta_spread_minimo_15s_30s;dinamica_temporal;pre_15s_spread_minimo - pre_30s_spread_minimo;0,0012896754316830265;9673
adv_ratio_spread_minimo_15s_30s;dinamica_temporal;pre_15s_spread_minimo / abs(pre_30s_spread_minimo);0,0012896754316830265;17978
adv_delta_spread_minimo_30s_60s;dinamica_temporal;pre_30s_spread_minimo - pre_60s_spread_minimo;0,000587518807766712;7422
adv_ratio_spread_minimo_30s_60s;dinamica_temporal;pre_30s_spread_minimo / abs(pre_60s_spread_minimo);0,000587518807766712;13802
adv_delta_spread_minimo_60s_120s;dinamica_temporal;pre_60s_spread_minimo - pre_120s_spread_minimo;0,0005015404456545102;5343
adv_ratio_spread_minimo_60s_120s;dinamica_temporal;pre_60s_spread_minimo / abs(pre_120s_spread_minimo);0,0005015404456545102;9740
adv_delta_spread_minimo_15s_60s;dinamica_temporal;pre_15s_spread_minimo - pre_60s_spread_minimo;0,0012896754316830265;12389
adv_ratio_spread_minimo_15s_60s;dinamica_temporal;pre_15s_spread_minimo / abs(pre_60s_spread_minimo);0,0012896754316830265;21102
adv_delta_spread_minimo_30s_120s;dinamica_temporal;pre_30s_spread_minimo - pre_120s_spread_minimo;0,000587518807766712;9227
adv_ratio_spread_minimo_30s_120s;dinamica_temporal;pre_30s_spread_minimo / abs(pre_120s_spread_minimo);0,000587518807766712;15512
adv_delta_spread_maximo_15s_30s;dinamica_temporal;pre_15s_spread_maximo - pre_30s_spread_maximo;0,0012896754316830265;70
adv_ratio_spread_maximo_15s_30s;dinamica_temporal;pre_15s_spread_maximo / abs(pre_30s_spread_maximo);0,0012896754316830265;635
adv_delta_compressao_spread_60s_120s;dinamica_temporal;pre_60s_compressao_spread - pre_120s_compressao_spread;0,0015762699720570322;67723
adv_ratio_compressao_spread_60s_120s;dinamica_temporal;pre_60s_compressao_spread / abs(pre_120s_compressao_spread);0,0015762699720570322;68016
