k;inercia;silhouette;davies_bouldin;calinski_harabasz;menor_cluster;maior_cluster;proporcao_menor_cluster;proporcao_maior_cluster;iteracoes;rank_silhouette;rank_davies;rank_calinski;penalidade_cluster_pequeno;score_escolha
4;40550231,289996356;0,9983739990073363;0,0009427159628132471;254938,47784747317;8;69734;0,00011463781614960235;0,9992691839220463;2;1,0;1,0;9,0;5,0;8,0
6;964720,1996664649;0,9916592402073972;0,006843949721889699;6762512,1847035615;8;69291;0,00011463781614960235;0,992921114852762;2;3,0;4,0;4,0;5,0;8,55
3;192691588,3312334;0,9980513753515357;0,001231587470030362;45617,87374836824;15;69742;0,00021494590528050442;0,9993838217381958;2;2,0;2,0;10,0;5,0;9,0
5;16840743,048541453;0,9879455925215179;0,006267559879915481;460254,806323982;8;69469;0,00011463781614960235;0,9954718062620908;2;4,0;3,0;8,0;5,0;9,7
7;846656,5626498255;0,9821350062557586;0,010579424081286417;6215315,039490569;7;69284;0,00010030808913090206;0,9928208067636312;2;5,0;5,0;7,0;5,0;10,5
8;731204,1599445897;0,9457911173574783;0,13858577551942786;6255282,183046683;7;69221;0,00010030808913090206;0,9919180339614531;2;6,0;6,0;6,0;5,0;11,0
12;379664,31422630214;0,7829584671977886;0,28107845987179897;7611092,221949958;7;67546;0,00010030808913090206;0,96791574120513;8;10,0;7,0;1,0;5,0;11,85
10;509484,652831209;0,8345689239007883;0,3500223159876533;6942871,720123368;7;67799;0,00010030808913090206;0,9715411621408612;8;7,0;10,0;3,0;5,0;11,9
11;438749,19575378916;0,8254430872600816;0,29471082344130917;7280079,7360860305;7;67816;0,00010030808913090206;0,9717847675001792;8;9,0;8,0;2,0;5,0;11,95
9;616386,6210507809;0,8296411392739675;0,3193787329249751;6538320,097889423;7;67957;0,00010030808913090206;0,9738052590098158;7;8,0;9,0;5,0;5,0;12,55
