modelo;k;silhouette;davies_bouldin;calinski_harabasz;inercia;bic;aic;menor_cluster;maior_cluster;proporcao_menor_cluster;proporcao_maior_cluster;clusters_abaixo_1pct;entropia_normalizada;solucao_dominada;possui_cluster_pequeno;iteracoes;tempo_segundos;rank_silhouette;rank_davies;rank_calinski;rank_entropia;penalidade_concentracao;penalidade_cluster_pequeno;score_escolha
MINIBATCH_KMEANS;7;0,32742748868445604;1,115243712129141;6393,810444637456;824662797,243012;;;17;37548;0,000243605359317905;0,5380525900981586;2;0,6485513128552186;False;True;3;9,24;15,0;17,0;18,0;5,0;0,0;1,9756394640682093;16,07563946406821
GAUSSIAN_MIXTURE;9;0,044795723359715975;0,6805949893884966;12339526,78366045;;105462,86451194141;104929,87315848946;7;32683;0,00010030808913090206;0,4683384681521817;5;0,5640100376913006;False;True;39;20,76;21,0;13,0;10,0;8,0;0,0;1,98996919108691;16,18996919108691
GAUSSIAN_MIXTURE;10;0,10473655922833273;0,7914816157526096;12008389,711989146;;87626,8538049862;87033,68600840257;7;25467;0,00010030808913090206;0,3649351579852404;5;0,6353502001267423;False;True;59;21,93;20,0;16,0;12,0;6,0;0,0;1,98996919108691;16,58996919108691
MINIBATCH_KMEANS;10;0,2679921350265344;1,1176546352686256;2405,883892813265;695869483,9786245;;;39;18223;0,0005588593537293115;0,26113061546177546;2;0,8285856891802472;False;True;1;8,86;17,0;18,0;21,0;3,0;0,0;1,944114064627069;17,194114064627065
GAUSSIAN_MIXTURE;4;0,9995184390688245;0,0003502224758858744;15920791,820895415;;461293,8400342678;461061,7308964742;8;69734;0,00011463781614960235;0,9992691839220463;3;0,004850350037506004;True;True;2;10,42;1,0;1,0;6,0;23,0;8,978075517661392;1,9885362183850397;17,36661173604643
KMEANS;4;0,9995184390688245;0,0003502224758858744;15920791,820895415;579345,3591652192;;;8;69734;0,00011463781614960235;0,9992691839220463;3;0,004850350037506004;True;True;2;10,13;1,0;1,0;6,0;23,0;8,978075517661392;1,9885362183850397;17,36661173604643
MINIBATCH_KMEANS;8;0,24835506107897323;1,170168290686971;3092,4188324422084;717239517,029234;;;51;14207;0,000730816077953715;0,20358243175467508;1;0,8900303855837213;False;True;3;8,89;18,0;20,0;20,0;1,0;0,0;1,9269183922046285;17,426918392204627
MINIBATCH_KMEANS;6;0,2899056814407271;1,511580044245716;2003,3403179465674;846671079,930342;;;96;27780;0,0013756537937952282;0,39807981657949415;1;0,8295429245983926;False;True;1;8,98;16,0;21,0;22,0;2,0;0,0;1,8624346206204772;17,51243462062048
MINIBATCH_KMEANS;9;0,20833477050649957;1,125936717672123;9457,824055884925;818926448,6543311;;;25;25018;0,00035824317546750734;0,3585011105538439;3;0,7485383071327723;False;True;3;9,15;19,0;19,0;17,0;4,0;0,0;1,9641756824532495;17,56417568245325
GAUSSIAN_MIXTURE;8;0,04097252999019609;0,7560139506688063;10868922,729258485;;108023,38473026373;107550,56981994344;7;32670;0,00010030808913090206;0,4681521817009386;4;0,5906463954984846;False;True;41;22,15;22,0;15,0;14,0;7,0;0,0;1,98996919108691;17,63996919108691
