cluster;lado;eventos;explosoes;taxa_explosao
0;COMPRA;8928;161;0,0180331541218638
0;VENDA;6748;133;0,01970954356846473
1;COMPRA;16;3;0,1875
1;VENDA;1;0;0,0
2;COMPRA;40;2;0,05
2;VENDA;3;0;0,0
3;COMPRA;21208;422;0,01989815164089023
3;VENDA;16340;244;0,014932680538555692
4;COMPRA;3277;116;0,035398230088495575
4;VENDA;2688;60;0,022321428571428572
5;COMPRA;1701;74;0,04350382128159906
5;VENDA;1349;30;0,02223869532987398
6;COMPRA;4053;120;0,029607698001480384
6;VENDA;3433;70;0,020390329158170697
