fonte,colunas_extraidas,trades_com_dados,pct_cobertura
03_eventos_elementares_fluxo,14,198,100.0
04_campanhas_individuais,61,198,100.0
05_estrutura_eventos_enriquecidos,891,198,100.0
06_evolucao_score_eventos,872,198,100.0
07_bloqueios_auditoria_completa,614,198,100.0
13a_features_tempo_real,118,198,100.0
13a_sinais,25,198,100.0
bloqueios_c7_dna_fluxo_v5_2,336,198,100.0
estado_mercado_tempo_real,81,198,100.0
estados_c7_dna_fluxo_v5_2,649,198,100.0
invalidacoes_tese_sombra_v1,121,198,100.0
