variavel,n_stop,n_nao_stop,media_stop,media_nao_stop,mediana_stop,mediana_nao_stop,diferenca_medias,efeito_padronizado,correlacao_resultado,abs_efeito
07_bloqueios_auditoria_completa__last__desloc_30s,17,17,517.6470588235294,-395.5882352941176,625.0,-575.0,913.2352941176471,1.1746998585819706,-0.5277130933506033,1.1746998585819706
05_estrutura_eventos_enriquecidos__last__desloc_30s,29,34,734.4827586206897,-324.2647058823529,725.0,-425.0,1058.7474645030425,1.1435666189061733,-0.5534601994122997,1.1435666189061733
06_evolucao_score_eventos__last__desloc_30s,29,34,734.4827586206897,-324.2647058823529,725.0,-425.0,1058.7474645030425,1.1435666189061733,-0.5534601994122997,1.1435666189061733
05_estrutura_eventos_enriquecidos__last__desloc_60s,29,34,1101.7241379310344,-323.52941176470586,1000.0,-350.0,1425.2535496957403,1.072081831771524,-0.5192234784005476,1.072081831771524
06_evolucao_score_eventos__last__desloc_60s,29,34,1101.7241379310344,-323.52941176470586,1000.0,-350.0,1425.2535496957403,1.072081831771524,-0.5192234784005476,1.072081831771524
07_bloqueios_auditoria_completa__last__max_baixa_30s,17,17,-148.52941176470588,-607.3529411764706,-225.0,-600.0,458.82352941176475,0.9907308327875318,-0.4746232550734468,0.9907308327875318
05_estrutura_eventos_enriquecidos__w60__desloc_120s__mean,51,65,1137.6577752313049,-494.52701465201477,708.3333333333334,-337.5,1632.1847898833196,0.9792665348524962,-0.49588509584713203,0.9792665348524962
06_evolucao_score_eventos__w60__desloc_120s__mean,51,65,1137.6577752313049,-494.52701465201477,708.3333333333334,-337.5,1632.1847898833196,0.9792665348524962,-0.49588509584713203,0.9792665348524962
05_estrutura_eventos_enriquecidos__w60__desloc_120s__min,51,65,519.1176470588235,-1144.6153846153845,0.0,-1100.0,1663.7330316742082,0.9776836905796248,-0.5086980397580587,0.9776836905796248
06_evolucao_score_eventos__w60__desloc_120s__min,51,65,519.1176470588235,-1144.6153846153845,0.0,-1100.0,1663.7330316742082,0.9776836905796248,-0.5086980397580587,0.9776836905796248
07_bloqueios_auditoria_completa__last__ajuste_estrutura_compra,17,17,5.529411764705882,-2.4705882352941178,8.0,-6.0,8.0,0.973417168333576,-0.35466691601232964,0.973417168333576
05_estrutura_eventos_enriquecidos__last__max_alta_60s,29,34,1457.7586206896551,502.20588235294116,1275.0,525.0,955.5527383367139,0.9719597254634504,-0.41424832997441147,0.9719597254634504
06_evolucao_score_eventos__last__max_alta_60s,29,34,1457.7586206896551,502.20588235294116,1275.0,525.0,955.5527383367139,0.9719597254634504,-0.41424832997441147,0.9719597254634504
07_bloqueios_auditoria_completa__w60__desloc_60s__last,43,54,926.7441860465116,-346.2962962962963,850.0,-250.0,1273.040482342808,0.9404900681411158,-0.43766809468302564,0.9404900681411158
05_estrutura_eventos_enriquecidos__w60__desloc_60s__last,51,65,1051.9607843137255,-370.7692307692308,600.0,0.0,1422.7300150829562,0.9390184976745896,-0.44198037982012245,0.9390184976745896
