regra_bloqueio,componentes,trades_bloqueados,pct_trades_bloqueados,losses_evitados,gains_perdidos,saldo_eventos,pontos_dos_trades_bloqueados,trades_restantes,resultado_novo,melhoria_resultado,pf_novo,melhoria_pf,expectancia_nova,winrate_novo,dd_novo,reducao_dd,score_rank
(13a_features_tempo_real__last__pre_60s_volatilidade_close_pontos <= 192.06899) E (13a_features_tempo_real__last__preco <= 27901.75),2,48,24.242424242424242,31,17,14,-16879.99999999811,150,24240.00000000815,16879.99999999811,1.5941176470590233,0.48192252510765066,161.60000000005434,66.0,5919.999999998981,12239.999999997963,22947.153515061986
(13a_features_tempo_real__last__preco <= 27961.495) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__std >= 0.17448163),2,77,38.88888888888889,43,34,9,-17599.999999996362,121,24960.000000006403,17599.999999996362,1.8000000000002052,0.6878048780488326,206.2809917355901,67.76859504132231,5359.999999999127,12799.999999997817,22668.6829268249
(13a_features_tempo_real__last__preco <= 27934.05) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__std >= 0.17448163),2,69,34.84848484848485,39,30,9,-17279.999999996653,129,24640.000000006694,17279.999999996653,1.7162790697676364,0.6040839478162638,191.0077519380364,66.66666666666666,5759.999999998399,12399.999999998545,22294.450368685903
(13a_features_tempo_real__last__pre_30s_spread_minimo >= 1) E (13a_features_tempo_real__last__preco <= 27934.05),2,77,38.88888888888889,43,34,9,-17599.999999996362,121,24960.000000006403,17599.999999996362,1.8000000000002052,0.6878048780488326,206.2809917355901,67.76859504132231,6959.999999999127,11199.999999997817,22108.6829268249
(13a_features_tempo_real__last__preco <= 27901.75) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.34707626),2,49,24.747474747474747,32,17,15,-15759.9999999984,149,23120.00000000844,15759.9999999984,1.578000000000211,0.4658048780488384,155.16778523495597,66.44295302013423,5759.999999999127,12399.999999997817,22021.48292682694
(13a_features_tempo_real__last__pre_30s_spread_minimo >= 1) E (13a_features_tempo_real__last__preco <= 27901.75),2,65,32.82828282828283,39,26,13,-16319.999999997526,133,23680.000000007567,16319.999999997526,1.6883720930234758,0.5761769710721032,178.04511278201178,67.66917293233082,6959.999999999127,11199.999999997817,21625.706182640024
(13a_features_tempo_real__last__pre_30s_spread_minimo >= 1) E (13a_features_tempo_real__last__preco <= 27881.5),2,54,27.27272727272727,34,20,14,-15679.999999998108,144,23040.00000000815,15679.999999998108,1.6000000000002121,0.48780487804883954,160.0000000000566,66.66666666666666,6959.999999999127,11199.999999997817,21284.68292682665
(13a_features_tempo_real__last__pre_30s_spread_minimo >= 1) E (13a_features_tempo_real__last__preco <= 27865.528),2,46,23.232323232323232,30,16,14,-15359.9999999984,152,22720.00000000844,15359.9999999984,1.546153846154049,0.43395872420267634,149.47368421058184,65.78947368421053,6959.999999999127,11199.999999997817,21068.37523451924
(13a_features_tempo_real__last__pre_60s_volatilidade_close_pontos <= 192.06899) E (13a_features_tempo_real__last__preco <= 27934.05),2,62,31.313131313131315,36,26,10,-15839.999999997235,136,23200.000000007276,15839.999999997235,1.6304347826088934,0.5182396606575208,170.58823529417114,66.17647058823529,5919.999999998981,12239.999999997963,21030.943796391035
(13a_features_tempo_real__last__pre_60s_volatilidade_close_pontos <= 192.06899) E (13a_features_tempo_real__last__preco <= 27961.495),2,67,33.83838383838384,38,29,9,-15759.999999996944,131,23120.000000006985,15759.999999996944,1.6568181818183803,0.5446230598670077,176.48854961837392,66.41221374045801,5919.999999998981,12239.999999997963,20716.773835916436
(13a_features_tempo_real__last__preco <= 27901.75) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__std >= 0.17448163),2,60,30.303030303030305,35,25,10,-15279.99999999738,138,22640.00000000742,15279.99999999738,1.6021276595746654,0.4899325376232928,164.05797101454652,65.94202898550725,5359.999999999127,12799.999999997817,20683.959522570593
(13a_features_tempo_real__last__preco <= 27901.75) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.41182767),2,41,20.707070707070706,27,14,13,-14399.999999998545,157,21760.000000008586,14399.999999998545,1.4945454545456496,0.382350332594277,138.59872611470436,64.96815286624204,5759.999999999127,12399.999999997817,20417.410199554346
(13a_features_tempo_real__last__preco <= 27881.5) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.34707626),2,40,20.2020202020202,27,13,14,-13679.999999998836,158,21040.000000008877,13679.999999998836,1.4781818181820199,0.3659866962306473,133.1645569620815,65.18987341772153,5999.999999997817,12159.999999999127,19785.59201773692
(13a_features_tempo_real__last__preco <= 27989.375) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.41182767),2,63,31.818181818181817,35,28,7,-14559.999999996944,135,21920.000000006985,14559.999999996944,1.582978723404441,0.4707836014530684,162.3703703704221,65.18518518518519,5519.999999998254,12639.99999999869,19350.470160868328
(13a_features_tempo_real__last__preco <= 27881.5) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__std >= 0.17448163),2,49,24.747474747474747,30,19,11,-13679.999999998108,149,21040.00000000815,13679.999999998108,1.5057692307694266,0.393574108818054,141.20805369132987,65.1006711409396,6079.999999998108,12079.999999998836,19126.144465288533
(13a_features_tempo_real__last__pre_30s_spread_minimo >= 1) E (13a_features_tempo_real__last__preco <= 27961.495),2,83,41.91919191919192,44,39,5,-15279.999999995925,115,22640.000000005966,15279.999999995925,1.7447368421054594,0.6325417201540868,196.86956521744318,66.95652173913044,6959.999999999127,11199.999999997817,18993.525032087615
(13a_features_tempo_real__last__preco <= 27881.5) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.41182767),2,33,16.666666666666664,23,10,13,-13119.999999998981,165,20480.000000009022,13119.999999998981,1.433898305084937,0.3217031831335644,124.12121212126681,64.24242424242425,7199.999999997817,10959.999999999127,18733.021909878815
(13a_features_tempo_real__last__preco <= 27989.375) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.60099524),2,30,15.151515151515152,22,8,14,-13759.999999999127,168,21120.000000009168,13759.999999999127,1.440000000000191,0.3278048780488183,125.71428571434028,64.28571428571429,9999.999999997817,8159.999999999127,18612.68292682811
(13a_features_tempo_real__last__preco <= 27865.528) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.41182767),2,29,14.646464646464647,21,8,13,-12959.999999999127,169,20320.000000009168,12959.999999999127,1.4163934426231386,0.304198320671766,120.2366863905868,63.905325443786985,7999.999999997817,10159.999999999127,18350.51899240188
(13a_features_tempo_real__last__preco <= 27901.75) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__first <= 0.93528101),2,42,21.21212121212121,28,14,14,-12319.999999998981,156,19680.000000009022,12319.999999998981,1.4555555555557644,0.34336043360439183,126.15384615390398,65.38461538461539,6559.999999997672,11599.999999999272,18182.016260161363
(13a_features_tempo_real__last__preco <= 27961.495) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.41182767),2,56,28.28282828282828,32,24,8,-13119.999999997526,142,20480.000000007567,13119.999999997526,1.5120000000001892,0.3998048780488166,144.22535211272935,64.7887323943662,5759.999999999127,12399.999999997817,18067.882926826052
(13a_features_tempo_real__last__pre_60s_volatilidade_close_pontos <= 192.06899) E (13a_features_tempo_real__last__preco <= 27881.5),2,36,18.181818181818183,24,12,12,-12479.999999998836,162,19840.000000008877,12479.999999998836,1.427586206896743,0.3153910849453705,122.46913580252394,64.19753086419753,7119.999999998254,11039.99999999869,17901.234650965598
(13a_features_tempo_real__last__preco <= 27901.75) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.48870926),2,33,16.666666666666664,23,10,13,-12159.999999999127,165,19520.000000009168,12159.999999999127,1.4135593220340925,0.3013642000827199,118.30303030308586,64.24242424242425,6799.999999997817,11359.999999999127,17900.81852004845
(13a_features_tempo_real__last__preco <= 27989.375) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__std >= 0.17448163),2,89,44.94949494949495,45,44,1,-13919.999999995343,109,21280.000000005384,13919.999999995343,1.7189189189191008,0.6067237969677282,195.22935779821452,66.05504587155964,4959.999999998399,13199.999999998545,17556.03427817547
(13a_features_tempo_real__last__preco <= 27989.375) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.48870926),2,50,25.252525252525253,30,20,10,-12479.999999998108,148,19840.00000000815,12479.999999998108,1.4769230769232728,0.36472795497190025,134.05405405410912,64.86486486486487,6719.999999998254,11439.99999999869,17502.83677298079
(13a_features_tempo_real__last__preco <= 27934.05) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.34707626),2,63,31.818181818181817,35,28,7,-12639.999999997235,135,20000.000000007276,12639.999999997235,1.531914893617215,0.4197197716658423,148.14814814820204,65.18518518518519,5759.999999999127,12399.999999997817,17315.831862995976
(13a_features_tempo_real__last__preco <= 27901.75) E (13a_features_tempo_real__last__preco <= 27934.05),2,99,50.0,52,47,5,-13039.99999999578,99,20400.00000000582,13039.99999999578,1.8500000000002426,0.73780487804887,206.06060606066487,69.6969696969697,4879.999999998836,13279.999999998108,17272.68292682444
(13a_features_tempo_real__last__preco <= 27901.75) E (13a_features_tempo_real__last__preco <= 27961.495),2,99,50.0,52,47,5,-13039.99999999578,99,20400.00000000582,13039.99999999578,1.8500000000002426,0.73780487804887,206.06060606066487,69.6969696969697,4879.999999998836,13279.999999998108,17272.68292682444
(13a_features_tempo_real__last__preco <= 27901.75) E (13a_features_tempo_real__last__preco <= 27989.375),2,99,50.0,52,47,5,-13039.99999999578,99,20400.00000000582,13039.99999999578,1.8500000000002426,0.73780487804887,206.06060606066487,69.6969696969697,4879.999999998836,13279.999999998108,17272.68292682444
(13a_features_tempo_real__last__preco <= 27865.528) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.34707626),2,34,17.17171717171717,23,11,12,-11919.999999998981,164,19280.000000009022,11919.999999998981,1.4084745762713775,0.2962794543200049,117.56097560981111,64.02439024390245,7599.999999997817,10559.999999999127,17195.76767259068
(13a_features_tempo_real__last__pre_30s_spread_minimo >= 1) E (13a_features_tempo_real__last__preco <= 27989.375),2,90,45.45454545454545,46,44,2,-13759.999999995489,108,21120.00000000553,13759.999999995489,1.7333333333335252,0.6211382113821526,195.55555555560676,66.66666666666666,6159.999999999127,11999.999999997817,17132.682926824018
(13a_features_tempo_real__last__preco <= 27961.495) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.60099524),2,27,13.636363636363635,20,7,13,-12399.999999999272,171,19760.000000009313,12399.999999999272,1.3983870967743812,0.2861919748230086,115.55555555561001,63.74269005847953,9999.999999997817,8159.999999999127,17113.71518489277
